gene	classification_i	classification_j	start_i	end_i	start_j	end_j	fusion	species	is_contiguous_assembly	num_expressed	is_expressed	is_contiguous_coverage	evidence_status
Drer_ENSDARP00000126712.1	H2B	H2A	15	138	151	219	H2B H2A	Drer	TRUE	12	TRUE	TRUE	contiguous assembly, complete expression
Skow_XP_002736435.2	other_CENP	H3	1	143	163	308	other_CENP H3	Skow	TRUE	NA	FALSE	FALSE	contiguous assembly, no expression
Skow_XP_002737620.2	H3	H3	1	138	180	328	H3 H3	Skow	TRUE	NA	FALSE	FALSE	contiguous assembly, no expression
Skow_XP_002738088.2	H3	H3	1	142	172	319	H3 H3	Skow	TRUE	NA	FALSE	FALSE	contiguous assembly, no expression
Skow_XP_006820302.1	H4	H2A	30	106	95	193	H4 H2A	Skow	TRUE	NA	FALSE	FALSE	contiguous assembly, no expression
Skow_XP_006825798.1	H3	H3	1	142	147	291	H3 H3	Skow	TRUE	NA	FALSE	FALSE	contiguous assembly, no expression
Spur_XP_030830328.1	H3	H4	1	120	145	218	H3 H4	Spur	TRUE	NA	FALSE	FALSE	contiguous assembly, no expression
Spur_XP_030838374.1	H4	H2B	30	106	125	218	H4 H2B	Spur	TRUE	NA	FALSE	FALSE	contiguous assembly, no expression
Spur_XP_030840799.1	H3	H3	1	142	142	286	H3 H3	Spur	TRUE	NA	FALSE	FALSE	contiguous assembly, no expression
Apla_XP_022080340.1	H4	H3	30	107	138	282	H4 H3	Apla	TRUE	14	TRUE	TRUE	contiguous assembly, complete expression
Apla_XP_022088067.1	H4	H3	30	106	141	285	H4 H3	Apla	TRUE	12	TRUE	TRUE	contiguous assembly, complete expression
Dpul_EFX72335	NA	NA	4	55	53	105	NA NA	Dpul	TRUE	41	TRUE	TRUE	contiguous assembly, complete expression
Ctel_CapteP198869	H2A	H4	1	98	159	232	H2A H4	Ctel	TRUE	8	TRUE	TRUE	contiguous assembly, complete expression
Ctel_CapteP198870	H3	H2B	1	139	128	233	H3 H2B	Ctel	TRUE	8	TRUE	TRUE	contiguous assembly, complete expression
Ctel_CapteP205827	H2A	H4	1	98	159	232	H2A H4	Ctel	TRUE	8	TRUE	TRUE	contiguous assembly, complete expression
Ctel_CapteP20749	H2B	H4	2	108	144	217	H2B H4	Ctel	TRUE	8	TRUE	TRUE	contiguous assembly, complete expression
Ctel_CapteP207719	H3	H2B	1	139	128	230	H3 H2B	Ctel	TRUE	8	TRUE	TRUE	contiguous assembly, complete expression
Ctel_CapteP219998	H2B	H4	2	87	112	186	H2B H4	Ctel	TRUE	8	TRUE	TRUE	contiguous assembly, complete expression
Nvec_NVE24230	H2A	H4	1	98	94	172	H2A H4	Nvec	FALSE	NA	FALSE	FALSE	broken assembly, no expression
Exapal_XP_020896800.1	H4	H2B	30	107	94	207	H4 H2B	Exapal	TRUE	14	TRUE	TRUE	contiguous assembly, complete expression
Exapal_XP_020896927.1	H4	H2B	30	107	98	211	H4 H2B	Exapal	TRUE	14	TRUE	TRUE	contiguous assembly, complete expression
Exapal_XP_020906586.1	H4	H2B	30	107	94	207	H4 H2B	Exapal	TRUE	14	TRUE	TRUE	contiguous assembly, complete expression
Exapal_XP_020913119.1	H4	H2B	30	107	100	210	H4 H2B	Exapal	TRUE	14	TRUE	TRUE	contiguous assembly, complete expression
Exapal_XP_020917667.1	H4	H2B	30	107	101	212	H4 H2B	Exapal	TRUE	13	TRUE	TRUE	contiguous assembly, complete expression
Adig_XP_015747477.1	H3	H3	1	127	113	229	H3 H3	Adig	TRUE	9	TRUE	TRUE	contiguous assembly, complete expression
Adig_XP_015747488.1	H4	H2B	30	107	98	206	H4 H2B	Adig	TRUE	11	TRUE	TRUE	contiguous assembly, complete expression
