gene	node	taxon	family	order	kingdom	core_domain	homology_group	closest_group	closest_group_top10frac	closest_OG_euk	closest_OG_euk_top10frac	closest_node	closest_node_dist	euk_top_frac	arc_top_frac	bac_top_frac	closest_group_filt	closest_OG_euk_filt	architecture	simarq
vir_ERX552270.89_contig_5874_12	vir_ERX552270.89_contig_5874_12_92-191	ERX552270.89	Mimiviridae	NA	Nucleocytoviricota	Histone	Histone.HG1	euk	1	AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX	1	Ttra_KNC47362_1-91	2.9719402202	1	0	0	euk	AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX	Histone Histone	Histone
vir_ERX552261.5_contig_6301_9	vir_ERX552261.5_contig_6301_9_79-160	ERX552261.5	Iridoviridae	NA	Nucleocytoviricota	Histone	Histone.HG1	euk	0.9	AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX	0.9	Ddis_EAL60556_135-207	9.648756746	0.9	0	0	euk	AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX	CBFD_NFYB_HMF	CBFD_NFYB_HMF
vir_ADB03947.1	vir_ADB03947.1_80-160	Marseillevirus marseillevirus	Marseilleviridae	NA	Nucleocytoviricota	Histone	Histone.HG1	euk	0.9	AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX	0.8	Lcom_lcpid146350_99-193	5.1575115357	0.9	0	0	euk	AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX	Histone	Histone
vir_AIT54762.1	vir_AIT54762.1_80-160	Melbournevirus	Marseilleviridae	NA	Nucleocytoviricota	Histone	Histone.HG1	euk	0.9	AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX	0.8	Lcom_lcpid146350_99-193	5.1899995956	0.9	0	0	euk	AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX	Histone	Histone
vir_AVR52881.1	vir_AVR52881.1_80-160	Marseillevirus Shanghai 1	Marseilleviridae	NA	Nucleocytoviricota	Histone	Histone.HG1	euk	0.9	AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX	0.8	Lcom_lcpid146350_99-193	5.2550786533	0.9	0	0	euk	AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX	Histone	Histone
vir_BAU80079.1	vir_BAU80079.1_81-161	Tokyovirus A1	Marseilleviridae	NA	Nucleocytoviricota	Histone	Histone.HG1	euk	0.9	AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX	0.8	Lcom_lcpid146350_99-193	5.6587544747	0.9	0	0	euk	AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX	Histone	Histone
vir_AMQ10667.1	vir_AMQ10667.1_81-161	Brazilian marseillevirus	Marseilleviridae	NA	Nucleocytoviricota	Histone	Histone.HG1	euk	0.9	AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX	0.8	Lcom_lcpid146350_99-193	6.9866192349	0.9	0	0	euk	AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX	CBFD_NFYB_HMF	CBFD_NFYB_HMF
vir_AHA46167.1	vir_AHA46167.1_68-148	Insectomime virus	Marseilleviridae	NA	Nucleocytoviricota	Histone	Histone.HG1	euk	0.9	AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX	0.8	Lcom_lcpid146350_99-193	7.0637837985	0.9	0	0	euk	AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX	CBFD_NFYB_HMF	CBFD_NFYB_HMF
vir_AQM73400.1	vir_AQM73400.1_81-159	Noumeavirus	Marseilleviridae	NA	Nucleocytoviricota	Histone	Histone.HG1	euk	0.9	AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX	0.8	Lcom_lcpid146350_99-193	6.9470798686	0.9	0	0	euk	AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX	CBFD_NFYB_HMF	CBFD_NFYB_HMF
vir_ALH06745.1	vir_ALH06745.1_81-160	Port-miou virus	Marseilleviridae	NA	Nucleocytoviricota	Histone	Histone.HG1	euk	0.9	AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX	0.8	Lcom_lcpid146350_99-193	6.9741999152	0.9	0	0	euk	AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX	CBFD_NFYB_HMF	CBFD_NFYB_HMF
