Transcript	Length	NumReads	Unmapped	Sample	Gene
Tetwil_g17013.t1	2790	482	0	mapping	Tetwil_Twilhelma_g17013.t1
Tetwil_g1711.t1	4995	9180	0	mapping	Tetwil_Twilhelma_g1711.t1
Tetwil_g17229.t2	2517	446	0	mapping	Tetwil_Twilhelma_g17229.t2
Tetwil_g21272.t2	2391	110	0	mapping	Tetwil_Twilhelma_g21272.t2
Tetwil_g26107.t1	1596	2	0	mapping	Tetwil_Twilhelma_g26107.t1
Tetwil_g26416.t1	2025	280	0	mapping	Tetwil_Twilhelma_g26416.t1
Tetwil_g26440.t2	3114	385	0	mapping	Tetwil_Twilhelma_g26440.t2
Tetwil_g27061.t1	2967	114	0	mapping	Tetwil_Twilhelma_g27061.t1
Tetwil_g27062.t1	3174	231	0	mapping	Tetwil_Twilhelma_g27062.t1
Tetwil_g3641.t2	2343	677	0	mapping	Tetwil_Twilhelma_g3641.t2
Tetwil_g3645.t1	507	248	0	mapping	Tetwil_Twilhelma_g3641.t2
Tetwil_g44.t1	1086	2	0	mapping	Tetwil_Twilhelma_g44.t1
Tetwil_g308.t1	540	14	0	mapping	Tetwil_Twilhelma_g5649.t1
Tetwil_g5649.t2	2580	335	0	mapping	Tetwil_Twilhelma_g5649.t2
Tetwil_g308.t1	540	14	0	mapping	Tetwil_Twilhelma_g5649.t2
