Transcript	Length	NumReads	Unmapped	Sample	Gene
Rhidel_EIE75594	1218	518	13	mapping	Rhidel_EIE75594
Rhidel_EIE92710	3804	453	1	mapping	Rhidel_EIE75594
Rhidel_EIE76499	5061	5892	59	mapping	Rhidel_EIE76499
Rhidel_EIE81711	5061	5886	64	mapping	Rhidel_EIE76499
Rhidel_EIE85850	5061	5634	62	mapping	Rhidel_EIE76499
Rhidel_EIE86692	5061	5678	58	mapping	Rhidel_EIE76499
Rhidel_EIE91158	5061	5883	79	mapping	Rhidel_EIE76499
Rhidel_EIE76504	4449	32	1	mapping	Rhidel_EIE76504
Rhidel_EIE76599	4782	12057	40	mapping	Rhidel_EIE76599
Rhidel_EIE76626	2460	7805	41	mapping	Rhidel_EIE76626
Rhidel_EIE76888	2223	4704	17	mapping	Rhidel_EIE76888
Rhidel_EIE76910	4704	1216	36	mapping	Rhidel_EIE76910
Rhidel_EIE77014	5061	5519	58	mapping	Rhidel_EIE77014
Rhidel_EIE77029	4578	9768	691	mapping	Rhidel_EIE77029
Rhidel_EIE77041	4581	192	3	mapping	Rhidel_EIE77041
Rhidel_EIE77240	4776	5619	39	mapping	Rhidel_EIE77240
Rhidel_EIE77262	1746	754	16	mapping	Rhidel_EIE77262
Rhidel_EIE77263	1191	57	1	mapping	Rhidel_EIE77263
Rhidel_EIE77518	2280	619	4	mapping	Rhidel_EIE77518
Rhidel_EIE77531	4245	2821	30	mapping	Rhidel_EIE77531
Rhidel_EIE77987	8910	3112	120	mapping	Rhidel_EIE77987
Rhidel_EIE78000	4677	11964	61	mapping	Rhidel_EIE78000
Rhidel_EIE80228	4677	11718	51	mapping	Rhidel_EIE78000
Rhidel_EIE80625	4677	11783	72	mapping	Rhidel_EIE78000
Rhidel_EIE92214	4677	11486	58	mapping	Rhidel_EIE78000
Rhidel_EIE78001	1188	8	0	mapping	Rhidel_EIE78001
Rhidel_EIE78003	2325	3244	30	mapping	Rhidel_EIE78003
Rhidel_EIE78006	1242	1167	4	mapping	Rhidel_EIE78006
Rhidel_EIE78129	3204	28597	136	mapping	Rhidel_EIE78129
Rhidel_EIE78249	4683	11067	59	mapping	Rhidel_EIE78249
Rhidel_EIE87343	2478	1651	2	mapping	Rhidel_EIE78249
Rhidel_EIE78251	3111	924	0	mapping	Rhidel_EIE78251
Rhidel_EIE78255	5196	481	6	mapping	Rhidel_EIE78255
Rhidel_EIE78262	4047	6794	63	mapping	Rhidel_EIE78262
