Transcript	Length	NumReads	Unmapped	Sample	Gene
Porpur_gnl_WGS_VRMN_mrna.FVE85_3449	4827	0	0	mapping	Porpur_KAA8490381.1
Porpur_gnl_WGS_VRMN_mrna.FVE85_1517	3567	0	0	mapping	Porpur_KAA8490381.1
Porpur_gnl_WGS_VRMN_mrna.FVE85_6043	2010	2	0	mapping	Porpur_KAA8490381.1
Porpur_gnl_WGS_VRMN_mrna.FVE85_9570	4827	0	0	mapping	Porpur_KAA8490462.1
Porpur_gnl_WGS_VRMN_mrna.FVE85_4570	4827	0	0	mapping	Porpur_KAA8490489.1
Porpur_gnl_WGS_VRMN_mrna.FVE85_4793	4827	0	0	mapping	Porpur_KAA8490489.1
Porpur_gnl_WGS_VRMN_mrna.FVE85_8468	4827	2	0	mapping	Porpur_KAA8490489.1
Porpur_gnl_WGS_VRMN_mrna.FVE85_5176	4827	0	0	mapping	Porpur_KAA8490489.1
Porpur_gnl_WGS_VRMN_mrna.FVE85_7139	4827	2	0	mapping	Porpur_KAA8490489.1
Porpur_gnl_WGS_VRMN_mrna.FVE85_1517	3567	0	0	mapping	Porpur_KAA8490489.1
Porpur_gnl_WGS_VRMN_mrna.FVE85_6041	2901	2	0	mapping	Porpur_KAA8490489.1
Porpur_gnl_WGS_VRMN_mrna.FVE85_6043	2010	2	0	mapping	Porpur_KAA8490489.1
Porpur_gnl_WGS_VRMN_mrna.FVE85_9384	4827	0	0	mapping	Porpur_KAA8490611.1
Porpur_gnl_WGS_VRMN_mrna.FVE85_9898	4827	0	0	mapping	Porpur_KAA8491006.1
Porpur_gnl_WGS_VRMN_mrna.FVE85_3736	4464	2	0	mapping	Porpur_KAA8492298.1
Porpur_gnl_WGS_VRMN_mrna.FVE85_4617	4827	0	0	mapping	Porpur_KAA8493480.1
Porpur_gnl_WGS_VRMN_mrna.FVE85_6043	2010	2	0	mapping	Porpur_KAA8493480.1
Porpur_gnl_WGS_VRMN_mrna.FVE85_1517	3567	0	0	mapping	Porpur_KAA8498458.1
Porpur_gnl_WGS_VRMN_mrna.FVE85_4570	4827	0	0	mapping	Porpur_KAA8498458.1
Porpur_gnl_WGS_VRMN_mrna.FVE85_3449	4827	0	0	mapping	Porpur_KAA8498458.1
Porpur_gnl_WGS_VRMN_mrna.FVE85_4617	4827	0	0	mapping	Porpur_KAA8498458.1
Porpur_gnl_WGS_VRMN_mrna.FVE85_4793	4827	0	0	mapping	Porpur_KAA8498458.1
Porpur_gnl_WGS_VRMN_mrna.FVE85_8468	4827	2	0	mapping	Porpur_KAA8498458.1
Porpur_gnl_WGS_VRMN_mrna.FVE85_5176	4827	0	0	mapping	Porpur_KAA8498458.1
Porpur_gnl_WGS_VRMN_mrna.FVE85_7139	4827	2	0	mapping	Porpur_KAA8498458.1
