Transcript	Length	NumReads	Unmapped	Sample	Gene
Morvir_scaffold102.g15.t1	5952	4925	74	mapping	Morvir_scaffold102.g15.t1
Morvir_scaffold10.g67.t1	3936	24098	508	mapping	Morvir_scaffold10.g67.t1
Morvir_scaffold42.g50.t1	1068	134	10	mapping	Morvir_scaffold119.g44.t1
Morvir_scaffold97.g15.t1	1068	126	3	mapping	Morvir_scaffold119.g44.t1
Morvir_scaffold119.g44.t1	1068	126	4	mapping	Morvir_scaffold119.g44.t1
Morvir_scaffold122.g10.t1	4719	1212	3	mapping	Morvir_scaffold122.g10.t1
Morvir_scaffold131.g36.t1	1068	72	0	mapping	Morvir_scaffold131.g36.t1
Morvir_scaffold154.g16.t2	4980	9550	79	mapping	Morvir_scaffold154.g16.t2
Morvir_scaffold177.g17.t1	4161	7080	190	mapping	Morvir_scaffold177.g17.t1
Morvir_scaffold17.g141.t1	4083	11588	217	mapping	Morvir_scaffold17.g141.t1
Morvir_scaffold1.g18.t2	4797	9061	164	mapping	Morvir_scaffold1.g18.t2
Morvir_scaffold208.g24.t1	3759	1950	46	mapping	Morvir_scaffold208.g24.t1
Morvir_scaffold209.g16.t1	7143	1748	20	mapping	Morvir_scaffold209.g16.t1
Morvir_scaffold217.g1.t1	4179	485	3	mapping	Morvir_scaffold217.g1.t1
Morvir_scaffold21.g164.t3	2307	4975	92	mapping	Morvir_scaffold21.g164.t3
Morvir_scaffold60.g79.t1	4206	13038	106	mapping	Morvir_scaffold21.g164.t3
Morvir_scaffold484.g4.t1	657	25	8	mapping	Morvir_scaffold21.g38.t1
Morvir_scaffold21.g38.t2	7791	2290	24	mapping	Morvir_scaffold21.g38.t2
Morvir_scaffold484.g4.t1	657	25	8	mapping	Morvir_scaffold21.g38.t2
Morvir_scaffold238.g19.t1	4746	2242	36	mapping	Morvir_scaffold238.g19.t1
Morvir_scaffold240.g28.t1	5898	2793	21	mapping	Morvir_scaffold240.g28.t1
Morvir_scaffold48.g18.t1	3189	1756	16	mapping	Morvir_scaffold240.g28.t1
Morvir_scaffold263.g3.t2	3381	10027	163	mapping	Morvir_scaffold263.g3.t2
Morvir_scaffold2848.g1.t1	782	198	2	mapping	Morvir_scaffold2848.g1.t1
Morvir_scaffold2.g47.t1	3723	16988	205	mapping	Morvir_scaffold2.g47.t1
Morvir_scaffold32.g2.t1	5112	3786	123	mapping	Morvir_scaffold32.g2.t1
Morvir_scaffold390.g6.t3	5430	2875	84	mapping	Morvir_scaffold390.g6.t3
Morvir_scaffold39.g109.t1	1068	58	0	mapping	Morvir_scaffold39.g109.t1
Morvir_scaffold434.g2.t1	4467	104405	853	mapping	Morvir_scaffold434.g2.t1
Morvir_scaffold44.g13.t1	6171	992	19	mapping	Morvir_scaffold44.g13.t1
Morvir_scaffold44.g6.t2	3501	1768	22	mapping	Morvir_scaffold44.g6.t2
Morvir_scaffold56.g37.t3	4989	27652	963	mapping	Morvir_scaffold56.g37.t3
Morvir_scaffold5.g135.t1	4260	7712	125	mapping	Morvir_scaffold5.g135.t1
Morvir_scaffold707.g4.t2	3693	12251	234	mapping	Morvir_scaffold707.g4.t2
Morvir_scaffold76.g69.t2	5770	6948	122	mapping	Morvir_scaffold76.g69.t2
Morvir_scaffold237.g17.t1	1989	311	3	mapping	Morvir_scaffold76.g69.t2
Morvir_scaffold7.g45.t2	10680	24408	191	mapping	Morvir_scaffold7.g45.t2
Morvir_scaffold81.g59.t1	3474	465	21	mapping	Morvir_scaffold81.g59.t1
Morvir_scaffold81.g60.t1	2814	894	12	mapping	Morvir_scaffold81.g60.t1
Morvir_scaffold92.g50.t2	3327	10705	37	mapping	Morvir_scaffold92.g50.t2
