Transcript	Length	NumReads	Unmapped	Sample	Gene
Notgen_g10141.t1	5517	5670	122	mapping	Notgen_g10141.t1
Notgen_g10649.t1	2430	10679	48	mapping	Notgen_g10649.t1
Notgen_g14251.t1	1056	312	55	mapping	Notgen_g14251.t1
Notgen_g14498.t1	1851	1368	61	mapping	Notgen_g14498.t1
Notgen_g16943.t1	3771	19269	467	mapping	Notgen_g16943.t1
Notgen_g1820.t1	2400	5849	491	mapping	Notgen_g1820.t1
Notgen_g18231.t1	4392	4443	76	mapping	Notgen_g18231.t1
Notgen_g20558.t1	2121	1160	32	mapping	Notgen_g20558.t1
Notgen_g21261.t1	1710	1341	2	mapping	Notgen_g21261.t1
Notgen_g25118.t1	1086	656	2	mapping	Notgen_g25118.t1
Notgen_g28342.t1	1440	86236	4	mapping	Notgen_g28342.t1
Notgen_g28659.t1	1458	998	0	mapping	Notgen_g28659.t1
Notgen_g29130.t1	6027	2603	258	mapping	Notgen_g29130.t1
Notgen_g29337.t1	1086	1073	2	mapping	Notgen_g29337.t1
Notgen_g29796.t1	3606	2193	26	mapping	Notgen_g29796.t1
Notgen_g36785.t1	2142	1606	5	mapping	Notgen_g36785.t1
Notgen_g37061.t1	7698	42702	892	mapping	Notgen_g37061.t1
Notgen_g37703.t1	4818	663	1	mapping	Notgen_g37703.t1
Notgen_g37890.t1	4806	453	10	mapping	Notgen_g37890.t1
Notgen_g38856.t1	2022	254	1	mapping	Notgen_g38856.t1
Notgen_g39034.t1	1404	94	4	mapping	Notgen_g39034.t1
Notgen_g39178.t1	1305	93	26	mapping	Notgen_g39178.t1
Notgen_g40072.t1	3744	1025	1	mapping	Notgen_g40072.t1
Notgen_g40077.t1	2010	260	5	mapping	Notgen_g40077.t1
Notgen_g40517.t1	2016	162	11	mapping	Notgen_g40517.t1
Notgen_g40755.t1	2121	2134	55	mapping	Notgen_g40755.t1
Notgen_g41680.t1	663	341	30	mapping	Notgen_g40755.t1
Notgen_g41571.t1	3864	1990	6	mapping	Notgen_g41571.t1
Notgen_g41679.t1	3684	4867	469	mapping	Notgen_g41679.t1
Notgen_g5445.t1	1746	2953	291	mapping	Notgen_g5445.t1
Notgen_g5547.t1	2133	320	0	mapping	Notgen_g5547.t1
Notgen_g609.t1	4008	1946	7	mapping	Notgen_g609.t1
Notgen_g7191.t1	1980	2643	170	mapping	Notgen_g7191.t1
Notgen_g9273.t1	1617	3498	196	mapping	Notgen_g9273.t1
Notgen_g9443.t1	5547	101914	797	mapping	Notgen_g9443.t1
