Caulen_g1.t1	Caulen_1_1
Caulen_g2.t1	Caulen_1_2
Caulen_g3.t1	Caulen_1_3
Caulen_g4.t1	Caulen_1_4
Caulen_g5.t1	Caulen_1_5
Caulen_g6.t1	Caulen_1_6
Caulen_g7.t1	Caulen_1_7
Caulen_g8.t1	Caulen_1_8
Caulen_g9.t1	Caulen_1_9
Caulen_g10.t1	Caulen_1_10
Caulen_g11.t1	Caulen_1_11
Caulen_g12.t1	Caulen_1_12
Caulen_g13.t1	Caulen_1_13
Caulen_g14.t1	Caulen_1_14
Caulen_g15.t1	Caulen_1_15
Caulen_g16.t1	Caulen_1_16
Caulen_g17.t1	Caulen_1_17
Caulen_g18.t1	Caulen_1_18
Caulen_g19.t1	Caulen_1_19
Caulen_g20.t1	Caulen_1_20
Caulen_g21.t1	Caulen_1_21
Caulen_g22.t1	Caulen_1_22
Caulen_g23.t1	Caulen_1_23
Caulen_g24.t1	Caulen_1_24
Caulen_g25.t1	Caulen_1_25
Caulen_g26.t1	Caulen_1_26
Caulen_g27.t1	Caulen_1_27
Caulen_g28.t1	Caulen_1_28
Caulen_g29.t1	Caulen_1_29
Caulen_g30.t1	Caulen_1_30
Caulen_g31.t1	Caulen_1_31
Caulen_g32.t1	Caulen_1_32
Caulen_g33.t1	Caulen_1_33
Caulen_g34.t1	Caulen_1_34
Caulen_g35.t1	Caulen_1_35
Caulen_g36.t1	Caulen_1_36
Caulen_g37.t1	Caulen_1_37
Caulen_g38.t1	Caulen_1_38
Caulen_g39.t1	Caulen_1_39
Caulen_g40.t1	Caulen_1_40
Caulen_g41.t1	Caulen_1_41
Caulen_g42.t1	Caulen_1_42
Caulen_g43.t1	Caulen_1_43
Caulen_g44.t1	Caulen_1_44
Caulen_g45.t1	Caulen_1_45
Caulen_g46.t1	Caulen_1_46
Caulen_g47.t2	Caulen_1_47
Caulen_g48.t1	Caulen_1_48
Caulen_g49.t1	Caulen_1_49
Caulen_g50.t1	Caulen_1_50
Caulen_g51.t1	Caulen_1_51
Caulen_g52.t1	Caulen_1_52
Caulen_g53.t1	Caulen_1_53
Caulen_g54.t1	Caulen_1_54
Caulen_g55.t1	Caulen_1_55
Caulen_g56.t1	Caulen_1_56
Caulen_g57.t1	Caulen_1_57
Caulen_g58.t1	Caulen_1_58
Caulen_g59.t1	Caulen_1_59
Caulen_g60.t1	Caulen_1_60
Caulen_g61.t1	Caulen_1_61
Caulen_g62.t1	Caulen_1_62
Caulen_g63.t1	Caulen_1_63
Caulen_g64.t1	Caulen_1_64
Caulen_g65.t1	Caulen_1_65
Caulen_g66.t1	Caulen_1_66
Caulen_g67.t1	Caulen_1_67
Caulen_g68.t1	Caulen_1_68
Caulen_g69.t1	Caulen_1_69
Caulen_g70.t1	Caulen_1_70
Caulen_g71.t1	Caulen_1_71
Caulen_g72.t1	Caulen_1_72
Caulen_g73.t1	Caulen_1_73
Caulen_g74.t1	Caulen_1_74
Caulen_g75.t1	Caulen_1_75
Caulen_g76.t1	Caulen_1_76
Caulen_g77.t1	Caulen_1_77
Caulen_g78.t1	Caulen_1_78
Caulen_g79.t1	Caulen_1_79
Caulen_g80.t1	Caulen_1_80
Caulen_g81.t1	Caulen_1_81
Caulen_g82.t1	Caulen_1_82
Caulen_g83.t1	Caulen_1_83
Caulen_g84.t1	Caulen_1_84
Caulen_g85.t1	Caulen_1_85
Caulen_g86.t1	Caulen_1_86
Caulen_g87.t1	Caulen_1_87
Caulen_g88.t1	Caulen_1_88
Caulen_g89.t1	Caulen_1_89
Caulen_g90.t1	Caulen_1_90
Caulen_g91.t1	Caulen_1_91
Caulen_g92.t1	Caulen_1_92
Caulen_g93.t1	Caulen_1_93
Caulen_g94.t1	Caulen_1_94
Caulen_g95.t1	Caulen_1_95
Caulen_g96.t1	Caulen_1_96
Caulen_g97.t1	Caulen_1_97
Caulen_g98.t1	Caulen_1_98
Caulen_g99.t1	Caulen_1_99
Caulen_g100.t1	Caulen_1_100
Caulen_g101.t1	Caulen_1_101
Caulen_g102.t1	Caulen_1_102
Caulen_g103.t1	Caulen_1_103
Caulen_g104.t1	Caulen_1_104
Caulen_g105.t1	Caulen_1_105
Caulen_g106.t1	Caulen_1_106
Caulen_g107.t1	Caulen_1_107
Caulen_g108.t1	Caulen_1_108
Caulen_g109.t1	Caulen_1_109
Caulen_g110.t1	Caulen_1_110
Caulen_g111.t1	Caulen_1_111
Caulen_g112.t1	Caulen_1_112
Caulen_g113.t1	Caulen_1_113
Caulen_g114.t1	Caulen_1_114
Caulen_g115.t1	Caulen_1_115
Caulen_g116.t1	Caulen_1_116
Caulen_g117.t1	Caulen_1_117
Caulen_g118.t1	Caulen_1_118
Caulen_g119.t1	Caulen_1_119
Caulen_g120.t1	Caulen_1_120
Caulen_g121.t1	Caulen_1_121
Caulen_g122.t1	Caulen_1_122
Caulen_g123.t1	Caulen_1_123
Caulen_g124.t1	Caulen_1_124
Caulen_g125.t1	Caulen_1_125
Caulen_g126.t1	Caulen_1_126
Caulen_g127.t1	Caulen_1_127
Caulen_g128.t1	Caulen_1_128
Caulen_g129.t1	Caulen_1_129
Caulen_g130.t1	Caulen_1_130
Caulen_g131.t1	Caulen_1_131
Caulen_g132.t1	Caulen_1_132
Caulen_g133.t1	Caulen_1_133
Caulen_g134.t1	Caulen_1_134
Caulen_g135.t1	Caulen_1_135
Caulen_g136.t1	Caulen_1_136
Caulen_g137.t1	Caulen_1_137
Caulen_g138.t1	Caulen_1_138
Caulen_g139.t1	Caulen_1_139
Caulen_g140.t1	Caulen_1_140
Caulen_g141.t1	Caulen_1_141
Caulen_g142.t1	Caulen_1_142
Caulen_g143.t1	Caulen_1_143
Caulen_g144.t1	Caulen_1_144
Caulen_g145.t1	Caulen_1_145
Caulen_g146.t1	Caulen_1_146
Caulen_g147.t1	Caulen_1_147
Caulen_g148.t1	Caulen_1_148
Caulen_g149.t1	Caulen_1_149
Caulen_g150.t1	Caulen_1_150
Caulen_g151.t1	Caulen_1_151
Caulen_g152.t1	Caulen_1_152
Caulen_g153.t1	Caulen_1_153
Caulen_g154.t1	Caulen_1_154
Caulen_g155.t1	Caulen_1_155
Caulen_g156.t1	Caulen_1_156
Caulen_g157.t1	Caulen_1_157
Caulen_g158.t1	Caulen_1_158
Caulen_g159.t1	Caulen_1_159
Caulen_g160.t1	Caulen_1_160
Caulen_g161.t1	Caulen_1_161
Caulen_g162.t1	Caulen_1_162
Caulen_g163.t1	Caulen_1_163
Caulen_g164.t1	Caulen_1_164
Caulen_g165.t1	Caulen_1_165
Caulen_g166.t1	Caulen_1_166
Caulen_g167.t1	Caulen_1_167
Caulen_g168.t1	Caulen_1_168
Caulen_g169.t1	Caulen_1_169
Caulen_g170.t1	Caulen_1_170
Caulen_g171.t1	Caulen_1_171
Caulen_g172.t1	Caulen_1_172
Caulen_g173.t1	Caulen_1_173
Caulen_g174.t1	Caulen_1_174
Caulen_g175.t1	Caulen_1_175
Caulen_g176.t1	Caulen_1_176
Caulen_g177.t1	Caulen_1_177
Caulen_g178.t1	Caulen_1_178
Caulen_g179.t1	Caulen_1_179
Caulen_g180.t1	Caulen_1_180
Caulen_g181.t1	Caulen_1_181
Caulen_g182.t1	Caulen_1_182
Caulen_g183.t1	Caulen_1_183
Caulen_g184.t1	Caulen_1_184
Caulen_g185.t1	Caulen_1_185
Caulen_g186.t1	Caulen_1_186
Caulen_g187.t1	Caulen_1_187
Caulen_g188.t1	Caulen_1_188
Caulen_g189.t1	Caulen_1_189
Caulen_g190.t1	Caulen_1_190
Caulen_g191.t1	Caulen_1_191
Caulen_g192.t1	Caulen_1_192
Caulen_g193.t1	Caulen_1_193
Caulen_g194.t1	Caulen_1_194
Caulen_g195.t1	Caulen_1_195
Caulen_g196.t1	Caulen_1_196
Caulen_g197.t1	Caulen_1_197
Caulen_g198.t1	Caulen_1_198
Caulen_g199.t1	Caulen_1_199
Caulen_g200.t1	Caulen_1_200
Caulen_g201.t1	Caulen_1_201
Caulen_g202.t1	Caulen_1_202
Caulen_g203.t1	Caulen_1_203
Caulen_g204.t1	Caulen_1_204
Caulen_g205.t1	Caulen_1_205
Caulen_g206.t1	Caulen_1_206
Caulen_g207.t1	Caulen_1_207
Caulen_g208.t1	Caulen_1_208
Caulen_g209.t1	Caulen_1_209
Caulen_g210.t1	Caulen_1_210
Caulen_g211.t1	Caulen_1_211
Caulen_g212.t1	Caulen_1_212
Caulen_g213.t1	Caulen_1_213
Caulen_g214.t1	Caulen_1_214
Caulen_g215.t1	Caulen_1_215
Caulen_g216.t1	Caulen_1_216
Caulen_g217.t1	Caulen_1_217
Caulen_g218.t1	Caulen_1_218
Caulen_g219.t1	Caulen_1_219
Caulen_g220.t1	Caulen_1_220
Caulen_g221.t1	Caulen_1_221
Caulen_g222.t1	Caulen_1_222
Caulen_g223.t1	Caulen_1_223
Caulen_g224.t1	Caulen_1_224
Caulen_g225.t1	Caulen_1_225
Caulen_g226.t1	Caulen_1_226
Caulen_g227.t1	Caulen_1_227
Caulen_g228.t1	Caulen_1_228
Caulen_g229.t1	Caulen_1_229
Caulen_g230.t1	Caulen_1_230
Caulen_g231.t1	Caulen_1_231
Caulen_g232.t1	Caulen_1_232
Caulen_g233.t1	Caulen_1_233
Caulen_g234.t1	Caulen_1_234
Caulen_g235.t1	Caulen_1_235
Caulen_g236.t1	Caulen_1_236
Caulen_g237.t1	Caulen_1_237
Caulen_g238.t1	Caulen_1_238
Caulen_g239.t1	Caulen_1_239
Caulen_g240.t1	Caulen_1_240
Caulen_g241.t1	Caulen_1_241
Caulen_g242.t1	Caulen_1_242
Caulen_g243.t1	Caulen_1_243
