#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
H2B_canonical        -            126 Aano_EGB02157_1-106  -            106   1.1e-48  153.9   1.0   1   1   2.3e-49   1.2e-48  153.8   1.0    11   111     2   106     1   106 0.95 -
H2B_H2B.Z            -            123 Aano_EGB02157_1-106  -            106   1.4e-43  137.6   0.8   1   1   3.1e-44   1.5e-43  137.4   0.8     4   107     3   106     1   106 0.88 -
H3_H3.3              -            136 Aano_EGB03522_1-114  -            114   1.3e-67  215.5   2.6   1   1   4.4e-68   1.5e-67  215.2   2.6     1   104     1   104     1   110 0.99 -
H3_canonical         -            136 Aano_EGB03522_1-114  -            114   2.6e-65  207.9   1.8   1   1     9e-66     3e-65  207.7   1.8     1   104     1   104     1   110 0.99 -
H3_cenH3             -            268 Aano_EGB03522_1-114  -            114   5.6e-39  124.1   1.6   1   1     2e-39   6.6e-39  123.8   1.6   127   226     4   104     1   104 0.78 -
H3_H3.3              -            136 Aano_EGB03692_1-136  -            136   5.5e-91  291.1   4.9   1   1   1.8e-91   6.1e-91  290.9   4.9     1   136     1   136     1   136 1.00 -
H3_canonical         -            136 Aano_EGB03692_1-136  -            136   7.6e-89  284.1   3.8   1   1   2.5e-89   8.4e-89  284.0   3.8     1   136     1   136     1   136 0.99 -
H3_cenH3             -            268 Aano_EGB03692_1-136  -            136   1.5e-64  207.9   3.5   1   1     5e-65   1.7e-64  207.8   3.5   127   257     4   135     1   136 0.83 -
H2A_H2A.X            -            137 Aano_EGB03693_2-101  -            100   4.5e-51  161.5   0.5   1   1   2.5e-51   4.9e-51  161.4   0.5     2   102     1   100     1   100 0.98 -
H2A_canonical        -            130 Aano_EGB03693_2-101  -            100   3.2e-49  155.4   0.4   1   1   1.7e-49   3.4e-49  155.3   0.4     4    99     3   100     1   100 0.91 -
H2A_H2A.W            -            156 Aano_EGB03693_2-101  -            100   2.6e-46  146.7   3.5   1   1   1.4e-46   2.8e-46  146.6   3.5    13   109     4    99     1   100 0.89 -
H2A_macroH2A         -            369 Aano_EGB03693_2-101  -            100   4.1e-44  140.3   0.5   1   1   2.4e-44   4.8e-44  140.1   0.5     3    95     7    99     4   100 0.96 -
H2A_H2A.Z            -            140 Aano_EGB03693_2-101  -            100   1.4e-37  118.1   0.0   1   1   7.4e-38   1.5e-37  118.0   0.0    17   112     5    99     1   100 0.89 -
H2A_H2A.X            -            137 Aano_EGB03982_10-97  -             88   6.2e-49  154.5   0.1   1   1   3.3e-49   6.7e-49  154.4   0.1    17   102     3    88     1    88 0.98 -
H2A_canonical        -            130 Aano_EGB03982_10-97  -             88     3e-48  152.3   0.2   1   1   1.6e-48   3.2e-48  152.2   0.2    14    99     3    88     1    88 0.98 -
H2A_H2A.W            -            156 Aano_EGB03982_10-97  -             88   1.2e-46  147.8   0.8   1   1   6.2e-47   1.2e-46  147.7   0.8    25   109     3    87     1    88 0.98 -
H2A_macroH2A         -            369 Aano_EGB03982_10-97  -             88   4.9e-44  140.1   0.1   1   1   2.9e-44   5.7e-44  139.8   0.1    12    95     4    87     2    88 0.98 -
H2A_H2A.Z            -            140 Aano_EGB03982_10-97  -             88   6.1e-36  112.8   0.0   1   1   3.5e-36     7e-36  112.6   0.0    29   112     5    87     2    88 0.95 -
H2B_canonical        -            126 Aano_EGB04036_1-102  -            102     2e-51  162.7   1.2   1   1   4.4e-52   2.2e-51  162.6   1.2    11   111     2   102     1   102 0.97 -
H2B_H2B.Z            -            123 Aano_EGB04036_1-102  -            102   3.2e-46  146.1   1.0   1   1   7.2e-47   3.6e-46  145.9   1.0     4   107     3   102     1   102 0.91 -
H2A_H2A.X            -            137 Aano_EGB05532_1-90   -             90   1.4e-06   17.4   0.0   1   1   4.6e-07   2.3e-06   16.7   0.0    27    93     7    82     5    89 0.84 -
H2A_H2A.W            -            156 Aano_EGB05532_1-90   -             90   5.8e-05   12.3   0.0   1   1   1.6e-05   8.1e-05   11.9   0.0    35    98     7    79     2    85 0.82 -
H3_cenH3             -            268 Aano_EGB06405_1-98   -             98     9e-55  175.8   3.2   1   1     3e-55   9.9e-55  175.7   3.2   158   255     2    98     1    98 0.98 -
H3_canonical         -            136 Aano_EGB06405_1-98   -             98   3.7e-46  145.9   1.6   1   1   1.2e-46   4.1e-46  145.8   1.6    38   133     2    98     1    98 0.97 -
H3_H3.3              -            136 Aano_EGB06405_1-98   -             98   2.1e-44  140.3   1.3   1   1   6.9e-45   2.3e-44  140.2   1.3    38   133     2    98     1    98 0.97 -
H2A_H2A.X            -            137 Aano_EGB08138_8-94   -             87   9.1e-06   14.8   0.0   1   1   1.9e-06   9.3e-06   14.7   0.0    23    98     5    83     1    87 0.76 -
H2A_canonical        -            130 Aano_EGB08138_8-94   -             87   9.4e-06   14.9   0.0   1   1     2e-06     1e-05   14.8   0.0    18    97     3    85     1    87 0.73 -
H2A_H2A.X            -            137 Aano_EGB10091_4-102  -             99     4e-51  161.6   0.5   1   1   2.2e-51   4.3e-51  161.5   0.5     5   102     2    99     1    99 0.94 -
H2A_canonical        -            130 Aano_EGB10091_4-102  -             99   6.2e-50  157.7   0.5   1   1   3.3e-50   6.7e-50  157.6   0.5     5    99     5    99     1    99 0.94 -
