og_class	orthogroup	Pattern	og_id	og_tmp	og_name	og_name_short	og_id_short	gene_class	gene_type	domains	search	inflation	min_size	sum_gain	sum_loss	sum_pres_total	sum_pres_extant
Acetyltransf_1.HG1.0	Acetyltransf_1	Acetyltransf_1.HG1.0:like:NAA30/NAT8/NAT8L/NAT14:likeclu:14/23/38	0000000000000000000000000000000000000000000000101000000000000000010000000100000100000000000011111101011101000001000000000100002010000000000000000000011100000000000000000000	Acetyltransf_1.HG1.0	Acetyltransf_1.HG1.0:like_NAA30/NAT8/NAT8L/NAT14	like:NAA30/NAT8/NAT8L/NAT14	like:NAA30/NAT8/NAT8L/NAT14	Acetyltransf_1.HG1.0 | like:NAA30/NAT8/NAT8L/NAT14	Acetylation	Acetylase	Acetyltransf_1	GA	1.1	2	NA	NA	77.3727552648834	23
Acetyltransf_1.HG1.1	Acetyltransf_1	Acetyltransf_1.HG1.1:like:NAA30/NAT8/NAT8L/NAT14:likeclu:14/23/38	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111011010000000000000000000000000000000000000000000000000000000000	Acetyltransf_1.HG1.1	Acetyltransf_1.HG1.1:like_NAA30/NAT8/NAT8L/NAT14	like:NAA30/NAT8/NAT8L/NAT14	like:NAA30/NAT8/NAT8L/NAT14	Acetyltransf_1.HG1.1 | like:NAA30/NAT8/NAT8L/NAT14	Acetylation	Acetylase	Acetyltransf_1	GA	1.1	2	NA	NA	13.3177427555883	6
Acetyltransf_1.HG1.10	Acetyltransf_1	Acetyltransf_1.HG1.10:like:NAA30/NAT8/NAT8L/NAT14:likeclu:14/23/38	0000000000000000000000001101000000000011000000000000000000000000000000000000000700000000001000000000000000000000000000000000000000000000000110000000000011000000001000000000	Acetyltransf_1.HG1.10	Acetyltransf_1.HG1.10:like_NAA30/NAT8/NAT8L/NAT14	like:NAA30/NAT8/NAT8L/NAT14	like:NAA30/NAT8/NAT8L/NAT14	Acetyltransf_1.HG1.10 | like:NAA30/NAT8/NAT8L/NAT14	Acetylation	Acetylase	Acetyltransf_1	GA	1.1	2	NA	NA	51.5812250529696	12
Acetyltransf_1.HG1.11	Acetyltransf_1	Acetyltransf_1.HG1.11:like:NAA30/NAT8/NAT8L/NAT14:likeclu:14/23/38	0000000000000000000000000000000000000000000000000000000000000000000000000000001000000011000000000000000000000000000000000000000000000000000000000000000001000000002000000000	Acetyltransf_1.HG1.11	Acetyltransf_1.HG1.11:like_NAA30/NAT8/NAT8L/NAT14	like:NAA30/NAT8/NAT8L/NAT14	like:NAA30/NAT8/NAT8L/NAT14	Acetyltransf_1.HG1.11 | like:NAA30/NAT8/NAT8L/NAT14	Acetylation	Acetylase	Acetyltransf_1	GA	1.1	2	NA	NA	16.5551229925851	5
Acetyltransf_1.HG1.12	Acetyltransf_1	Acetyltransf_1.HG1.12:like:NAA30/NAT8/NAT8L/NAT14:likeclu:14/23/38	0004000000000000310005000000000000000000000000010000000000000000000002000000100000000000000000000000000000000000000001000000102000000010000100100000010001000000000000000000	Acetyltransf_1.HG1.12	Acetyltransf_1.HG1.12:like_NAA30/NAT8/NAT8L/NAT14	like:NAA30/NAT8/NAT8L/NAT14	like:NAA30/NAT8/NAT8L/NAT14	Acetyltransf_1.HG1.12 | like:NAA30/NAT8/NAT8L/NAT14	Acetylation	Acetylase	Acetyltransf_1	GA	1.1	2	NA	NA	64.2437297133922	15
Acetyltransf_1.HG1.13	Acetyltransf_1	Acetyltransf_1.HG1.13:like:NAA30:likeclu:14	0000000000000000000000000000000000000000001000000000000000000000000000010000000001000000004000000000000000000000000000000000000200000000000000000001000000002000000000000000	Acetyltransf_1.HG1.13	Acetyltransf_1.HG1.13:like_NAA30	like:NAA30	like:NAA30	Acetyltransf_1.HG1.13 | like:NAA30	Acetylation	Acetylase	Acetyltransf_1	GA	1.1	2	NA	NA	38.7752893096238	7
Acetyltransf_1.HG1.14	Acetyltransf_1	Acetyltransf_1.HG1.14:NAA30	1111111221121111011111311111110111121021111011112111111111110111111121110111101111111110121111111111122111111111111111111101111111111111101111021111110111010021112111101210	Acetyltransf_1.HG1.14	Acetyltransf_1.HG1.14:NAA30	NAA30	NAA30	Acetyltransf_1.HG1.14 | NAA30	Acetylation	Acetylase	Acetyltransf_1	GA	1.1	2	NA	NA	315.752828117571	155
Acetyltransf_1.HG1.15	Acetyltransf_1	Acetyltransf_1.HG1.15:like:NAT8/NAT8L:likeclu:38	0000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000	Acetyltransf_1.HG1.15	Acetyltransf_1.HG1.15:like_NAT8/NAT8L	like:NAT8/NAT8L	like:NAT8/NAT8L	Acetyltransf_1.HG1.15 | like:NAT8/NAT8L	Acetylation	Acetylase	Acetyltransf_1	GA	1.1	2	NA	NA	2.90210153671682	2
Acetyltransf_1.HG1.16	Acetyltransf_1	Acetyltransf_1.HG1.16:like:NAT14:likeclu:23	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000000000000000000000000000000000000000000	Acetyltransf_1.HG1.16	Acetyltransf_1.HG1.16:like_NAT14	like:NAT14	like:NAT14	Acetyltransf_1.HG1.16 | like:NAT14	Acetylation	Acetylase	Acetyltransf_1	GA	1.1	2	NA	NA	3.3829728675539	2
Acetyltransf_1.HG1.17	Acetyltransf_1	Acetyltransf_1.HG1.17:like:NAT14:likeclu:23	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110011110000000000011000000000000000000000000100000000000000000000	Acetyltransf_1.HG1.17	Acetyltransf_1.HG1.17:like_NAT14	like:NAT14	like:NAT14	Acetyltransf_1.HG1.17 | like:NAT14	Acetylation	Acetylase	Acetyltransf_1	GA	1.1	2	NA	NA	32.150256607558	9
Acetyltransf_1.HG1.18	Acetyltransf_1	Acetyltransf_1.HG1.18:like:NAT14:likeclu:23	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111111113101331122010000100001001000000000000000000002020100000000000000000000	Acetyltransf_1.HG1.18	Acetyltransf_1.HG1.18:like_NAT14	like:NAT14	like:NAT14	Acetyltransf_1.HG1.18 | like:NAT14	Acetylation	Acetylase	Acetyltransf_1	GA	1.1	2	NA	NA	74.1730684745028	26
Acetyltransf_1.HG1.19	Acetyltransf_1	Acetyltransf_1.HG1.19:like:NAT8/NAT8L:likeclu:38	0000000000000000020000000000000040050100000000001100000010020302410000001031000200142033123100000000000000000014001100101000002000000000000000000001000000201200000221000000	Acetyltransf_1.HG1.19	Acetyltransf_1.HG1.19:like_NAT8/NAT8L	like:NAT8/NAT8L	like:NAT8/NAT8L	Acetyltransf_1.HG1.19 | like:NAT8/NAT8L	Acetylation	Acetylase	Acetyltransf_1	GA	1.1	2	NA	NA	128.130940459352	39
Acetyltransf_1.HG1.2	Acetyltransf_1	Acetyltransf_1.HG1.2:like:NAA30/NAT8/NAT8L/NAT14:likeclu:14/23/38	0000000000000000000000000000000000000000000000000000000000000000000000000010000000020002000000000000000000000001110011000000002000000000000000300001010100001000000000000000	Acetyltransf_1.HG1.2	Acetyltransf_1.HG1.2:like_NAA30/NAT8/NAT8L/NAT14	like:NAA30/NAT8/NAT8L/NAT14	like:NAA30/NAT8/NAT8L/NAT14	Acetyltransf_1.HG1.2 | like:NAA30/NAT8/NAT8L/NAT14	Acetylation	Acetylase	Acetyltransf_1	GA	1.1	2	NA	NA	61.7790014024039	14
Acetyltransf_1.HG1.20	Acetyltransf_1	Acetyltransf_1.HG1.20:like:NAT14:likeclu:23	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000021000000000000000000000000000000012012200000000000000000000022000000000000000000000	Acetyltransf_1.HG1.20	Acetyltransf_1.HG1.20:like_NAT14	like:NAT14	like:NAT14	Acetyltransf_1.HG1.20 | like:NAT14	Acetylation	Acetylase	Acetyltransf_1	GA	1.1	2	NA	NA	39.8634253171612	9
Acetyltransf_1.HG1.21	Acetyltransf_1	Acetyltransf_1.HG1.21:like:NAT14:likeclu:23	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000000000000000000000000000000000000000000000	Acetyltransf_1.HG1.21	Acetyltransf_1.HG1.21:like_NAT14	like:NAT14	like:NAT14	Acetyltransf_1.HG1.21 | like:NAT14	Acetylation	Acetylase	Acetyltransf_1	GA	1.1	2	NA	NA	3.05506002424666	2
Acetyltransf_1.HG1.22	Acetyltransf_1	Acetyltransf_1.HG1.22:like:NAT14:likeclu:23	0000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000002000112032200000000001003300000011200000000000000000000	Acetyltransf_1.HG1.22	Acetyltransf_1.HG1.22:like_NAT14	like:NAT14	like:NAT14	Acetyltransf_1.HG1.22 | like:NAT14	Acetylation	Acetylase	Acetyltransf_1	GA	1.1	2	NA	NA	54.7212111787347	14
Acetyltransf_1.HG1.23	Acetyltransf_1	Acetyltransf_1.HG1.23:NAT14	1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012111111100101111211010000000000000000000000000000000000000000000000000000000000	Acetyltransf_1.HG1.23	Acetyltransf_1.HG1.23:NAT14	NAT14	NAT14	Acetyltransf_1.HG1.23 | NAT14	Acetylation	Acetylase	Acetyltransf_1	GA	1.1	2	NA	NA	39.4350321491718	19
Acetyltransf_1.HG1.24	Acetyltransf_1	Acetyltransf_1.HG1.24:like:NAT8/NAT8L:likeclu:38	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000000000200000000000000000	Acetyltransf_1.HG1.24	Acetyltransf_1.HG1.24:like_NAT8/NAT8L	like:NAT8/NAT8L	like:NAT8/NAT8L	Acetyltransf_1.HG1.24 | like:NAT8/NAT8L	Acetylation	Acetylase	Acetyltransf_1	GA	1.1	2	NA	NA	3.18847040447952	2
Acetyltransf_1.HG1.25	Acetyltransf_1	Acetyltransf_1.HG1.25:like:NAT14:likeclu:23	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000020000000000000000000000	Acetyltransf_1.HG1.25	Acetyltransf_1.HG1.25:like_NAT14	like:NAT14	like:NAT14	Acetyltransf_1.HG1.25 | like:NAT14	Acetylation	Acetylase	Acetyltransf_1	GA	1.1	2	NA	NA	3.4192785385208	2
Acetyltransf_1.HG1.26	Acetyltransf_1	Acetyltransf_1.HG1.26:like:NAT14:likeclu:23	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000021100000000000000000000	Acetyltransf_1.HG1.26	Acetyltransf_1.HG1.26:like_NAT14	like:NAT14	like:NAT14	Acetyltransf_1.HG1.26 | like:NAT14	Acetylation	Acetylase	Acetyltransf_1	GA	1.1	2	NA	NA	5.08182857510706	3
Acetyltransf_1.HG1.27	Acetyltransf_1	Acetyltransf_1.HG1.27:like:NAT14:likeclu:23	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012311231211101000000000000000000000000000000000000000000000000000000000000000000	Acetyltransf_1.HG1.27	Acetyltransf_1.HG1.27:like_NAT14	like:NAT14	like:NAT14	Acetyltransf_1.HG1.27 | like:NAT14	Acetylation	Acetylase	Acetyltransf_1	GA	1.1	2	NA	NA	26.6543943981338	13
