members	component	classification	posx	posy
arc_QHN05808.1_1-68	0	H4	-0.15824303030967712	-0.23619721829891205
arc_ABO34547.1_1-66	0		0.018157770857214928	0.04009837284684181
arc_TRO59080.1_1-73	0		-0.03605106472969055	-0.05529015138745308
arc_RLG36250.1_1-71	0		-0.03325240686535835	0.006383455824106932
arc_WP_013904898.1_1-67	0		-0.17368562519550323	-0.27386754751205444
arc_RNJ76765.1_1-73	0	H4	-0.05543465167284012	-0.027307316660881042
arc_RLI72833.1_1-67	0	H4	0.011128184385597706	-0.03364117071032524
arc_WP_048190788.1_1-69	0		0.09885895997285843	0.07570863515138626
arc_RDE17318.1_1-78	0	H2B	-0.015699399635195732	0.037809208035469055
arc_PJD01290.1_1-70	0		0.1860061138868332	-0.10645437985658646
arc_KKG23878.1_1-70	0	H4	-0.12703083455562592	0.20263803005218506
arc_SDW64875.1_1-73	0	other_CENP	-0.04766890034079552	0.1395551711320877
arc_RLG64688.1_1-67	0		-0.11679530143737793	-0.01408687699586153
arc_ABK13826.1_1-75	0	H4	-0.08204885572195053	0.03362170234322548
arc_KKH40171.1_1-70	0	H4	-0.11650948226451874	0.19759176671504974
arc_KPU80969.1_1-62	0		-0.17698141932487488	-0.30014127492904663
arc_WP_048058333.1_1-67	0		-0.09613049030303955	-0.029892779886722565
arc_WP_096713064.1_1-73	0		-0.012752311304211617	0.1232038363814354
arc_KUO88197.1_1-76	0	H2B	-0.0797334834933281	-0.029391897842288017
arc_AMD29624.1_1-75	0		0.04424825683236122	-0.009600826539099216
arc_WP_048165294.1_1-67	0	H4	-0.0823402851819992	-0.011150083504617214
arc_PIZ91265.1_1-67	0		-0.04143724590539932	-0.015527759678661823
arc_KKH27739.1_1-70	0	H4	-0.13211865723133087	0.2115311473608017
arc_RLG58736.1_1-66	0	other_CENP	-0.020204542204737663	-0.008320354856550694
arc_AHL21670.1_1-67	0	other_CENP	-0.05307997390627861	-0.02779228985309601
arc_WP_048071117.1_1-73	0		-0.16326290369033813	-0.27636897563934326
arc_RLG19899.1_1-79	0	H3	-0.1166476160287857	0.15304683148860931
arc_AAZ70531.1_1-69	0	H4	-0.1268298178911209	0.2015516608953476
arc_EHP85304.1_1-67	0		-0.06314893066883087	-0.05458599328994751
arc_AAB85321.1_1-68	0	H4	0.09272107481956482	0.03552303835749626
arc_WP_012572195.1_1-67	0	other_CENP	-0.09802377969026566	-0.027413632720708847
arc_OYT36414.1_1-80	0	H4	-0.11677976697683334	0.00989637803286314
arc_WP_004038710.1_1-68	0	H3	0.304129421710968	0.3247869312763214
arc_TFG07683.1_1-73	0		-0.017383424565196037	0.04554370045661926
arc_ACJ16723.1_1-67	0	other_CENP	-0.09172642230987549	-0.03294730931520462
arc_PWB84901.1_1-68	0	H4	0.010084863752126694	-0.05765736848115921
arc_RAP50540.1_1-48	0	other_CENP	0.07689477503299713	0.039898842573165894
arc_RZN15476.1_23-119	0	H4	-0.009861750528216362	0.018233953043818474
arc_AAA73427.1_1-67	0	other_CENP	-0.0791979730129242	-0.015495751984417439
arc_WP_095609043.1_1-65	0		0.06432083994150162	0.08696016669273376
arc_PIV13942.1_27-91	0	H4	-0.030479764565825462	0.1598525494337082
arc_RJS71065.1_1-68	0		-0.024286480620503426	0.08033151179552078
arc_VUT26500.1_1-68	0		0.028233276680111885	0.07141219824552536
arc_TMS41974.1_1-68	0		0.11085807532072067	0.03210894763469696
arc_OPX72423.1_2-84	0		0.3010234236717224	0.309171199798584
arc_PWR70804.1_10-107	0	other_CENP	0.3077782392501831	0.3404412269592285
arc_ASI99810.1_1-67	0	H4	-0.06363146752119064	-0.01992827095091343
arc_AWX32771.1_1-67	0		0.11498960852622986	0.08004625886678696
arc_RLI35421.1_1-61	0	H4	-0.13116613030433655	-0.19136160612106323
arc_ATZ59479.1_1-65	0	other_CENP	0.15352356433868408	0.006218366324901581
arc_OPY23865.1_1-74	0	other_POLE	0.13777999579906464	0.08377929776906967
arc_WP_109967907.1_1-68	0	other_POLE	0.3318606913089752	0.33777472376823425
arc_OPX80183.1_1-77	0	H4	-0.06800390779972076	0.06953968852758408
arc_RLI66759.1_7-72	0		0.2866131067276001	-0.2512241005897522
arc_KER06285.1_2-78	0		-0.16280300915241241	-0.2754836082458496
arc_PJB21980.1_1-67	0		0.05534873902797699	0.07267189025878906
arc_VUT27968.1_1-68	0		-0.0268942192196846	0.08907675743103027
arc_KKG28166.1_1-70	0	H4	-0.12574194371700287	0.19800841808319092
arc_PLJ77232.1_1-81	0	H4	-0.10544419288635254	0.0012555776629596949
arc_AFL95685.1_1-67	0	other_CENP	-0.06359141319990158	-0.02100078947842121
arc_RAO79430.1_1-69	0	other_CENP	0.07243567705154419	0.06604847311973572
arc_AEH23840.1_1-67	0	H4	-0.06572990119457245	-0.017932599410414696
arc_OED05742.1_1-69	0		0.04134964570403099	-0.025764424353837967
arc_WP_167730637.1_1-67	0	other_CENP	-0.050426941365003586	-0.023884613066911697
arc_AKB17295.1_1-70	0	H4	-0.12303537875413895	0.19546356797218323
arc_PWL07829.1_1-66	0	other_NFY	0.1334814876317978	0.007763692643493414
arc_PKL69964.1_1-69	0		-0.025654364377260208	0.060470253229141235
arc_KKH88571.1_1-70	0	H4	-0.116505928337574	0.20187360048294067
arc_TMS42388.1_1-69	0	H4	0.11495199054479599	0.09067337214946747
arc_OLS24625.1_1-70	0		-0.10775450617074966	0.1406763643026352
arc_PIX50397.1_1-67	0		-0.08225905150175095	-0.023645777255296707
arc_KKK41688.1_1-74	0	H4	0.28284114599227905	-0.24293369054794312
arc_GBF24135.1_1-73	0		-0.1723252236843109	-0.27504581212997437
arc_KXB02769.1_1-71	0	other_CENP	-0.07466250658035278	0.05101635679602623
arc_OEU43361.1_1-69	0	H4	-0.1173396110534668	0.20205366611480713
arc_PAV07629.1_1-68	0		0.05809666961431503	0.1103137657046318
arc_ADL58808.1_1-68	0	H4	0.08791177719831467	0.05605551600456238
arc_PXF52347.1_1-66	0		0.005313931033015251	-0.014695387333631516
arc_RLE43962.1_1-67	0		-0.1403609663248062	-0.03887461498379707
arc_RLI94061.1_1-74	0		0.08380849659442902	0.10575564950704575
arc_OPY36308.1_14-93	0		0.3342397212982178	0.3465491533279419
arc_KZX13186.1_1-69	0		0.06595825403928757	0.03233954682946205
arc_QGA80726.1_1-68	0		0.03641699254512787	0.0649789497256279
arc_RAP53921.1_1-69	0		0.10628873109817505	0.09434875845909119
arc_KKG26484.1_1-70	0	H4	-0.12971962988376617	0.20965151488780975
arc_KUK72323.1_1-74	0		0.10100998729467392	0.07643862068653107
arc_WP_016358304.1_1-67	0		0.11058385670185089	0.0007818348240107298
arc_AGK60764.1_1-67	0		-0.0003786573652178049	0.004190499894320965
arc_AEH06552.1_1-67	0		-0.0689961239695549	-0.07857037335634232
arc_KKH47972.1_1-70	0	H4	-0.11157214641571045	0.19608499109745026
arc_SAI88009.1_1-68	0		0.3226965665817261	0.3333453834056854
arc_KUK27947.1_1-67	0		-0.05693954974412918	-0.016703039407730103
arc_OLC93604.1_2-73	0		-0.15116196870803833	-0.279386043548584
arc_ALV63354.1_1-67	0	other_CENP	-0.10232489556074142	-0.03514625504612923
arc_RAP45776.1_1-68	0		0.046447012573480606	-0.04606723412871361
arc_PIO03705.1_1-71	0		0.01649227738380432	0.057323820888996124
arc_RDJ36435.1_1-73	0	H4	-0.17010550200939178	-0.28963807225227356
arc_WP_116669814.1_1-67	0	other_CENP	0.14435549080371857	-0.007725321687757969
arc_PJB74879.1_1-73	0		-0.08931110054254532	0.07165627181529999
arc_RLF21184.1_1-58	0	other_CENP	-0.1683664470911026	-0.08134263753890991
arc_WP_013295523.1_1-67	0	H4	0.08456188440322876	0.06423398852348328
arc_OQD58397.1_1-73	0		0.31676268577575684	0.7867279648780823
arc_RMW33987.1_1-73	0		-0.17283883690834045	-0.30106648802757263
arc_KXA93084.1_1-66	0		-0.09345705807209015	0.03430414944887161
arc_sp|P50484.1|HMTB_METTH_1-67	0	H4	0.10703331232070923	0.07398661971092224
arc_EKQ55831.1_21-96	0		0.11198917776346207	0.018618037924170494
arc_WP_081225929.1_1-76	0	H2B	-0.08133459091186523	-0.03262162208557129
arc_OPY23116.1_21-96	0		0.1086379736661911	0.03178737685084343
arc_ADC65068.1_1-69	0		-0.012706265784800053	-0.042335689067840576
arc_RSN69534.1_1-74	0	H4	0.0035769364330917597	-0.022451406344771385
arc_EHK02133.1_1-65	0	H4	0.024982213973999023	0.0011846378911286592
arc_WP_040681874.1_1-67	0	H4	0.12115725129842758	-0.009142057970166206
arc_TFG20815.1_1-69	0		0.2749209702014923	-0.23924201726913452
arc_PLW80575.1_1-72	0		-0.035004936158657074	-0.09398863464593887
arc_RLJ04677.1_1-73	0	other_CENP	-0.06784050166606903	-0.09594912081956863
arc_RLI17466.1_1-73	0		-0.11410333216190338	-0.15510708093643188
arc_ADC47610.1_1-74	0	H4	0.022160345688462257	-0.05590614676475525
arc_RJS85725.1_1-71	0	H4	-0.12956108152866364	-0.18391498923301697
arc_QHN07391.1_1-68	0	H4	0.08824176341295242	0.041995592415332794
arc_TFG25110.1_1-68	0		0.19500011205673218	-0.17767173051834106
arc_WP_082086837.1_1-86	0	H4	-0.13135835528373718	0.2110830396413803
arc_ADP77985.1_1-69	0	other_CENP	0.06350886821746826	0.050296105444431305
arc_AAL81955.1_1-67	0	H4	-0.07883092015981674	-0.011256773956120014
arc_KEQ56781.1_2-78	0		-0.16475844383239746	-0.28438588976860046
arc_RLG00573.1_1-67	0	H3	-0.07829353958368301	0.02575094625353813
arc_RLF92116.1_1-67	0	H4	-0.05299893021583557	-0.02019480988383293
arc_WP_071907253.1_1-67	0		0.10390747338533401	0.06510810554027557
arc_ODS40431.1_1-76	0		-0.1135704442858696	0.17342844605445862
arc_KAB2945744.1_1-80	0	H4	-0.059760481119155884	0.13129322230815887
arc_REE29060.1_1-67	0	H4	0.087975412607193	0.0706133246421814
arc_AFN04810.1_1-67	0	H4	-0.07461964339017868	-0.0037676687352359295
arc_WP_012794897.1_1-67	0		-0.08282806724309921	-0.056805528700351715
arc_WP_011973375.1_1-66	0		-0.07730131596326828	-0.08437320590019226
arc_TFH30816.1_1-69	0		0.1832405924797058	-0.1797010898590088
arc_WP_062371909.1_1-67	0		-0.09105727076530457	-0.010876993648707867
arc_BAP62487.1_1-67	0		-0.044476985931396484	-0.06904479116201401
arc_KHO50482.1_1-59	0	H4	0.02121211215853691	-0.03838028386235237
arc_TRO53688.1_2-73	0		-0.11518502235412598	-0.1534784585237503
arc_ADI37342.1_1-67	0		-0.061304494738578796	-0.08518386632204056
arc_KKH87928.1_1-70	0	H4	-0.13405780494213104	0.21392549574375153
arc_OEC87410.1_1-68	0		0.08752431720495224	0.05207764729857445
arc_RCV64961.1_1-69	0	H4	0.10871172696352005	0.056287240236997604
arc_RAP45846.1_1-65	0		0.0791732668876648	-0.0006848775665275753
arc_RLI15435.1_1-73	0	H4	-0.10999631136655807	-0.14728404581546783
arc_RLG67885.1_1-80	0	H4	-0.005698577966541052	-0.02162371203303337
arc_sp|Q57632.1|HJA1_METJA_1-67	0		-0.08893337845802307	-0.11122250556945801
arc_WP_162306625.1_1-64	0		0.5502926707267761	-0.4063594341278076
arc_RLI61269.1_5-73	0		0.2850932478904724	-0.24765276908874512
arc_WP_075059722.1_1-77	0		-0.06679268926382065	-0.03088575042784214
arc_OPX70785.1_1-68	0	H3	0.3323076665401459	0.33954277634620667
arc_TFF86356.1_5-70	0		0.286788672208786	-0.24994979798793793
arc_PWI46740.1_1-90	0		-0.08016137033700943	0.06983017921447754
arc_KKG03566.1_1-70	0	H4	-0.11144562065601349	0.18944884836673737
arc_RLJ00524.1_1-67	0	H4	-0.06896805018186569	0.18849912285804749
arc_WP_074359153.1_1-68	0		0.09338461607694626	0.06654112040996552
arc_WP_066971803.1_1-66	0		0.10820653289556503	-0.0007668607286177576
arc_TMI35152.1_1-73	0	H4	-0.14811941981315613	-0.1996651142835617
arc_WP_086907142.1_1-72	0		-0.16898544132709503	-0.29463621973991394
arc_WP_015286277.1_1-68	0		0.295925498008728	0.31052300333976746
arc_EHP86815.1_1-66	0		-0.06360901147127151	-0.07602721452713013
arc_ABL77757.1_1-84	0	H4	-0.04577748477458954	-0.0027322103269398212
arc_KDE55580.1_1-69	0		0.03179243206977844	0.1114267110824585
arc_PAV06348.1_1-68	0		0.0899362713098526	0.0333409383893013
arc_AKB15367.1_1-69	0	H4	-0.11934838443994522	0.18165259063243866
arc_RLG32040.1_1-66	0	other_POLE	0.023445123806595802	0.021143417805433273
arc_OYT66804.1_1-78	0		-0.11207190901041031	-0.1437627077102661
arc_WP_069807168.1_1-76	0	H2B	-0.09695762395858765	-0.03571582958102226
arc_KKH59109.1_1-70	0	H4	-0.12052909284830093	0.19848458468914032
arc_ABR66447.1_1-67	0		-0.039411064237356186	-0.06836571544408798
arc_RLJ08876.1_26-102	0		0.17475008964538574	0.4601059556007385
arc_WP_020962235.1_1-84	0	H4	-0.09935834258794785	-0.02602478489279747
arc_TRO52378.1_1-73	0	other_CENP	-0.1141834408044815	-0.15702170133590698
arc_KYK37601.1_1-65	0	H4	-0.11165057867765427	-0.0018449954222887754
arc_KUK69766.1_1-63	0	H3	0.3100135028362274	0.3439904749393463
arc_KUK96273.1_1-77	0	H4	-0.055958181619644165	0.051020100712776184
arc_RAP02991.1_1-69	0		0.09953466057777405	-0.002213919535279274
arc_RSD33375.1_1-35	0		-0.037107110023498535	0.26241162419319153
arc_pdb|5T5K|A_1-69	0	other_CENP	0.06247472018003464	0.04816416651010513
arc_TKJ27470.1_3-64	0		0.2827804982662201	-0.24442698061466217
arc_CCJ35808.1_1-68	0		0.3046542704105377	0.3357674479484558
arc_WP_115892477.1_1-67	0	H4	0.0899098813533783	0.07445680350065231
arc_WP_112094263.1_1-67	0	other_CENP	0.10346461832523346	0.03224670886993408
arc_WP_112124360.1_1-67	0		0.12223801016807556	0.0829358845949173
arc_RLI17464.1_1-76	0	H4	-0.12483451515436172	-0.00917294155806303
arc_WP_156300730.1_1-66	0	other_CENP	-0.05175720155239105	-0.03149014338850975
arc_WP_095609067.1_1-69	0		0.1439569890499115	0.08355318754911423
arc_TFH14466.1_1-76	0		-0.5382806062698364	0.09277423471212387
arc_AIF10000.1_1-73	0	H4	-0.16914379596710205	-0.29065367579460144
arc_KON30096.1_1-66	0		-0.5800274610519409	0.09073738753795624
arc_AET63785.1_1-77	0	H4	-0.06613083183765411	0.06925667822360992
arc_RCV62841.1_1-69	0	H4	0.10387958586215973	0.0808803141117096
arc_TXT53445.1_1-71	0		0.27576813101768494	-0.2362719029188156
arc_KXA88718.1_1-69	0		-0.11562807112932205	0.033337198197841644
arc_TFG19539.1_1-68	0		0.17876914143562317	-0.18673422932624817
arc_OYT66546.1_1-73	0		-0.13325613737106323	-0.19728460907936096
arc_RLG53809.1_1-69	0		0.047939181327819824	0.06295932084321976
arc_ACL17055.1_1-68	0	H3	0.30285027623176575	0.3329553008079529
arc_AEA47234.1_1-67	0		-0.024543659761548042	-0.015335716307163239
arc_QEE15215.1_5-72	0		0.2767043709754944	-0.24020203948020935
arc_WP_109939510.1_1-68	0	other_POLE	0.32850462198257446	0.33742544054985046
arc_RNI10274.1_1-73	0		-0.03436572849750519	0.12819208204746246
