members	component	classification	posx	posy
Spis_XP_022792402_1_98-207	0	H2B	-0.006809596437960863	-0.13727392256259918
Ancsig_Gene.3129_1-103	0	H2B	0.096509650349617	-0.03918846696615219
Vcar_XP_002951705.1_1-142	0	H2B	0.09557444602251053	0.49052685499191284
Lcom_lcpid194686_1-110	0	H2B	0.06253610551357269	0.03025054559111595
Drer_ENSDARP00000129172.1_2-110	0	H2B	-0.04447468742728233	-0.19356973469257355
Chabra_GBG70472_1-111	0	H2B	0.03894732892513275	0.41485488414764404
Rhidel_EIE83508_1-103	0	H2B	0.12322801351547241	-0.03933420032262802
Marpol_PTQ32158_1-128	0	H2B	0.06897350400686264	0.5736353993415833
Vitbra_CEM32013.1_1-109	0	H2B	0.030365873128175735	-0.19676221907138824
Emue_0001g2522a_12-106	0	H2B	0.13786418735980988	-0.10117729008197784
Sbic_EES18353_1-133	0	H2B	0.10089211165904999	0.6500422954559326
Hsap_ENSP00000477907.2_6-111	0	H2B	-0.12740184366703033	-0.3559620976448059
Clyhem_TCONS_00007117-protein_1-120	0	H2B	-0.1671333909034729	-0.41443654894828796
Chabra_GBG65725_1-111	0	H2B	0.06951764225959778	0.46148619055747986
Hsap_ENSP00000479284.1_1-111	0	H2B	-0.020600732415914536	-0.1538476049900055
Nk52_evm1s1242_18-128	0	H2B	-0.15473772585391998	-0.2550395727157593
Bralan_BL24585_evm0_15-107	0	H2B	0.033742886036634445	-0.23142458498477936
Pinf_PITG_03550T0_11-101	0	H2B	0.10487198084592819	0.010170884430408478
Adig_XP_015767172.1_90-199	0	H2B	-0.027481622993946075	-0.20236925780773163
Spur_XP_030846557.1_1-111	0	H2B	0.017425019294023514	-0.06476403027772903
Atha_AT5G59910.1_1-136	0	H2B	0.08586592227220535	0.5309860110282898
Atha_AT5G22880.1_1-131	0	H2B	0.09789253771305084	0.5799228549003601
Ramvar_GAU94130.1_1-109	0	H2B	-0.033053018152713776	-0.11577782034873962
Tetwil_Twilhelma_g23785.t1_1-106	0	H2B	0.016040032729506493	-0.1942920982837677
Lcom_lcpid166830_3-115	0	H2B	-0.13153058290481567	-0.019021786749362946
Ctel_CapteP213180_1-103	0	H2B	-0.2248760461807251	-0.15771633386611938
Klenit_GAQ92726.1_1-121	0	H2B	0.1029931828379631	0.49718546867370605
Cgig_EKC29261_8-114	0	H2B	-0.012849640101194382	0.030759036540985107
Mcir_OAD07987_1-107	0	H2B	0.10275623202323914	-0.052553940564394
Chocri_XP_005710908.1_2-111	0	H2B	-0.06525155901908875	0.0008785899844951928
Amac_KNE55234_28-119	0	H2B	0.15338629484176636	-0.0798594281077385
Malcal_MALCA_07106.mRNA.1_1-119	0	H2B	0.031425841152668	0.06862228363752365
Drer_ENSDARP00000156959.1_1-111	0	H2B	-0.12485623359680176	-0.2928933799266815
Lmaj_CAJ04766_11-118	0	H2B	-0.08200662583112717	0.06135346740484238
Amobb2_AMBB2_02668.mRNA.1_1-134	0	H2B	-0.15217325091362	0.02673199214041233
Sbic_EES00399_1-136	0	H2B	0.11198771744966507	0.5512040853500366
Nvec_NVE2881_1-107	0	H2B	-0.01394945103675127	-0.1900731921195984
Spur_XP_030838378.1_936-1002	0	H2B	-0.1216752752661705	-0.4274434745311737
Lgig_LotgiP147338_4-107	0	H2B	-0.27516013383865356	-0.22416730225086212
Dmel_FBpp0091155_1-108	0	H2B	-0.3659285306930542	-0.2105659395456314
Acoe_PIA29277.1_1-127	0	H2B	0.10614268481731415	0.6141071319580078
Ctel_CapteP220395_2-108	0	H2B	0.08711355924606323	0.4833177924156189
Vcar_XP_002946193.1_4-145	0	H2B	0.06157888472080231	0.3423963785171509
Marpol_PTQ38068_15-125	0	H2B	-0.25387582182884216	-0.1923944354057312
Schagg_79986_5-106	0	H2B	0.1425066590309143	0.09029556810855865
Amobb2_AMBB2_09703.mRNA.1_1-131	0	H2B	-0.036656495183706284	0.154450461268425
Dmel_FBpp0091143_1-108	0	H2B	-0.34774863719940186	-0.22716058790683746
Bnat_JGI_V11_50018_68-153	0	H2B	-0.09801939874887466	0.06373551487922668
Spis_XP_022808495_1_101-207	0	H2B	0.0038425205275416374	-0.13813258707523346
Dmel_FBpp0091121_1-108	0	H2B	-0.3213479518890381	-0.21651791036128998
