Histones	Histones	Histone	Histone,CBFD_NFYB_HMF,CENP-T_C	0.001	1.2	2
Histones	Histones	LinkerHistone	Linker_histone	GA	1.1	2
Acetylation	Acetylase	Acetyltransf_1	Acetyltransf_1	GA	1.1	2
Acetylation	Acetylase	GNAT_acetyltr_2	GNAT_acetyltr_2	GA	1.1	2
Acetylation	Acetylase	Hat1_N	Hat1_N	GA	1.1	2
Acetylation	Acetylase	KAT11	KAT11	GA	1.1	2
Acetylation	Acetylase	MOZ_SAS	MOZ_SAS	GA	1.1	2
Acetylation	Deacetylase	Hist_deacetyl	Hist_deacetyl	GA	1.1	2
Acetylation	Deacetylase	SIR2	SIR2	GA	1.1	2
Methylation	Methylase	DOT1	DOT1	GA	1.1	2
Methylation	Methylase	SET	SET	GA	1.1	2
Methylation	Demethylase	SWIRM	SWIRM	GA	1.1	2
Methylation	Demethylase	CupinJmjC	Cupin_4,Cupin_8,JmjC	GA	1.1	2
Readers	Readers	ADD_ATRX	ADD_ATRX	GA	1.1	2
Readers	Readers	ADD_DNMT3	ADD_DNMT3	GA	1.1	2
Readers	Readers	BAH	BAH	GA	1.1	2
Readers	Readers	BIR	BIR	GA	1.1	2
Readers	Readers	Bromodomain	Bromodomain	GA	1.1	2
Readers	Readers	Chromo	Chromo,Chromo_shadow	GA	1.1	2
Readers	Readers	ING	ING	GA	1.1	2
Readers	Readers	MBT	MBT	GA	1.1	2
Readers	Readers	MRG	MRG	GA	1.1	2
Readers	Readers	PHD	PHD,PHD_2,PHD_3,PHD_4	GA	1.3	2
Readers	Readers	PWWP	PWWP	GA	1.1	2
Readers	Readers	SAWADEE	SAWADEE	GA	1.1	2
Readers	Readers	TTD	TTD	GA	1.1	2
Readers	Readers	TUDOR	TUDOR	GA	1.1	2
Readers	Readers	zf-CW	zf-CW	GA	1.1	2
Readers	Readers	YEATS	YEATS	GA	1.1	2
RemChap	Remodeller	SNF2_N	SNF2_N	GA	1.2	2
RemChap	Chaperones	ASF1_hist_chap	ASF1_hist_chap	GA	1.1	2
RemChap	Chaperones	CAF1A	CAF1A	GA	1.1	2
RemChap	Chaperones	CHZ	CHZ	GA	1.1	2
RemChap	Chaperones	Daxx	Daxx	GA	1.1	2
RemChap	Chaperones	Hira	Hira	GA	1.1	2
RemChap	Chaperones	HJURP_mid	HJURP_mid	GA	1.1	2
RemChap	Chaperones	NAP	NAP	GA	1.1	2
RemChap	Chaperones	Rtt106	Rtt106	GA	1.1	2
RemChap	Chaperones	SPT16	SPT16	GA	1.1	2
RemChap	Chaperones	SSrecog	SSrecog	GA	1.1	2
RemChap	Chaperones	zf-CCHH	zf-CCHH	GA	1.1	2
RemChap	Chaperones	UBN_AB	UBN_AB	GA	1.1	2
RemChap	Chaperones	Nucleoplasmin	Nucleoplasmin,NPL	GA	1.1	2
Complexes	KMT1	ATF7IP	ATF7IP_BD	GA	1.1	2
Complexes	KMT2	PA1	PAXIP1_C	GA	1.1	2
Complexes	KMT2	Dpy-30	Dpy-30	GA	1.1	2
Complexes	KMT2	Menin	Menin	GA	1.1	2
Complexes	KMT2	NCOA6	Nucleic_acid_bd	GA	1.1	2
Complexes	KMT2	PTIP	BRCT	GA	1.1	2
Complexes	KMT4	TRRAP	FAT	GA	1.1	2
Complexes	KMT4	AF9	AHD	GA	1.1	2
Complexes	PC1	PCRing	RAWUL	diamond	1.1	2
Complexes	PC1	YAF2_RYBP	YAF2_RYBP	GA	1.1	2
Complexes	PC1	SAM	SAM_1	GA	1.2	2
Complexes	PC1	SLED	SLED	GA	1.1	2
Complexes	PC2	Suz12	VEFS-Box	GA	1.1	2
Complexes	PC2	CAF1C	CAF1C_H4-bd	GA	1.1	2
Complexes	common	Kelch	Kelch_1	diamond	1.15	2
Complexes	common	zf-C2H2	zf-C2H2	diamond	1.15	2
Complexes	common	zf-CXXC	zf-CXXC	GA	1.1	2
Complexes	common	WD40	WD40	diamond	1.1	2
