i	j	weight
ABC_tran	DSPc	1
ABC_tran	NPL	1
ABC_tran	Vac14_Fig4_bd	1
ATP_bind_3	FKBP_C	1
ATP_bind_3	NPL	1
BTHB	HECT	1
BTHB	NPL	1
DSPc	NPL	1
DSPc	Vac14_Fig4_bd	1
FKBP_C	FKBP_C	1
FKBP_C	GDA1_CD39	1
FKBP_C	Ig_3	1
FKBP_C	NPL	95
FKBP_C	PPR	1
FKBP_C	PPR_2	1
FKBP_C	Pkinase_Tyr	1
FKBP_C	SRP40_C	1
FKBP_C	Sulfotransfer_1	1
GDA1_CD39	NPL	1
HECT	NPL	1
Ig_3	NPL	1
Ig_3	Pkinase_Tyr	1
Myb_DNA-binding	NPL	1
NACHT	Nucleoplasmin	1
NPL	NPL	169
NPL	OST-HTH	1
NPL	PPR	1
NPL	PPR_2	1
NPL	Pkinase_Tyr	1
NPL	SRP40_C	1
NPL	Sulfotransfer_1	1
NPL	Vac14_Fig4_bd	1
NPL	zf-met	3
NPM1-C	Nucleoplasmin	18
Nucleoplasmin	Nucleoplasmin	37
PPR	PPR_2	1
