i	j	weight
AAA_33	DcpS_C	4
AAA_33	Macro	4
AAA_33	PNK3P	2
AAA_33	zf-C2HE	3
AAA_33	zf-CCHH	6
ADP_ribosyl_GH	Glyco_hydro81C	1
ADP_ribosyl_GH	Glyco_hydro_81	1
ADP_ribosyl_GH	PRP4	1
ADP_ribosyl_GH	Prp18	1
ADP_ribosyl_GH	zf-CCHH	1
BRCT	DNA_ligase_A_M	1
BRCT	DNA_ligase_OB_2	2
BRCT	DUF1963	1
BRCT	DcpS_C	1
BRCT	FHA_2	1
BRCT	GBP	1
BRCT	PARP	10
BRCT	WWE	4
BRCT	zf-CCHH	14
BRCT_2	zf-CCHH	1
CLU	eIF3_p135	1
CLU	zf-CCHH	1
CUE	Chitin_bind_1	1
CUE	Glyco_hydro_18	1
CUE	zf-CCHH	1
CUE	zf-PARP	1
Chitin_bind_1	Glyco_hydro_18	1
Chitin_bind_1	zf-CCHH	1
Chitin_bind_1	zf-PARP	1
DEAD	EF-hand_5	1
DEAD	Helicase_C	1
DEAD	Peptidase_C2	1
DEAD	Peptidase_C97	1
DEAD	zf-CCHH	1
DNA_ligase_A_C	DNA_ligase_A_M	27
DNA_ligase_A_C	DNA_ligase_A_N	27
DNA_ligase_A_C	LIG3_BRCT	20
DNA_ligase_A_C	WWE	3
DNA_ligase_A_C	adh_short	1
DNA_ligase_A_C	zf-CCHH	28
DNA_ligase_A_C	zf-PARP	23
DNA_ligase_A_M	DNA_ligase_A_N	28
DNA_ligase_A_M	DNA_ligase_OB_2	16
DNA_ligase_A_M	FAE1_CUT1_RppA	1
DNA_ligase_A_M	LIG3_BRCT	20
DNA_ligase_A_M	Peroxidase_2	1
DNA_ligase_A_M	WWE	3
DNA_ligase_A_M	adh_short	1
DNA_ligase_A_M	zf-CCHH	44
DNA_ligase_A_M	zf-PARP	24
DNA_ligase_A_N	LIG3_BRCT	20
DNA_ligase_A_N	WWE	3
DNA_ligase_A_N	adh_short	1
DNA_ligase_A_N	zf-CCHH	28
DNA_ligase_A_N	zf-PARP	24
DNA_ligase_OB_2	FAE1_CUT1_RppA	1
DNA_ligase_OB_2	Peroxidase_2	1
DNA_ligase_OB_2	zf-CCHH	19
DNA_pol_B_palm	DNA_pol_B_thumb	1
DNA_pol_B_palm	DNA_pol_lambd_f	1
DNA_pol_B_palm	HHH_8	1
DNA_pol_B_palm	zf-CCHH	1
DNA_pol_B_palm	zf-PARP	1
DNA_pol_B_thumb	DNA_pol_lambd_f	1
DNA_pol_B_thumb	HHH_8	1
DNA_pol_B_thumb	zf-CCHH	1
DNA_pol_B_thumb	zf-PARP	1
DNA_pol_lambd_f	HHH_8	1
DNA_pol_lambd_f	zf-CCHH	1
DNA_pol_lambd_f	zf-PARP	1
DUF1963	zf-CCHH	2
DUF2228	zf-CCHH	18
DUF2263	RVT_2	1
DUF2263	zf-CCHC	1
DUF2263	zf-CCHH	1
DUF4246	zf-CCHH	2
DcpS_C	FHA_2	5
DcpS_C	Macro	4
DcpS_C	zf-C2HE	8
DcpS_C	zf-CCHH	10
EF-hand_5	Helicase_C	1
EF-hand_5	Peptidase_C2	1
EF-hand_5	Peptidase_C97	1
EF-hand_5	zf-CCHH	1
EF-hand_7	zf-CCHH	1
F-box	LRR_6	1
F-box	zf-CCHH	1
FAE1_CUT1_RppA	zf-CCHH	1
FHA	Hist_deacetyl	1
FHA	LisH	1
FHA	Pkinase	6
FHA	WD40	1
FHA	zf-C3HC4	4
FHA	zf-C3HC4_2	21
FHA	zf-C3HC4_3	4
FHA	zf-CCHH	43
FHA	zf-CRD	34
FHA	zf-RING_2	1
FHA_2	HMG_box	1
FHA_2	zf-C2HE	4
FHA_2	zf-CCHH	33
FHA_2	zf-PARP	2
GBP	PARP	1
GBP	WWE	1
GBP	zf-CCHH	1
Glyco_hydro81C	Glyco_hydro_81	1
Glyco_hydro81C	PRP4	1
Glyco_hydro81C	Prp18	1
Glyco_hydro81C	zf-CCHH	1
Glyco_hydro_18	zf-CCHH	1
Glyco_hydro_18	zf-PARP	1
Glyco_hydro_81	PRP4	1
Glyco_hydro_81	Prp18	1
Glyco_hydro_81	zf-CCHH	1
HHH_8	zf-CCHH	1
HHH_8	zf-PARP	1
HMG_box	zf-CCHH	1
Helicase_C	Peptidase_C2	1
Helicase_C	Peptidase_C97	1
Helicase_C	zf-CCHH	1
Hist_deacetyl	zf-C3HC4_2	1
Hist_deacetyl	zf-CCHH	1
Hist_deacetyl	zf-CRD	1
Histone	Histone_H2A_C	1
Histone	zf-CCHH	1
Histone_H2A_C	zf-CCHH	1
IQ	Tyr-DNA_phospho	1
IQ	zf-CCHH	1
Kinesin	zf-CCHH	2
Ku	Ku_C	5
Ku	Ku_N	5
Ku	zf-CCHH	5
Ku_C	Ku_N	5
Ku_C	zf-CCHH	5
Ku_N	zf-CCHH	5
LIG3_BRCT	zf-CCHH	24
LIG3_BRCT	zf-PARP	17
LRR_6	zf-CCHH	2
LisH	Pkinase	1
LisH	WD40	1
LisH	zf-CCHH	1
Macro	zf-C2HE	3
Macro	zf-CCHH	4
Methyltransf_25	zf-CCHH	1
Neur_chan_LBD	zf-CCHH	1
PARG_cat	zf-CCHH	3
PARP	WWE	5
PARP	zf-CCHH	23
PNK3P	zf-CCHH	4
PRP4	Prp18	1
PRP4	zf-CCHH	1
Peptidase_C2	Peptidase_C2	2
Peptidase_C2	Peptidase_C97	1
Peptidase_C2	zf-CCHH	3
Peptidase_C2	zf-GRF	1
Peptidase_C97	zf-CCHH	1
Peroxidase_2	zf-CCHH	1
Pkinase	WD40	1
Pkinase	zf-CCHH	8
Prp18	zf-CCHH	1
RRM_1	zf-CCHH	1
RVT_2	zf-CCHC	1
RVT_2	zf-CCHH	1
Tyr-DNA_phospho	zf-CCHH	28
UQ_con	zf-CCHH	2
WD40	zf-CCHH	1
WWE	adh_short	1
WWE	zf-CCHH	8
WWE	zf-PARP	3
adh_short	zf-CCHH	1
adh_short	zf-PARP	1
eIF3_p135	zf-CCHH	1
zf-C2HE	zf-CCHH	8
zf-C3HC4	zf-CCHH	4
zf-C3HC4	zf-CRD	4
zf-C3HC4_2	zf-CCHH	21
zf-C3HC4_2	zf-CRD	21
zf-C3HC4_3	zf-CCHH	4
zf-C3HC4_3	zf-CRD	4
zf-CCHC	zf-CCHH	1
zf-CCHH	zf-CCHH	65
zf-CCHH	zf-CRD	41
zf-CCHH	zf-GRF	1
zf-CCHH	zf-PARP	37
zf-CCHH	zf-RING_2	1
zf-CRD	zf-RING_2	1
