i	j	weight
14-3-3	Actin	2
14-3-3	BRCT	3
14-3-3	BRCT_2	1
14-3-3	PARP	4
14-3-3	PARP_reg	1
14-3-3	VIT	4
14-3-3	VWA_3	4
2_5_RNA_ligase2	Actin	1
2_5_RNA_ligase2	BRCT	1
2_5_RNA_ligase2	PARP	1
2_5_RNA_ligase2	PARP_reg	1
2_5_RNA_ligase2	VIT	1
2_5_RNA_ligase2	VWA_3	1
53-BP1_Tudor	BRCT	5
53-BP1_Tudor	BRCT_2	2
53-BP1_Tudor	BRCT_3	4
AAA	BBE	1
AAA	BRCT	147
AAA	DNA_pol3_delta	3
AAA	FAD_binding_4	1
AAA	LIX1	1
AAA	PqiA	1
AAA	RFC1	141
AAA	TFIID-18kDa	1
AAA	UPF0160	1
AAA	WWE	1
ART	BRCT	2
ART	PADR1	1
ART	PARP_reg	2
ART	SAP	1
ART	WGR	2
ART	zf-PARP	1
Acetyltransf_1	BRCT	6
Acetyltransf_1	RTT107_BRCT_5	2
Acetyltransf_10	RTT107_BRCT_5	2
Acetyltransf_11	BRCT	1
Acetyltransf_11	DNA_ligase_OB	1
Acetyltransf_11	DNA_ligase_ZBD	1
Acetyltransf_11	DNA_ligase_aden	1
Acetyltransf_11	FabA	1
Acetyltransf_11	HHH_2	1
Acetyltransf_11	Helicase_C	1
Acetyltransf_11	Hexapep	1
Acetyltransf_11	LpxB	1
Acetyltransf_11	LpxI_C	1
Acetyltransf_11	LpxI_N	1
Actin	BRCT	9
Actin	BRCT_2	4
Actin	DUF4062	1
Actin	EF-hand_1	2
Actin	EF-hand_7	3
Actin	HSP70	1
Actin	NACHT	1
Actin	PARP	12
Actin	PARP_reg	6
Actin	TIG	1
Actin	TPR_10	1
Actin	VIT	11
Actin	VWA_3	11
Alpha-amylase	BRCT	1
Alpha-amylase	CBM_48	1
Alpha-amylase	DNA_ligase_OB	1
Alpha-amylase	DNA_ligase_ZBD	1
Alpha-amylase	DNA_ligase_aden	1
Alpha-amylase	HHH_2	1
Ank	Ank_2	7
Ank	Ank_4	2
Ank	BRCT	9
Ank	BRCT_2	3
Ank	PARP	1
Ank	PARP_reg	1
