i	j	weight
ATG27	FACT-Spt16_Nlob	1
ATG27	Peptidase_M24	2
ATG27	Rtt106	2
ATG27	SPT16	2
Abhydro_lipase	FACT-Spt16_Nlob	1
Abhydro_lipase	Peptidase_M24	1
Abhydro_lipase	Rtt106	1
Abhydro_lipase	SPT16	1
Aminotran_3	HMG_box	1
Aminotran_3	POB3_N	1
Aminotran_3	Rtt106	1
Aminotran_3	SSrecog	1
Ank_2	FACT-Spt16_Nlob	1
Ank_2	Peptidase_M24	1
Ank_2	Rtt106	1
Ank_2	SPT16	1
Dpy-30	Rtt106	1
Dpy-30	WD40	1
EF-hand_5	EF-hand_7	1
EF-hand_5	POB3_N	1
EF-hand_5	Rtt106	1
EF-hand_5	SSrecog	1
EF-hand_7	POB3_N	1
EF-hand_7	Rtt106	1
EF-hand_7	SSrecog	1
Es2	FACT-Spt16_Nlob	1
Es2	Peptidase_M24	1
Es2	Rtt106	1
Es2	SPT16	1
Es2	Solute_trans_a	1
FACT-Spt16_Nlob	Peptidase_M24	140
FACT-Spt16_Nlob	Rtt106	140
FACT-Spt16_Nlob	SPT16	140
FACT-Spt16_Nlob	Solute_trans_a	1
HMG_box	HMG_box_2	2
HMG_box	POB3_N	81
HMG_box	Rad21_Rec8	1
HMG_box	Rtt106	89
HMG_box	SSrecog	82
HMG_box_2	POB3_N	1
HMG_box_2	Rtt106	2
HMG_box_2	SSrecog	2
PH_18	Rtt106	1
PH_18	Rtt106_N	1
POB3_N	Rad21_Rec8	1
POB3_N	Rtt106	152
POB3_N	SSrecog	151
Peptidase_M24	Rtt106	153
Peptidase_M24	SPT16	153
Peptidase_M24	Solute_trans_a	1
Rad21_Rec8	Rtt106	1
Rad21_Rec8	SSrecog	1
Rtt106	Rtt106	60
Rtt106	Rtt106_N	1
Rtt106	SPT16	165
Rtt106	SSrecog	163
Rtt106	Solute_trans_a	1
Rtt106	TP_methylase	2
Rtt106	WD40	1
SPT16	Solute_trans_a	1
