i	j	weight
2-Hacid_dh	2-Hacid_dh_C	1
2-Hacid_dh	Helicase_C	1
2-Hacid_dh	PseudoU_synth_2	1
2-Hacid_dh	RapA_C	1
2-Hacid_dh	SNF2_N	1
2-Hacid_dh	Tudor_1_RapA	1
2-Hacid_dh	Tudor_RapA	1
2-Hacid_dh_C	Helicase_C	1
2-Hacid_dh_C	PseudoU_synth_2	1
2-Hacid_dh_C	RapA_C	1
2-Hacid_dh_C	SNF2_N	1
2-Hacid_dh_C	Tudor_1_RapA	1
2-Hacid_dh_C	Tudor_RapA	1
AAA_6	DHC_N2	1
AAA_6	Helicase_C	1
AAA_6	RCC1	1
AAA_6	SNF2_N	1
ABC1	Beta-lactamase	1
ABC1	Chromo	1
ABC1	FYVE	1
ABC1	Helicase_C	2
ABC1	SCP2	1
ABC1	SNF2_N	2
ABC1	START	1
ABC_membrane	Helicase_C	1
ABC_membrane	SNF2_N	1
ABC_membrane	zf-C3HC4_3	1
ADD_ATRX	Helicase_C	28
ADD_ATRX	SMP	2
ADD_ATRX	SNF2_N	30
ADH_N	ADH_zinc_N	1
ADH_N	DBINO	1
ADH_N	Helicase_C	1
ADH_N	SNF2_N	1
ADH_zinc_N	DBINO	1
ADH_zinc_N	Helicase_C	1
ADH_zinc_N	SNF2_N	1
ADK	ADK_lid	1
ADK	HSA	1
ADK	Helicase_C	1
ADK	SNF2_N	1
ADK_lid	HSA	1
ADK_lid	Helicase_C	1
ADK_lid	SNF2_N	1
AKAP7_NLS	HNH	1
AKAP7_NLS	Helicase_C	1
AKAP7_NLS	SNF2_N	1
AOX	DNA_methylase	1
AOX	PALP	1
AOX	SNF2_N	1
ARID	Bromodomain	1
ARID	Chromo	1
ARID	Helicase_C	2
ARID	SNF2_N	2
ATP-grasp_2	Citrate_bind	1
ATP-grasp_2	Citrate_synt	1
ATP-grasp_2	CoA_binding	1
ATP-grasp_2	DnaJ	1
ATP-grasp_2	Helicase_C	1
ATP-grasp_2	Ligase_CoA	1
ATP-grasp_2	SNF2_N	1
ATP-grasp_2	Sulf_transp	1
Aa_trans	Helicase_C	1
Aa_trans	LRR_6	1
Aa_trans	SNF2_N	1
Abhydrolase_1	Helicase_C	1
Abhydrolase_1	SNF2_N	1
Abhydrolase_1	zf-C3HC4	1
Abhydrolase_3	HSP70	1
Abhydrolase_3	Helicase_C	1
Abhydrolase_3	MFS_1	1
Abhydrolase_3	SNF2_N	1
Acyl-CoA_dh_1	Acyl-CoA_dh_M	2
Acyl-CoA_dh_1	Acyl-CoA_dh_N	2
Acyl-CoA_dh_1	CRCB	1
Acyl-CoA_dh_1	DUF1974	1
Acyl-CoA_dh_1	EI24	1
Acyl-CoA_dh_1	Helicase_C	2
Acyl-CoA_dh_1	PrmA	1
Acyl-CoA_dh_1	RapA_C	1
Acyl-CoA_dh_1	SNF2_N	2
Acyl-CoA_dh_1	Tudor_1_RapA	1
Acyl-CoA_dh_1	Tudor_RapA	1
Acyl-CoA_dh_M	Acyl-CoA_dh_N	2
Acyl-CoA_dh_M	CRCB	1
Acyl-CoA_dh_M	DUF1974	1
Acyl-CoA_dh_M	EI24	1
Acyl-CoA_dh_M	Helicase_C	2
Acyl-CoA_dh_M	PrmA	1
