i	j	weight
2OG-FeII_Oxy_2	Chromo	1
4HB	ABC_tran	2
4HB	Chromo	2
AAA_11	AAA_12	1
AAA_11	Chromo	1
AAA_11	Retrotrans_gag	1
AAA_11	zf-CCCH	1
AAA_12	Chromo	1
AAA_12	Retrotrans_gag	1
AAA_12	zf-CCCH	1
ABC1	Chromo	1
ABC1	Helicase_C	1
ABC1	SNF2_N	1
ABC2_membrane_7	Chromo	1
ABC2_membrane_7	RT_RNaseH_2	1
ABC2_membrane_7	RVT_1	1
ABC_membrane	ABC_tran	1
ABC_membrane	Chromo	1
ABC_tran	Ank_2	1
ABC_tran	CLASP_N	1
ABC_tran	Chromo	39
AP2	Chromo	1
AP2	HSF_DNA-bind	1
AP2	MBD	1
AP2	zf-CXXC	1
ARID	Bromodomain	1
ARID	Chromo	1
ARID	Helicase_C	1
ARID	SNF2_N	1
ART	Chromo	2
AT_hook	Chromo	1
Acetyltransf_1	Chromo	1
Agenet	Chromo	6
Agenet	Helicase_C	1
Agenet	MrcB_N	1
Agenet	PHD	2
Agenet	SNF2_N	1
Agenet	zf-CXXC	1
AlaDh_PNT_N	Chromo	1
AlaDh_PNT_N	Helicase_C	1
AlaDh_PNT_N	SNF2_N	1
AlaDh_PNT_N	Sacchrp_dh_C	1
AlaDh_PNT_N	Sacchrp_dh_NADP	1
Amidohydro_1	CDH1_2_SANT_HL1	1
Amidohydro_1	Chromo	1
Amidohydro_1	DUF4208	1
Amidohydro_1	SNF2_N	1
Ammonium_transp	Chromo	1
Ammonium_transp	Integrase_H2C2	1
Ammonium_transp	RT_RNaseH_2	1
Ammonium_transp	RVT_1	1
Ank	Ank_2	4
Ank	Chromo	4
Ank_2	Ank_3	4
Ank_2	CBS	1
Ank_2	Chromo	35
Ank_2	Dimer_Tnp_hAT	1
Ank_2	RCC1	1
Ank_2	Voltage_CLC	1
Ank_3	Chromo	4
Ank_4	Ank_5	1
Ank_4	Chromo	3
Ank_5	Chromo	7
Arm	Chromo	2
Asp_protease_2	Chromo	29
Asp_protease_2	Integrase_H2C2	27
Asp_protease_2	RT_RNaseH	26
Asp_protease_2	RT_RNaseH_2	4
Asp_protease_2	RVT_1	28
Asp_protease_2	Retrotrans_gag	4
Asp_protease_2	rve	26
Asp_protease_2	zf-CCHC	8
BAH	Chromo	32
BAH	DNA_methylase	32
BAH	Pkinase_Tyr	1
BRCT_2	Chromo	1
BRCT_2	IMS	1
BRCT_2	IMS_C	1
BRCT_2	REV1_C	1
BRK	Chromo	35
BRK	Helicase_C	35
BRK	SNF2_N	35
BTB	Chromo	1
BTB	RCC1	1
Bromodomain	Chromo	22
Bromodomain	FYRC	1
Bromodomain	FYRN	1
Bromodomain	HMG_box	1
Bromodomain	Helicase_C	15
Bromodomain	PHD	7
Bromodomain	RVT_1	1
Bromodomain	SNF2_N	15
Bromodomain	zf-CCHC	1
Bromodomain	zf-HC5HC2H	3
CAF1A	Chromo	1
CAF1A	KHA	1
CAF1A	PWWP	1
CBM_20	Chromo	1
CBM_20	FYRC	1
CBM_20	FYRN	1
CBM_20	Helicase_C	1
CBM_20	SNF2_N	1
CBS	Chromo	1
CBS	Voltage_CLC	1
CBX7_C	Chromo	59
CDH1_2_SANT_HL1	Chromo	37
CDH1_2_SANT_HL1	DUF4208	33
CDH1_2_SANT_HL1	Helicase_C	36
CDH1_2_SANT_HL1	RVT_1	1
CDH1_2_SANT_HL1	SNF2_N	37
CHDCT2	CHDNT	32
CHDCT2	Chromo	47
CHDCT2	DUF1086	46
CHDCT2	DUF1087	46
CHDCT2	Helicase_C	46
CHDCT2	PHD	44
CHDCT2	SNF2_N	47
CHDNT	Chromo	36
CHDNT	DUF1086	33
CHDNT	DUF1087	33
CHDNT	Helicase_C	33
CHDNT	PHD	36
CHDNT	SNF2_N	35
CLASP_N	Chromo	1
Cdh1_DBD_1	Chromo	11
Cdh1_DBD_1	DUF4208	9
Cdh1_DBD_1	Helicase_C	11
Cdh1_DBD_1	SNF2_N	11
Chromo	Chromo	1161
Chromo	Chromo_shadow	112
Chromo	Cnd3	2
Chromo	Cob_adeno_trans	1
Chromo	Cupin_8	2
Chromo	CxC4	1
Chromo	DAGAT	3
Chromo	DDE_1	1
Chromo	DDE_Tnp_4	4
Chromo	DEAD	2
Chromo	DEK_C	1
Chromo	DNA_methylase	40
Chromo	DOT1	1
Chromo	DUF1086	75
Chromo	DUF1087	100
Chromo	DUF1295	1
Chromo	DUF2263	1
Chromo	DUF4208	82
Chromo	DUF4360	1
Chromo	DUF4939	1
Chromo	DUF5679	1
Chromo	DUF659	1
Chromo	DUF702	1
Chromo	Dimer_Tnp_hAT	12
Chromo	DnaJ	3
Chromo	DnaJ_C	1
Chromo	Dynamin_N	1
Chromo	ECH_1	29
Chromo	EGF_3	1
Chromo	ERO1	1
Chromo	FA_hydroxylase	1
Chromo	FYRC	26
Chromo	FYRN	27
Chromo	GTF2I	2
Chromo	HECT	2
Chromo	HMG_box	2
Chromo	HMG_box_2	1
Chromo	HSF_DNA-bind	1
Chromo	Helicase_C	450
Chromo	Homeodomain	1
Chromo	IMS	1
Chromo	IMS_C	1
Chromo	Integrase_H2C2	330
Chromo	Isochorismatase	1
Chromo	JmjC	3
Chromo	KDZ	2
Chromo	KHA	1
Chromo	LRR_6	1
Chromo	LRR_8	1
Chromo	Ldl_recept_a	1
Chromo	Ldl_recept_b	1
Chromo	LysM	2
Chromo	MBD	4
Chromo	MFS_1	1
Chromo	MFS_1_like	1
Chromo	MORN	1
Chromo	MRPL52	1
Chromo	Melibiase_C	1
Chromo	MrcB_N	2
Chromo	Myb_DNA-bind_4	1
Chromo	Myb_DNA-binding	4
Chromo	Nucleoside_tran	1
Chromo	OATP	1
Chromo	OTU	1
Chromo	PHD	126
Chromo	PHD_2	7
Chromo	PHO4	1
Chromo	PWWP	12
Chromo	Peptidase_C15	1
Chromo	Peptidase_S10	1
Chromo	PhyH	1
Chromo	Pkinase	1
Chromo	Pkinase_Tyr	1
Chromo	Pox_A32	1
Chromo	Pre-SET	34
Chromo	Prim_Zn_Ribbon	1
Chromo	PseudoU_synth_2	1
Chromo	RCC1	3
Chromo	RCC1_2	1
Chromo	REV1_C	1
Chromo	RRM_1	1
Chromo	RT_RNaseH	146
Chromo	RT_RNaseH_2	177
Chromo	RVP_2	14
Chromo	RVT_1	326
Chromo	Rad60-SLD	3
Chromo	RdRP	1
Chromo	RecQ_Zn_bind	1
Chromo	Retrotrans_gag	44
Chromo	RtcB	1
Chromo	SAP	1
Chromo	SAWADEE	1
Chromo	SET	37
Chromo	SNF2_N	476
Chromo	SPRY	1
Chromo	Sacchrp_dh_C	1
Chromo	Sacchrp_dh_NADP	1
Chromo	SprT-like	1
Chromo	Spuma_A9PTase	1
Chromo	TPR_11	1
Chromo	Thymidylate_kin	1
Chromo	Tudor-knot	2
Chromo	VWA	1
Chromo	Voltage_CLC	1
Chromo	WAPL	1
Chromo	WWE	6
Chromo	Zn_ribbon_SprT	1
Chromo	aGPT-Pplase1	2
