i	j	weight
Acetyltransf_1	Hat1_N	3
Acetyltransf_18	Acetyltransf_18	1
C2	MOZ_SAS	1
C2	zf-C2HC	1
C2	zf-MYST	1
CUB	EGF	1
CUB	Ephrin_rec_like	1
CUB	Lectin_C	1
CUB	MOZ_SAS	1
CUB	Sushi	1
CUB	Tudor-knot	1
CUB	hEGF	1
CUB	zf-MYST	1
EGF	Ephrin_rec_like	1
EGF	Lectin_C	1
EGF	MOZ_SAS	1
EGF	Sushi	1
EGF	Tudor-knot	1
EGF	hEGF	1
EGF	zf-MYST	1
ENT	MOZ_SAS	1
ENT	zf-MYST	1
Ephrin_rec_like	Lectin_C	1
Ephrin_rec_like	MOZ_SAS	1
Ephrin_rec_like	Sushi	1
Ephrin_rec_like	Tudor-knot	1
Ephrin_rec_like	hEGF	1
Ephrin_rec_like	zf-MYST	1
Hat1_N	Hat1_N	3
Hat1_N	MOZ_SAS	1
Histone	Histone_H2A_C	1
Histone	Ig_3	1
Histone	MOZ_SAS	1
Histone	Macro	1
Histone	NAP	1
Histone	zf-MYST	1
Histone_H2A_C	Ig_3	1
Histone_H2A_C	MOZ_SAS	1
Histone_H2A_C	Macro	1
Histone_H2A_C	NAP	1
Histone_H2A_C	zf-MYST	1
Ig_3	MOZ_SAS	1
Ig_3	Macro	1
Ig_3	NAP	1
Ig_3	zf-MYST	1
Kinesin	MOZ_SAS	1
Kinesin	PHD	1
Kinesin	zf-MYST	1
Lectin_C	MOZ_SAS	2
Lectin_C	Sushi	1
Lectin_C	Tudor-knot	1
Lectin_C	hEGF	1
Lectin_C	zf-C2HC	1
Lectin_C	zf-MYST	2
Linker_histone	MOZ_SAS	13
Linker_histone	PHD	9
Linker_histone	zf-C2HC	6
Linker_histone	zf-MYST	12
MMR_HSR1	MOZ_SAS	1
MMR_HSR1	Septin	1
MMR_HSR1	zf-MYST	1
MOZ_SAS	MOZ_SAS	43
MOZ_SAS	Macro	1
MOZ_SAS	Methyltransf_16	1
MOZ_SAS	Methyltransf_31	1
MOZ_SAS	Methyltransf_32	1
MOZ_SAS	NAP	1
MOZ_SAS	PHD	66
MOZ_SAS	PHD_4	2
MOZ_SAS	RhoGEF	1
MOZ_SAS	Septin	1
MOZ_SAS	Sushi	1
MOZ_SAS	Tudor-knot	269
MOZ_SAS	hEGF	1
MOZ_SAS	zf-C2HC	50
MOZ_SAS	zf-MYST	461
Macro	NAP	1
Macro	zf-MYST	1
Methyltransf_16	Tudor-knot	1
Methyltransf_16	zf-MYST	1
Methyltransf_31	zf-MYST	1
Methyltransf_32	PHD	1
Methyltransf_32	zf-MYST	1
NAP	zf-MYST	1
PHD	PHD_4	1
PHD	zf-C2HC	21
PHD	zf-MYST	64
PHD_4	zf-MYST	2
Septin	zf-MYST	1
Sushi	Tudor-knot	1
Sushi	hEGF	1
Sushi	zf-MYST	1
Tudor-knot	hEGF	1
Tudor-knot	zf-MYST	259
hEGF	zf-MYST	1
zf-C2HC	zf-MYST	49
