i	j	weight
2OG-FeII_Oxy_3	DOT1	2
Acetyltransf_10	DOT1	1
Alpha-amylase	DOT1	2
Ank	Ank_2	1
Ank	DOT1	1
Ank_2	DOT1	1
Ank_4	DOT1	1
Ank_4	RGS	1
BACK	BTB	1
BACK	DOT1	1
BACK	Myosin_head	1
BTB	DOT1	1
BTB	Myosin_head	1
BTB	PCMT	5
Bin3	Bin3	2
CMAS	CMAS	13
Chromo	DOT1	1
DOT1	DOT1	296
DOT1	DUSP	1
DOT1	E3_UbLigase_R4	1
DOT1	EF-hand_7	2
DOT1	EsV_1_7_cys	2
DOT1	Glycos_transf_2	1
DOT1	HLH	1
DOT1	Hairy_orange	1
DOT1	Helicase_C	1
DOT1	Lum_binding	1
DOT1	MFS_1	2
DOT1	MORN	2
DOT1	Mad3_BUB1_I	1
DOT1	Methyltransf_25	1
DOT1	Myosin_head	1
DOT1	PHD	3
DOT1	Pkinase	1
DOT1	RAP	1
DOT1	RGS	1
DOT1	SNF2_N	1
DOT1	START	1
DOT1	SelR	1
DOT1	Sugar_tr	1
DOT1	adh_short	1
DOT1	zf-C2HC_2	1
DOT1	zf-UBR	1
E3_UbLigase_R4	zf-UBR	1
HLH	Hairy_orange	1
HLH	Helicase_C	1
HLH	SNF2_N	1
Hairy_orange	Helicase_C	1
Hairy_orange	SNF2_N	1
Helicase_C	SNF2_N	1
MTS	MTS	1
Methyltransf_11	Methyltransf_11	1
Methyltransf_11	Methyltransf_31	1
Methyltransf_23	Methyltransf_23	1
Methyltransf_25	Methyltransf_25	14
Methyltransf_31	Methyltransf_31	7
PCMT	PCMT	7
PCMT	SOCS_box	2
RrnaAD	RrnaAD	2
