i	j	weight
2OG-FeII_Oxy_3	PHD	1
7tm_1	FYRC	2
7tm_1	FYRN	2
7tm_1	PHD	2
7tm_1	PH_13	1
7tm_1	RhoGEF	1
7tm_1	SET	2
7tm_1	zf-CXXC	2
7tm_1	zf-HC5HC2H	2
AAA	AAA_lid_10	24
AAA	AAA_lid_3	1
AAA	BAH	20
AAA	Bromodomain	1
AAA	Cdc6_C	3
AAA	PHD	27
AAA	Ribosomal_L7Ae	1
AAA	SANTA	1
AAA_16	AAA_lid_10	1
AAA_16	ORC4_C	1
AAA_16	PHD	2
AAA_34	Fasciclin	1
AAA_34	Helicase_C_4	13
AAA_34	Integrase_H2C2	1
AAA_34	Myb_DNA-binding	1
AAA_34	PHD	13
AAA_34	RMP	1
AAA_34	RT_RNaseH_2	1
AAA_34	rve	1
AAA_lid_10	BAH	20
AAA_lid_10	Cdc6_C	2
AAA_lid_10	PHD	25
AAA_lid_10	Ribosomal_L7Ae	1
AAA_lid_10	SANTA	1
AAA_lid_3	Bromodomain	1
AAA_lid_3	PHD	1
ADK	AWS	2
ADK	PHD	2
ADK	SET	2
ALIX_LYPXL_bnd	BRO1	1
ALIX_LYPXL_bnd	PHD	1
ALIX_LYPXL_bnd	RVT_1	1
ALS2CR8	MULE	4
ALS2CR8	PHD	5
ALS2CR8	Peptidase_C48	3
ALS2CR8	SWIM	2
AP2	PHD	7
ARID	AT_hook	1
ARID	JmjC	105
ARID	JmjN	101
ARID	PHD	112
ARID	PHD_2	1
ARID	PLU-1	77
ARID	zf-C5HC2	83
ARID	zf-HC5HC2H_2	2
ARID	zf_UBZ	1
ASXH	HARE-HTH	21
ASXH	PHD_3	29
ATP-synt_D	PHD	1
ATP-synt_D	RVT_1	1
AT_hook	BRK	1
AT_hook	JmjC	1
AT_hook	JmjN	1
AT_hook	PHD	5
AT_hook	PLU-1	1
AT_hook	SPOC	1
AT_hook	TFIIS_M	1
AT_hook	zf-C5HC2	1
AWS	BAH	3
AWS	Bromodomain	2
AWS	C5HCH	6
AWS	HMG_box	3
AWS	MMR_HSR1	2
AWS	PHD	21
AWS	PWWP	9
AWS	SET	21
Acetyltransf_1	Agenet	1
Acetyltransf_1	Jas	4
Acetyltransf_1	PHD	7
Acetyltransf_1	PLATZ	1
Acetyltransf_7	Bromodomain	1
Acetyltransf_7	PHD	1
Actin	PH	1
Actin	PHD	1
Actin	RVT_1	1
Activator_LAG-3	JmjC	1
Activator_LAG-3	JmjN	1
Activator_LAG-3	PHD_2	1
Activator_LAG-3	zf-HC5HC2H_2	1
Agenet	Chromo	2
Agenet	Helicase_C	1
Agenet	Jas	13
Agenet	MBD	1
Agenet	MrcB_N	1
Agenet	PHD	19
Agenet	SNF2_N	1
Agenet	zf-CXXC	1
Aldedh	PHD	1
Aldedh	RVT_1	1
Alfin	Helicase_C	1
Alfin	PHD	81
Alfin	SNF2_N	1
Alfin	zf-C3HC4	1
Ank_2	F-box-like	1
Ank_2	PHD	1
BAH	Bromodomain	2
BAH	Cdc6_C	2
BAH	ELM2	2
BAH	Myb_DNA-binding	2
BAH	PHD	115
BAH	PHD_2	10
BAH	Ribosomal_L7Ae	1
BAH	SANTA	1
BAH	SET	3
BAH	zf-HC5HC2H_2	17
BET	Bromodomain	1
BET	PHD	1
BRCT	BRCT_2	2
BRCT	Homeobox_KN	1
BRCT	PHD	10
BRCT	PHD_2	2
BRCT	PTCB-BRCT	8
BRCT	zf-C3HC4_2	1
BRCT	zf-HC5HC2H_2	2
BRCT_2	PHD	1
BRCT_2	PHD_2	1
BRCT_2	PTCB-BRCT	1
BRCT_2	zf-C3HC4_2	1
BRCT_2	zf-HC5HC2H_2	1
BRK	PHD	25
BRK	PT	2
BRK	SPOC	20
BRK	TFIIS_M	22
BRO1	PHD	1
BRO1	RVT_1	1
Bromo_TP	Caveolin	1
Bromo_TP	PHD	29
Bromo_TP	Pkinase	1
Bromodomain	Bromodomain	1
Bromodomain	CENP-B_N	4
Bromodomain	Chromo	7
Bromodomain	DAGK_cat	1
Bromodomain	DDT	87
Bromodomain	Death	1
Bromodomain	EPL1	76
Bromodomain	FYRC	7
Bromodomain	FYRN	11
Bromodomain	GATA	1
Bromodomain	Glycos_transf_2	1
Bromodomain	HAT_KAT11	10
Bromodomain	HSR	2
Bromodomain	Helicase_C	7
Bromodomain	Integrase_H2C2	1
Bromodomain	KIX_2	2
Bromodomain	MBD	43
Bromodomain	Neuralized	1
Bromodomain	PHD	262
Bromodomain	PHD_2	81
Bromodomain	PWWP	59
Bromodomain	Peptidase_S8	1
Bromodomain	Pkinase	1
Bromodomain	RAMA	1
Bromodomain	RIIa	1
Bromodomain	RT_RNaseH	1
Bromodomain	RVT_1	2
Bromodomain	Ras	1
Bromodomain	SAND	2
Bromodomain	SET	13
Bromodomain	SNF2_N	7
Bromodomain	TPR_12	2
Bromodomain	TPR_8	2
Bromodomain	WAC_Acf1_DNA_bd	36
Bromodomain	WHIM1	71
Bromodomain	WSD	102
Bromodomain	ZZ	7
Bromodomain	cNMP_binding	1
Bromodomain	p450	1
Bromodomain	rve	1
Bromodomain	zf-B_box	21
Bromodomain	zf-C3HC4	1
Bromodomain	zf-CCHC	2
Bromodomain	zf-CXXC	3
Bromodomain	zf-HC5HC2H	9
Bromodomain	zf-HC5HC2H_2	85
Bromodomain	zf-RING_UBOX	7
Bromodomain	zf-TAZ	9
C1_1	CNH	1
C1_1	DMPK_coil	1
C1_1	KELK	1
C1_1	PHD	1
C1_1	Pkinase	1
C5HCH	HMG_box	1
C5HCH	PHD	6
C5HCH	PWWP	6
C5HCH	SET	6
CD36	PHD	1
CENP-B_N	DDT	4
CENP-B_N	MBD	4
CENP-B_N	PHD	4
CENP-B_N	WHIM1	4
CENP-B_N	WSD	4
CEP63	PHD	1
CHDCT2	CHDNT	33
CHDCT2	Chromo	44
CHDCT2	DUF1086	45
CHDCT2	DUF1087	45
CHDCT2	Helicase_C	45
CHDCT2	PHD	46
CHDCT2	SNF2_N	45
CHDNT	Chromo	36
CHDNT	DUF1086	34
CHDNT	DUF1087	34
CHDNT	Helicase_C	34
CHDNT	PHD	38
CHDNT	SNF2_N	36
CNH	DMPK_coil	1
CNH	KELK	1
CNH	PHD	1
CNH	Pkinase	1
COX6A	PHD	1
COX6A	RVT_1	1
CRC_subunit	PHD	9
Caveolin	PHD	1
Cdc6_C	PHD	3
Chromo	DUF1086	66
Chromo	DUF1087	83
Chromo	FYRC	1
Chromo	FYRN	1
Chromo	Helicase_C	111
Chromo	MrcB_N	2
Chromo	PHD	126
Chromo	PHD_2	7
Chromo	PWWP	10
Chromo	Prim_Zn_Ribbon	1
Chromo	RVT_1	1
Chromo	SNF2_N	124
Chromo	TPR_11	1
Chromo	zf-CCHC	1
Chromo	zf-CXXC	1
Chromo	zf-HC5HC2H	4
Chromo	zf-HC5HC2H_2	7
Cofilin_ADF	PHD	1
Cofilin_ADF	SH3_1	1
Cofilin_ADF	zf-HC5HC2H_2	1
Cohesin_HEAT	Nipped-B_C	18
Cohesin_HEAT	PHD	19
Cohesin_HEAT	RhoGEF	1
Condensin2nSMC	PHD	1
Cupin_8	F-box	3
Cupin_8	F-box-like	5
Cupin_8	JHD	15
Cupin_8	LRR_6	2
Cupin_8	PHD	11
Cupin_8	PHD_4	10
Cupin_8	zf-CXXC	11
DAGK_cat	EPL1	1
DAGK_cat	PHD_2	1
DAGK_cat	zf-HC5HC2H_2	1
DDE_1	HTH_Tnp_Tc5	3
DDE_1	HTH_psq	5
DDE_1	PHD	12
DDT	Glycos_transf_2	1
DDT	MBD	33
DDT	PHD	145
DDT	SAND	1
DDT	WAC_Acf1_DNA_bd	27
DDT	WHIM1	87
DDT	WSD	85
DDT	zf-CXXC	1
DDT	zf-HC5HC2H_2	2
DEAD	PHD_2	1
DEAD	zf-HC5HC2H_2	1
DIRP	PHD	1
DMPK_coil	KELK	1
DMPK_coil	PHD	1
DMPK_coil	Pkinase	1
DNA_methylase	DNA_methylase	1
DNA_methylase	Integrase_H2C2	2
DNA_methylase	PHD	3
DNA_methylase	RT_RNaseH	2
DNA_methylase	RVT_1	2
DNA_methylase	zf-CCHC	1
DNA_pol_A_exo1	HRDC	1
DNA_pol_A_exo1	PHD	1
DNA_pol_A_exo1	PMC2NT	1
DNA_pol_A_exo1	RVT_1	1
DOT1	PHD	3
DUF1086	DUF1087	65
DUF1086	Helicase_C	67
DUF1086	PHD	68
DUF1086	SNF2_N	67
DUF1087	Helicase_C	82
DUF1087	PHD	85
DUF1087	PWWP	9
DUF1087	SNF2_N	84
DUF1087	TPR_11	1
DUF3361	ELMO_CED12	1
DUF3361	PHD	1
DUF3361	PH_12	1
DUF3504	PHD	2
DUF3504	SAM_1	2
Death	MBD	1
Death	Neuralized	1
Death	PHD	1
Death	WSD	1
DnaJ	PHD	2
EELM2	PHD	3
EIF_2_alpha	PHD	1
EIF_2_alpha	RVT_1	1
EIF_2_alpha	S1	1
ELM2	PHD	10
ELM2	PHD_2	2
ELM2	zf-HC5HC2H_2	2
ELMO_CED12	PHD	1
ELMO_CED12	PH_12	1
EMC3_TMCO1	PHD	1
EPL1	FCH	1
EPL1	HARE-HTH	1
EPL1	PHD	4
EPL1	PHD_2	134
EPL1	PWWP	39
EPL1	RIIa	1
EPL1	SH3_1	1
EPL1	SH3_2	1
EPL1	cNMP_binding	1
EPL1	zf-HC5HC2H	1
EPL1	zf-HC5HC2H_2	136
EVE	PHD	1
EloA-BP1	PHD	4
EloA-BP1	zf-RING_2	3
EsV_1_7_cys	PHD	1
Exo_endo_phos	PHD	2
Exo_endo_phos	RVT_1	2
Exo_endo_phos_2	PHD	13
Exo_endo_phos_2	RVT_1	2
F-box	JHD	9
F-box	JmjC	2
F-box	LRR_6	1
F-box	PHD_4	13
F-box	zf-CXXC	12
F-box-like	JHD	5
F-box-like	JmjC	2
F-box-like	LRR_6	2
F-box-like	PHD	1
F-box-like	PHD_4	13
F-box-like	zf-CXXC	12
FAD_syn	Helicase_C	1
FAD_syn	PHD	1
FAD_syn	SNF2_N	1
FAR1	MULE	1
FAR1	PHD	1
FCH	PHD_2	1
FCH	SH3_1	1
FCH	SH3_2	1
FCH	zf-HC5HC2H_2	1
FHA	PHD	17
FHA	PHF12_MRG_bd	5
FUN14	PHD	1
FUN14	zf-HC5HC2H_2	1
FYRC	FYRN	76
FYRC	Ham1p_like	1
FYRC	Helicase_C	1
FYRC	Homeodomain	1
FYRC	LBR_tudor	1
FYRC	MBD	3
FYRC	PHD	66
FYRC	PHD_2	17
FYRC	PH_13	1
FYRC	PWWP	21
FYRC	RAMA	2
FYRC	RhoGEF	1
FYRC	SET	73
FYRC	SNF2_N	1
FYRC	WHIM1	3
FYRC	WSD	5
FYRC	zf-CXXC	16
FYRC	zf-HC5HC2H	46
FYRC	zf-HC5HC2H_2	40
FYRN	Ham1p_like	1
FYRN	Helicase_C	1
FYRN	Homeodomain	1
FYRN	LBR_tudor	1
FYRN	MBD	1
FYRN	PHD	79
FYRN	PHD_2	16
FYRN	PH_13	1
FYRN	PWWP	21
FYRN	RAMA	3
FYRN	RhoGEF	1
FYRN	SET	79
FYRN	SNF2_N	1
FYRN	TPR_12	2
FYRN	TPR_8	2
FYRN	WHIM1	2
FYRN	WSD	6
FYRN	zf-C2H2_6	1
FYRN	zf-CXXC	21
FYRN	zf-HC5HC2H	53
FYRN	zf-HC5HC2H_2	42
Fasciclin	Helicase_C_4	1
Fasciclin	PHD	1
Forkhead	PHD	1
Forkhead	SAP30_Sin3_bdg	1
GATA	PHD	5
GGACT	PHD	1
Glyco_hydro_9	PHD	1
Glyco_hydro_9	Tyrosinase	1
Glyco_hydro_9	zf-HC5HC2H	1
Glycos_transf_2	PHD	1
Glycos_transf_2	WHIM1	1
Glycos_transf_2	WSD	1
Guanylate_kin	PHD	1
Guanylate_kin	dUTPase	1
