i	j	weight
2OG-FeII_Oxy_5	zf-CXXC	1
7tm_1	FYRC	2
7tm_1	FYRN	2
7tm_1	PHD	2
7tm_1	PH_13	1
7tm_1	RhoGEF	1
7tm_1	SET	2
7tm_1	zf-CXXC	2
7tm_1	zf-HC5HC2H	2
AAA	zf-CXXC	1
ALS2CR8	MULE	2
ALS2CR8	zf-CXXC	2
AP2	Chromo	1
AP2	HSF_DNA-bind	1
AP2	MBD	1
AP2	zf-CXXC	2
Agenet	Chromo	1
Agenet	Helicase_C	1
Agenet	MrcB_N	1
Agenet	PHD	1
Agenet	SNF2_N	1
Agenet	zf-CXXC	2
BAH	DAN	1
BAH	DMAP_binding	9
BAH	DNA_methylase	28
BAH	DNMT1-RFD	29
BAH	zf-CXXC	32
Bromodomain	FYRN	3
Bromodomain	PHD	3
Bromodomain	TPR_12	2
Bromodomain	TPR_8	2
Bromodomain	WHIM1	1
Bromodomain	WSD	3
Bromodomain	zf-CXXC	3
CBFD_NFYB_HMF	zf-CXXC	1
Chromo	HSF_DNA-bind	1
Chromo	Helicase_C	2
Chromo	MBD	1
Chromo	MrcB_N	1
Chromo	PHD	1
Chromo	SNF2_N	2
Chromo	zf-CXXC	7
Chromo	zf-met	1
Cupin_8	F-box	5
Cupin_8	F-box-like	5
Cupin_8	JHD	8
Cupin_8	LRR_6	2
Cupin_8	PHD_4	10
Cupin_8	zf-CXXC	14
DAN	DNA_methylase	1
DAN	DNMT1-RFD	1
DAN	zf-CXXC	1
DDE_Tnp_IS1595	zf-CXXC	1
DDT	PHD	1
DDT	zf-CXXC	1
DMAP_binding	DNA_methylase	9
DMAP_binding	DNMT1-RFD	9
DMAP_binding	zf-CXXC	9
DNA_methylase	DNMT1-RFD	27
DNA_methylase	zf-CXXC	28
DNMT1-RFD	zf-CXXC	31
DUF4371	Dimer_Tnp_hAT	1
DUF4371	SWIM	1
DUF4371	zf-CXXC	1
DUF4801	zf-CXXC	1
Dimer_Tnp_hAT	SWIM	1
Dimer_Tnp_hAT	zf-CXXC	1
F-box	JHD	12
F-box	JmjC	3
F-box	LRR_6	2
F-box	PHD_4	12
F-box	zf-CXXC	15
F-box-like	JHD	7
F-box-like	JmjC	3
F-box-like	LRR_6	2
F-box-like	PHD_4	12
F-box-like	zf-CXXC	14
FHA	zf-CXXC	1
FYRC	FYRN	18
FYRC	Ham1p_like	1
FYRC	PHD	16
FYRC	PH_13	1
FYRC	RhoGEF	1
FYRC	SET	19
FYRC	zf-CXXC	19
FYRC	zf-HC5HC2H	17
FYRC	zf-HC5HC2H_2	1
FYRN	Ham1p_like	1
FYRN	PHD	21
FYRN	PH_13	1
FYRN	RhoGEF	1
FYRN	SET	18
FYRN	TPR_12	2
FYRN	TPR_8	2
FYRN	WHIM1	1
FYRN	WSD	3
FYRN	zf-CXXC	24
FYRN	zf-HC5HC2H	18
FYRN	zf-HC5HC2H_2	1
HSF_DNA-bind	MBD	1
HSF_DNA-bind	zf-CXXC	1
Ham1p_like	PHD	1
Ham1p_like	SET	1
Ham1p_like	zf-CXXC	1
Ham1p_like	zf-HC5HC2H	1
Helicase_C	MrcB_N	1
Helicase_C	PHD	1
Helicase_C	SNF2_N	3
Helicase_C	zf-CXXC	3
Hist_deacetyl	zf-CXXC	5
Homeodomain	Pou	1
Homeodomain	zf-CXXC	1
JHD	JmjC	4
JHD	LRR_6	2
JHD	PHD_4	16
JHD	zf-CXXC	25
JmjC	LRR_6	1
JmjC	PHD_4	4
JmjC	zf-CXXC	7
LRR_6	PHD_4	3
LRR_6	zf-CXXC	4
MBD	zf-CXXC	6
MULE	OTU	2
MULE	zf-CXXC	4
MrcB_N	PHD	1
MrcB_N	SNF2_N	1
MrcB_N	zf-CXXC	1
OTU	SWIM	1
OTU	zf-C3HC4	2
OTU	zf-CXXC	7
OTU	zf-TRAF	2
PHD	PH_13	1
PHD	RhoGEF	1
PHD	SET	16
PHD	SNF2_N	1
PHD	TPR_12	2
PHD	TPR_8	2
PHD	WHIM1	1
PHD	WSD	3
PHD	zf-C2H2_6	1
PHD	zf-CXXC	60
PHD	zf-CpG_bind_C	28
PHD	zf-HC5HC2H	16
PHD	zf-HC5HC2H_2	1
PHD_4	zf-CXXC	30
PH_13	RhoGEF	1
PH_13	SET	1
PH_13	zf-CXXC	1
PH_13	zf-HC5HC2H	1
Peptidase_C48	SWIM	1
Peptidase_C48	zf-CXXC	3
Pou	zf-CXXC	1
RRM_DME	zf-CXXC	1
RhoGEF	SET	1
RhoGEF	zf-CXXC	1
RhoGEF	zf-HC5HC2H	1
SAM_1	zf-CXXC	3
SET	zf-CXXC	19
SET	zf-HC5HC2H	17
SET	zf-HC5HC2H_2	1
SNF2_N	zf-CXXC	3
SWIM	zf-CXXC	4
TPR_12	TPR_8	2
TPR_12	WSD	2
TPR_12	zf-CXXC	2
TPR_8	WSD	2
TPR_8	zf-CXXC	2
Tet_JBP	zf-CXXC	17
WHIM1	WSD	1
WHIM1	zf-CXXC	1
WSD	zf-CXXC	3
zf-C2H2_6	zf-CXXC	1
zf-C3HC4	zf-CXXC	2
zf-C3HC4	zf-TRAF	2
zf-C3HC4_2	zf-CXXC	1
zf-C4	zf-CXXC	1
zf-CW	zf-CXXC	4
zf-CXXC	zf-CXXC	69
zf-CXXC	zf-CpG_bind_C	36
zf-CXXC	zf-HC5HC2H	19
zf-CXXC	zf-HC5HC2H_2	1
zf-CXXC	zf-TRAF	2
zf-CXXC	zf-met	1
