i	j	weight
AAA_18	WD40	2
ANAPC4_WD40	ANAPC4_WD40	6
ANAPC4_WD40	APAF1_C	1
ANAPC4_WD40	ATG16	2
ANAPC4_WD40	B_lectin	2
ANAPC4_WD40	HELP	4
ANAPC4_WD40	Ion_trans	1
ANAPC4_WD40	LisH	1
ANAPC4_WD40	LisH_TPL	3
ANAPC4_WD40	Myb_DNA-binding	1
ANAPC4_WD40	PD40	2
ANAPC4_WD40	PhyH	1
ANAPC4_WD40	Prp19	1
ANAPC4_WD40	Snf7	1
ANAPC4_WD40	Utp21	1
ANAPC4_WD40	WD40	66
ANAPC4_WD40	bZIP_2	1
ANAPC4_WD40	eIF2A	6
APAF1_C	WD40	1
ATG16	Pkinase	1
ATG16	WD40	26
ATG16	eIF2A	1
B_lectin	WD40	2
Beach	GRAM	1
Beach	PH_BEACH	3
Beach	WD40	4
CAF1C_H4-bd	WD40	1
CCT	WD40	1
DUF4821	WD40	1
EF-hand_7	WD40	1
EF-hand_8	WD40	1
Fz	I-set	1
Fz	Kringle	1
Fz	Pkinase_Tyr	1
Fz	WD40	1
GRAM	WD40	1
HELP	Ion_trans	1
HELP	WD40	4
Hydant_A_N	Hydantoinase_A	1
Hydant_A_N	Hydantoinase_B	1
Hydant_A_N	WD40	1
Hydantoinase_A	Hydantoinase_B	1
Hydantoinase_A	WD40	1
Hydantoinase_B	WD40	1
I-set	Kringle	1
I-set	Pkinase_Tyr	1
I-set	WD40	1
Ion_trans	WD40	1
Kinesin	Topoisom_bac	10
Kinesin	Toprim	10
Kinesin	WD40	10
Kinesin	zf-GRF	10
Kringle	Pkinase_Tyr	1
Kringle	WD40	1
LNS2	Lipin_N	1
LNS2	Lipin_mid	1
LNS2	WD40	1
Lipin_N	Lipin_mid	1
Lipin_N	WD40	1
Lipin_mid	WD40	1
LisH	WD40	10
LisH_TPL	WD40	4
Myb_DNA-binding	WD40	1
NACHT	Pentapeptide	1
NACHT	WD40	1
NLE	WD40	1
Nup160	WD40	1
PD40	WD40	4
PH_BEACH	WD40	3
PQQ_2	Prp19	1
PQQ_2	WD40	1
PX	Striatin	1
PX	Vps5	1
PX	WD40	1
Pentapeptide	WD40	1
PhyH	WD40	1
Pkinase	WD40	1
Pkinase_Tyr	WD40	1
Prp19	Ras	1
Prp19	U-box	2
Prp19	WD40	17
PseudoU_synth_1	WD40	1
RRM_1	Torus	1
RRM_1	UTP15_C	1
RRM_1	WD40	1
Ras	WD40	2
SAM_1	U-box	1
SAM_1	WD40	1
SAM_2	U-box	1
SAM_2	WD40	1
SH3_1	WD40	16
Snf7	WD40	1
Snf7	eIF2A	1
Striatin	Vps5	1
Striatin	WD40	1
TLE_N	WD40	3
TPR_12	TPR_8	1
TPR_12	WD40	1
TPR_8	WD40	1
Topoisom_bac	Toprim	10
Topoisom_bac	WD40	10
Topoisom_bac	zf-GRF	10
Toprim	WD40	10
Toprim	zf-GRF	10
Torus	UTP15_C	1
Torus	WD40	1
Trehalase	WD40	1
U-box	WD40	4
UTP15_C	WD40	8
Utp12	WD40	19
Utp13	WD40	1
Utp21	WD40	5
Vps5	WD40	1
WD40	WD40	782
WD40	bZIP_2	1
WD40	cNMP_binding	1
WD40	eIF2A	18
WD40	zf-C3HC4_2	1
WD40	zf-CCCH	1
WD40	zf-GRF	10
WD40	zf-MYND	1
eIF2A	eIF2A	1
