i	j	weight
ABC_tran	CAF1C_H4-bd	1
ABC_tran	WD40	1
ANAPC2	CAF1C_H4-bd	1
ANAPC2	Cullin	1
ANAPC4_WD40	CAF1C_H4-bd	3
ANAPC4_WD40	WD40	2
Ank_2	CAF1C_H4-bd	1
Ank_2	WD40	1
CAF1C_H4-bd	CAF1C_H4-bd	40
CAF1C_H4-bd	Cullin	1
CAF1C_H4-bd	DEAD	1
CAF1C_H4-bd	DnaJ	1
CAF1C_H4-bd	HAD_2	1
CAF1C_H4-bd	Helicase_C	1
CAF1C_H4-bd	KBP_C	1
CAF1C_H4-bd	LRR_6	1
CAF1C_H4-bd	OPA3	1
CAF1C_H4-bd	THAP	1
CAF1C_H4-bd	Thioredoxin	1
CAF1C_H4-bd	WD40	397
CAF1C_H4-bd	adh_short	1
CAF1C_H4-bd	eIF2A	10
DEAD	Helicase_C	1
DEAD	WD40	1
DnaJ	Thioredoxin	1
HAD_2	WD40	1
Helicase_C	WD40	1
LRR_6	WD40	1
OPA3	eIF2A	1
THAP	WD40	1
WD40	adh_short	1
WD40	eIF2A	5
