i	j	weight
14-3-3	Ank_2	2
14-3-3	Cupin_8	3
14-3-3	DHHC	1
14-3-3	JmjC	1
14-3-3	Met_10	1
14-3-3	Pkinase	1
2OG-FeII_Oxy	Cupin_8	1
2OG-FeII_Oxy	RVT_2	1
2OG-FeII_Oxy_4	Cupin_4	4
6PF2K	Cupin_8	1
6PF2K	DUF913	1
6PF2K	His_Phos_1	1
6PF2K	UBA	1
6PGD	Cupin_8	1
6PGD	F-box	1
6PGD	NAD_binding_2	1
7tm_2	GPS	1
7tm_2	JmjC	1
7tm_3	ANF_receptor	1
7tm_3	JmjC	1
AAA_6	Cupin_8	2
ABC1	Acetyltransf_1	1
ABC1	Cupin_8	2
ANAPC3	Cupin_8	1
ANAPC3	TPR_12	1
ANAPC3	TPR_16	1
ANF_receptor	JmjC	1
APG5	Cupin_8	1
APH	Cupin_8	6
APH	F-box	2
APH	F-box-like	4
APH	JmjC	3
ARID	AT_hook	1
ARID	Ion_trans	1
ARID	JmjC	154
ARID	JmjN	142
ARID	PHD	105
ARID	PLU-1	81
ARID	Pro_isomerase	1
ARID	RRM_1	1
ARID	zf-C5HC2	106
ARID	zf-HC5HC2H_2	1
ARID	zf_UBZ	1
ASL_C	Acetyltransf_10	1
ASL_C	Cupin_4	1
ASL_C	DUF489	1
ASL_C	Lyase_1	1
ASL_C	NUDIX	1
ASL_C	tRNA_Me_trans	1
AT_hook	JmjC	1
AT_hook	JmjN	1
AT_hook	PHD	1
AT_hook	PLU-1	1
AT_hook	zf-C5HC2	1
Acetyltransf_1	Cupin_8	1
Acetyltransf_10	Cupin_4	1
Acetyltransf_10	DUF489	1
Acetyltransf_10	Lyase_1	1
Acetyltransf_10	NUDIX	1
Acetyltransf_10	tRNA_Me_trans	1
Acid_PPase	Ank_4	1
Acid_PPase	Cupin_8	1
Acid_PPase	FKBP_C	1
Activator_LAG-3	JmjC	1
Activator_LAG-3	JmjN	1
Activator_LAG-3	PHD_2	1
Activator_LAG-3	zf-HC5HC2H_2	1
Acyl_transf_1	Cupin_4	1
Acyl_transf_1	Pkinase	1
Acyltransferase	Cupin_8	1
Aldedh	Cupin_8	1
Aldo_ket_red	Cupin_4	1
Aldo_ket_red	Cupin_8	20
Aldo_ket_red	PQQ	9
Aldo_ket_red	PQQ_2	13
Aldo_ket_red	PQQ_3	1
Aldo_ket_red	ShK	3
Amidohydro_3	Cupin_8	2
Ank	Ank_2	2
Ank	Cupin_8	2
Ank	JmjC	1
Ank_2	Ank_2	2
Ank_2	Ank_4	3
Ank_2	Ank_5	1
Ank_2	Cupin_4	1
Ank_2	Cupin_8	18
Ank_2	FKBP_C	1
Ank_2	JmjC	1
Ank_2	PPR	1
Ank_2	PPR_3	1
Ank_2	TPR_8	1
Ank_4	Ank_5	1
Ank_4	Cupin_8	5
Ank_4	FKBP_C	3
Ank_4	JmjC	1
Ank_4	PPR	1
Ank_4	PPR_3	1
Ank_5	Cupin_8	6
Arginase	Cupin_8	1
Armet	Cupin_4	1
B12D	JHD	1
B12D	JmjC	1
C2	Cupin_8	1
C2	PLA2_B	1
C2	cPLA2_C2	1
CH	Cupin_8	1
COG2	Cupin_4	1
COG2	DUF3510	1
COG2	Ras	1
CSRNP_N	Jas	1
CSRNP_N	JmjC	1
Calx-beta	Cupin_8	1
Calx-beta	JHD	1
Castor_Poll_mid	Cupin_8	28
Castor_Poll_mid	DnaJ	28
Castor_Poll_mid	HSF_DNA-bind	28
Castor_Poll_mid	SWIB	28
Castor_Poll_mid	TPR_16	28
Castor_Poll_mid	TPR_19	28
Castor_Poll_mid	TPR_8	28
Chromo	Cupin_8	2
Chromo	JmjC	3
Chromo	zf-4CXXC_R1	1
Cupin_4	Cupin_4	354
Cupin_4	Cupin_8	2
Cupin_4	Cyclin_C	1
Cupin_4	DUF3510	1
Cupin_4	DUF489	1
Cupin_4	DUF5011	5
Cupin_4	DUF563	1
Cupin_4	DUF924	1
Cupin_4	EF-hand_1	1
Cupin_4	EF-hand_5	1
Cupin_4	EF-hand_6	2
Cupin_4	EGF_3	1
Cupin_4	EGF_CA	1
Cupin_4	ER_lumen_recept	1
Cupin_4	Ephrin_rec_like	4
Cupin_4	F5_F8_type_C	1
Cupin_4	FNIP	2
Cupin_4	GST_N_3	1
Cupin_4	HYR	2
Cupin_4	Lyase_1	1
Cupin_4	Metallophos	1
Cupin_4	NUDIX	1
Cupin_4	Nucleotid_trans	2
Cupin_4	OpuAC	1
Cupin_4	PMSR	1
Cupin_4	PNK3P	1
Cupin_4	Pkinase	1
Cupin_4	Pkinase_Tyr	1
Cupin_4	RVT_1	1
Cupin_4	Ras	1
Cupin_4	Ribosomal_L22e	1
Cupin_4	SET	1
Cupin_4	SH2	3
Cupin_4	Sushi	10
Cupin_4	TIG	2
Cupin_4	TPR_2	1
Cupin_4	TRAM_LAG1_CLN8	1
Cupin_4	Tctex-1	1
Cupin_4	TehB	1
Cupin_4	WD40	1
Cupin_4	WW	1
Cupin_4	WWE	1
Cupin_4	bZIP_Maf	1
Cupin_4	tRNA_Me_trans	1
Cupin_8	Cupin_8	1768
Cupin_8	DDE_Tnp_1_7	1
Cupin_8	DHHC	2
Cupin_8	DNA_methylase	1
Cupin_8	DUF4570	1
Cupin_8	DUF563	1
Cupin_8	DUF913	1
Cupin_8	DnaJ	30
Cupin_8	EF-hand_5	1
Cupin_8	EF-hand_7	1
Cupin_8	EF-hand_8	1
Cupin_8	Exo_endo_phos	3
Cupin_8	F-box	16
Cupin_8	F-box-like	37
Cupin_8	FBA	1
Cupin_8	FKBP_C	4
Cupin_8	FNIP	1
Cupin_8	FumaraseC_C	1
Cupin_8	GCIP	1
Cupin_8	GGDEF	1
Cupin_8	GRAM	1
Cupin_8	GSIII_N	2
Cupin_8	GST_C_2	1
Cupin_8	GST_N_3	1
Cupin_8	Gln-synt_C	2
Cupin_8	Gln-synt_C-ter	2
Cupin_8	Glycos_transf_2	1
Cupin_8	Golgin_A5	1
Cupin_8	HA2	1
Cupin_8	HAD_2	1
Cupin_8	HSF_DNA-bind	28
Cupin_8	Helicase_C	1
Cupin_8	His_Phos_1	1
Cupin_8	Homeodomain	1
Cupin_8	Hormone_recep	1
Cupin_8	HpcH_HpaI	1
Cupin_8	IF4E	1
Cupin_8	Integrase_H2C2	1
Cupin_8	Ion_trans	1
Cupin_8	JHD	29
Cupin_8	JmjC	2
Cupin_8	Kelch_3	1
Cupin_8	Kelch_4	9
Cupin_8	Kelch_5	2
Cupin_8	Ketoacyl-synt_C	1
Cupin_8	LCM	10
Cupin_8	LIM	1
Cupin_8	LRR_6	2
Cupin_8	Lactamase_B	1
Cupin_8	LicD	1
Cupin_8	Lipase_3	1
Cupin_8	Lyase_1	2
Cupin_8	MIB_HERC2	1
Cupin_8	Met_10	13
Cupin_8	Metallophos	1
Cupin_8	Methyltransf_16	2
Cupin_8	Methyltransf_32	1
Cupin_8	MoaE	1
Cupin_8	NADAR	1
Cupin_8	NAD_binding_2	1
Cupin_8	NAD_binding_9	1
Cupin_8	NTP_transf_2	4
Cupin_8	Nramp	1
Cupin_8	PCIF1_WW	2
Cupin_8	PH	1
Cupin_8	PHD	11
Cupin_8	PHD_4	10
Cupin_8	PI3_PI4_kinase	1
Cupin_8	PLA2_B	1
Cupin_8	PP-binding	1
Cupin_8	PP2C	2
Cupin_8	PPR_2	1
Cupin_8	PPR_3	1
Cupin_8	PQQ	10
Cupin_8	PQQ_2	15
Cupin_8	PQQ_3	3
Cupin_8	PSI	1
Cupin_8	PUB	1
Cupin_8	ParA	2
Cupin_8	PhoH	1
Cupin_8	PhyH	1
Cupin_8	Pkinase	6
Cupin_8	Pyrophosphatase	1
Cupin_8	RAG2	1
Cupin_8	RMI1_N	1
Cupin_8	RNase_H	1
Cupin_8	RSN1_TM	1
Cupin_8	RT_RNaseH	1
Cupin_8	RVT_1	3
Cupin_8	RVT_2	1
Cupin_8	Ras	2
Cupin_8	Reprolysin_4	1
Cupin_8	Rit1_C	1
Cupin_8	SAM_1	1
Cupin_8	SET	1
Cupin_8	SUFBD	1
Cupin_8	SWIB	28
Cupin_8	SapB_1	1
Cupin_8	SapB_2	1
Cupin_8	ShK	3
Cupin_8	Sulfatase	1
Cupin_8	TPR_12	1
Cupin_8	TPR_14	1
Cupin_8	TPR_16	35
Cupin_8	TPR_19	30
Cupin_8	TPR_2	1
Cupin_8	TPR_6	1
Cupin_8	TPR_8	33
Cupin_8	TRP	1
Cupin_8	TTL	1
Cupin_8	TYW3	10
Cupin_8	Thioredoxin	2
Cupin_8	Thioredoxin_2	1
Cupin_8	TrmO	1
Cupin_8	TylF	2
Cupin_8	UBA	1
Cupin_8	UQ_con	1
Cupin_8	UvrD-helicase	1
Cupin_8	UvrD_C	1
Cupin_8	VASt	2
Cupin_8	Voltage_CLC	1
Cupin_8	WD40	1
Cupin_8	YqaJ	2
Cupin_8	aGPT-Pplase1	1
Cupin_8	adh_short	1
Cupin_8	cPLA2_C2	1
Cupin_8	ketoacyl-synt	1
Cupin_8	zf-C2H2	1
Cupin_8	zf-C4	1
Cupin_8	zf-CXXC	14
Cupin_8	zf-MYND	3
Cupin_8	zf-RING_11	1
Cupin_8	zf-RING_UBOX	1
Cupin_8	zf-UBR	1
DEAD	Helicase_C	1
DEAD	JmjC	1
DEAD	JmjN	1
DHHC	Met_10	2
DHHC	Pkinase	2
DNA_methylase	RNase_H	1
DNA_methylase	RVT_1	1
DUF3510	Ras	1
DUF489	Lyase_1	1
DUF489	NUDIX	1
DUF489	tRNA_Me_trans	1
DUF5011	Ephrin_rec_like	2
DUF5011	HYR	2
DUF5011	Pkinase_Tyr	1
DUF5011	SH2	2
DUF5011	Sushi	2
DUF563	TRAM_LAG1_CLN8	1
DUF913	His_Phos_1	1
DUF913	UBA	1
DnaJ	HSF_DNA-bind	28
DnaJ	SWIB	28
DnaJ	TPR_16	28
DnaJ	TPR_19	28
DnaJ	TPR_8	28
EF-hand_7	Thioredoxin	1
EF-hand_8	PP2C	1
EF-hand_8	zf-MYND	1
EGF_3	EGF_CA	1
EGF_3	Sushi	1
EGF_CA	Sushi	1
Ephrin_rec_like	GST_N_3	1
Ephrin_rec_like	HYR	1
Ephrin_rec_like	SH2	2
Ephrin_rec_like	WW	1
Exo_endo_phos	GRAM	1
Exo_endo_phos	Integrase_H2C2	1
Exo_endo_phos	PhoH	1
Exo_endo_phos	RT_RNaseH	1
Exo_endo_phos	RVT_1	1
Exo_endo_phos	VASt	1
F-box	JHD	11
F-box	JmjC	4
F-box	LRR_6	2
F-box	NAD_binding_2	1
F-box	PHD_4	8
F-box	zf-CXXC	11
F-box-like	F-box-like	1
F-box-like	JHD	3
F-box-like	JmjC	5
F-box-like	LRR_6	1
F-box-like	PHD_4	8
F-box-like	zf-CXXC	9
F-box-like	zf-UBR	1
FAD_binding_8	NAD_binding_1	1
FAD_binding_8	Sel1	1
FBA	zf-RING_11	1
FYRC	FYRN	31
FYRC	JmjC	31
FYRC	JmjN	30
FYRC	zf-C5HC2	31
FYRN	JmjC	34
FYRN	JmjN	32
FYRN	zf-C5HC2	34
FtsK_gamma	JmjC	1
FumaraseC_C	Lyase_1	1
GGDEF	ParA	1
GPS	JmjC	1
GRAM	VASt	1
GRASP55_65	JmjC	1
GRASP55_65	PP2C	1
GSIII_N	Gln-synt_C	2
GSIII_N	Gln-synt_C-ter	2
GST_C_2	GST_N_3	1
GST_C_6	Tom37	1
Gln-synt_C	Gln-synt_C-ter	2
Gly_transf_sug	JmjC	1
Glyco_hydro_20	Glycohydro_20b2	1
Glyco_hydro_20	JmjC	1
Glycohydro_20b2	JmjC	1
HA2	Helicase_C	1
HEAT	JmjC	1
HSF_DNA-bind	SWIB	28
HSF_DNA-bind	TPR_16	28
HSF_DNA-bind	TPR_19	28
HSF_DNA-bind	TPR_8	28
HYR	Pkinase_Tyr	1
HYR	SH2	1
Helicase_C	JmjC	1
Helicase_C	JmjN	1
His_Phos_1	UBA	1
Hist_deacetyl	JmjC	1
Hist_deacetyl	JmjN	1
Homeodomain	Methyltransf_16	1
Hormone_recep	zf-C4	1
IF3_N	PIH1_CS	1
IF3_N	Pkinase	1
IF4E	MoaE	1
IF4E	UQ_con	1
IPK	IPK	1
Integrase_H2C2	PhoH	1
Integrase_H2C2	RT_RNaseH	1
Integrase_H2C2	RVT_1	1
Ion_trans	JmjC	1
Ion_trans	JmjN	1
JHD	JHD	7
JHD	JmjC	58
JHD	LRR_6	2
JHD	PHD	47
JHD	PHD_4	11
JHD	Ribosomal_L36	1
JHD	zf-CXXC	18
Jas	JmjC	1
JmjC	JmjC	492
JmjC	JmjN	387
JmjC	LRR_6	1
JmjC	MBD	1
JmjC	Methyltransf_11	1
JmjC	Methyltransf_16	1
JmjC	PHD	159
JmjC	PHD_2	33
JmjC	PHD_4	4
JmjC	PLU-1	96
JmjC	PP2C	2
JmjC	PPR	1
JmjC	PWWP	1
JmjC	Peptidase_C48	1
JmjC	Pro_isomerase	1
JmjC	RINGv	1
JmjC	RRM_1	1
JmjC	Ras	1
JmjC	TMEM164	1
JmjC	TPR_1	5
JmjC	TPR_14	1
JmjC	TPR_16	19
JmjC	TPR_8	16
JmjC	Tudor_2	30
JmjC	WRC	33
JmjC	adh_short	1
JmjC	polyprenyl_synt	1
JmjC	zf-4CXXC_R1	38
JmjC	zf-C2H2	4
JmjC	zf-C5HC2	209
JmjC	zf-CCHC	1
JmjC	zf-CW	3
JmjC	zf-CXXC	7
JmjC	zf-HC5HC2H	9
JmjC	zf-HC5HC2H_2	44
JmjC	zf_UBZ	1
JmjN	MBD	1
JmjN	Methyltransf_11	1
JmjN	PHD	103
JmjN	PHD_2	30
JmjN	PLU-1	78
JmjN	Pro_isomerase	1
JmjN	RINGv	1
JmjN	RRM_1	1
JmjN	Tudor_2	28
JmjN	zf-C2H2	4
JmjN	zf-C5HC2	177
JmjN	zf-CW	2
JmjN	zf-HC5HC2H	8
JmjN	zf-HC5HC2H_2	40
JmjN	zf_UBZ	1
Kelch_3	LCM	1
Kelch_4	Kelch_5	1
Kelch_4	LCM	3
Kelch_4	Lipase_3	1
Kelch_4	Met_10	5
Kelch_4	TYW3	5
Kelch_5	LCM	1
Kelch_5	Met_10	1
Kelch_5	TYW3	1
Ketoacyl-synt_C	ketoacyl-synt	1
LCM	Lipase_3	1
LCM	RAG2	1
LRR_6	PHD_4	2
LRR_6	zf-CXXC	3
Lyase_1	NUDIX	1
Lyase_1	tRNA_Me_trans	1
Met_10	Pkinase	2
Met_10	TYW3	10
Methyltransf_11	RINGv	1
MoaE	UQ_con	1
NAD_binding_1	Sel1	1
NUDIX	tRNA_Me_trans	1
PHD	PLU-1	91
PHD	Ribosomal_L36	1
PHD	Tudor_2	1
PHD	zf-C5HC2	96
PHD	zf-HC5HC2H_2	2
PHD	zf_UBZ	1
PHD_2	Tudor_2	27
PHD_2	zf-HC5HC2H_2	32
PHD_4	zf-CXXC	20
PIH1_CS	Pkinase	1
PLA2_B	cPLA2_C2	1
PLU-1	zf-C5HC2	90
PNK3P	SET	1
PP2C	zf-MYND	1
PPR	PPR_3	1
PPR_2	PPR_3	1
PQQ	PQQ_2	9
PQQ	PQQ_3	1
PQQ	ShK	1
PQQ_2	PQQ_3	2
PQQ_2	ShK	3
PQQ_2	WD40	1
PQQ_3	ShK	1
PWWP	zf-4CXXC_R1	1
ParA	UvrD-helicase	1
ParA	UvrD_C	1
PhoH	RT_RNaseH	1
PhoH	RVT_1	1
Pkinase	Pkinase	1
Pro_isomerase	RRM_1	1
Pro_isomerase	zf-C5HC2	1
Pyrophosphatase	adh_short	1
RNase_H	RVT_1	1
RRM_1	zf-C5HC2	1
RT_RNaseH	RVT_1	1
Reprolysin_4	aGPT-Pplase1	1
SWIB	TPR_16	28
SWIB	TPR_19	28
SWIB	TPR_8	28
SapB_1	SapB_2	1
Sushi	bZIP_Maf	1
TPR_1	TPR_16	2
TPR_12	TPR_16	1
TPR_14	TPR_16	1
TPR_16	TPR_19	28
TPR_16	TPR_6	1
TPR_16	TPR_8	38
TPR_19	TPR_8	28
TPR_6	TPR_8	1
