i	j	weight
AlbA_2	Arm	2
AlbA_2	SHIPPO-rpt	1
AlbA_2	TUDOR	13
Arm	CS	2
Arm	DEAD	4
Arm	TUDOR	9
Arm_2	CS	1
Arm_2	DEAD	1
Arm_2	TUDOR	1
BACK	BTB	2
BACK	Kelch_1	2
BACK	TUDOR	2
BTB	Kelch_1	2
BTB	TUDOR	2
C2	Exo_endo_phos	1
C2	TUDOR	1
CS	DEAD	8
CS	Helicase_C	2
CS	TUDOR	12
DDE_Tnp_4	TUDOR	1
DDE_Tnp_4	dsrm	1
DEAD	HA2	32
DEAD	Helicase_C	38
DEAD	TUDOR	58
DSPc	SNase	1
DSPc	TUDOR	1
DUF4062	KH_1	1
DUF4062	TUDOR	1
DUF4817	TUDOR	1
E1_dh	SNase	1
E1_dh	TUDOR	1
E1_dh	Transket_pyr	1
Exo_endo_phos	TUDOR	1
G-patch	TUDOR	1
HA2	Helicase_C	33
HA2	TUDOR	34
HLH	TUDOR	1
Helicase_C	SNF2_N	1
Helicase_C	TUDOR	40
Helicase_C	VIGSSK	1
IQ	TUDOR	1
Integrase_H2C2	OST-HTH	1
Integrase_H2C2	RT_RNaseH	1
Integrase_H2C2	RVT_1	1
Integrase_H2C2	TUDOR	1
Integrase_H2C2	gag-asp_proteas	1
KH_1	TUDOR	64
KH_1	Thioredoxin	2
Kelch_1	TUDOR	2
LBR_tudor	LBR_tudor	1
LETM1	TUDOR	1
MULE	SNase	1
MULE	TUDOR	1
OST-HTH	RRM_1	8
OST-HTH	RT_RNaseH	1
OST-HTH	RVT_1	1
OST-HTH	TUDOR	74
OST-HTH	dsrm	2
OST-HTH	gag-asp_proteas	1
OTU	TUDOR	1
PWI	TUDOR	2
Pkinase	RRM_1	3
Pkinase	TUDOR	5
Pkinase_Tyr	TUDOR	1
Pkinase_Tyr	zf-B_box	1
R3H	TUDOR	1
RBP_receptor	TUDOR	1
RMI1_N	SMN	4
RMI1_N	TUDOR	6
RMI1_N	UBA	9
RRM_1	RVT_1	1
RRM_1	TUDOR	54
RRM_1	zf-MYND	20
RT_RNaseH	RVT_1	1
RT_RNaseH	TUDOR	1
RT_RNaseH	gag-asp_proteas	1
RVT_1	TUDOR	6
RVT_1	gag-asp_proteas	1
Ras	SNase	1
Ras	TUDOR	1
S1	SMN	1
SHIPPO-rpt	TUDOR	1
SMN	SMN	40
SMN	TUDOR	2
SMN	UBA	4
SNF2_N	TUDOR	1
SNF2_N	VIGSSK	1
SNase	TUDOR	181
SNase	Transket_pyr	1
Syja_N	TUDOR	1
TUDOR	TUDOR	401
TUDOR	Thioredoxin	3
TUDOR	Transket_pyr	1
TUDOR	UBA	6
TUDOR	VIGSSK	1
TUDOR	YTH	2
TUDOR	dsrm	3
TUDOR	eIF3_p135	1
TUDOR	gag-asp_proteas	1
TUDOR	zf-B_box	19
TUDOR	zf-C3HC4	3
TUDOR	zf-CCCH	3
TUDOR	zf-CCCH_4	2
TUDOR	zf-CCHC	2
TUDOR	zf-MYND	28
TUDOR	zf-RING_5	2
TUDOR	zf-RING_UBOX	7
zf-B_box	zf-C3HC4	1
zf-B_box	zf-RING_5	1
zf-B_box	zf-RING_UBOX	4
