i	j	weight
AAA	AAA_lid_10	48
AAA	AAA_lid_3	91
AAA	BAH	42
AAA	Bromodomain	98
AAA	Cdc6_C	18
AAA	PHD	27
AAA_34	Helicase_C_4	13
AAA_34	PHD	13
AAA_lid_10	BAH	38
AAA_lid_10	Cdc6_C	17
AAA_lid_10	PHD	25
AAA_lid_3	Bromodomain	91
ABC_tran	Chromo	39
ADD_ATRX	ADD_ATRX	19
ADD_ATRX	Helicase_C	28
ADD_ATRX	SNF2_N	30
ADD_DNMT3	DNA_methylase	38
ADD_DNMT3	PWWP	34
AHD	YEATS	37
AP2	PHD	7
ARID	JmjC	105
ARID	JmjN	101
ARID	PHD	112
ARID	PLU-1	77
ARID	PWWP	12
ARID	zf-C5HC2	83
ARID	zf-CW	17
ASXH	HARE-HTH	21
ASXH	PHD_3	29
AWS	BAH	24
AWS	Bromodomain	21
AWS	C5HCH	37
AWS	HMG_box	11
AWS	PHD	21
AWS	PWWP	59
AWS	SET	111
AWS	zf-CW	20
Acetyltransf_1	Bromodomain	175
Acetyltransf_1	PCAF_N	45
Acetyltransf_1	PHD	7
Agenet	BAH	12
Agenet	Chromo	6
Agenet	Jas	13
Agenet	PHD	19
AlbA_2	TUDOR	13
Alfin	PHD	81
Amino_oxidase	SWIRM	14
Amino_oxidase	zf-CW	19
Ank	Ank_2	6
Ank_2	Ank_3	6
Ank_2	Ank_4	8
Ank_2	BTB	6
Ank_2	Bromodomain	31
Ank_2	Chromo	35
Ank_4	Bromodomain	7
Ank_5	Chromo	7
Arm	TUDOR	9
Asp_protease_2	Chromo	29
Asp_protease_2	Integrase_H2C2	27
Asp_protease_2	RT_RNaseH	26
Asp_protease_2	RVT_1	28
Asp_protease_2	rve	26
Asp_protease_2	zf-CCHC	8
Atrophin-1	BAH	10
Atrophin-1	ELM2	10
Atrophin-1	GATA	9
B3	zf-CW	30
BAH	BAH	172
BAH	Bromodomain	96
BAH	Cdc6_C	14
BAH	Chromo	32
BAH	DMAP_binding	9
BAH	DNA_methylase	102
BAH	DNMT1-RFD	60
BAH	ELM2	75
BAH	GATA	39
BAH	HMG_box	45
BAH	MTA_R1	40
BAH	Med26	16
BAH	Myb_DNA-binding	28
BAH	PHD	116
BAH	PHD_2	10
BAH	SET	28
BAH	TFIIS_M	21
BAH	zf-C2H2	11
BAH	zf-CXXC	32
BAH	zf-HC5HC2H_2	20
BET	BRD4_CDT	39
BET	Bromodomain	341
BET	YEATS	6
BIR	BIR	221
BIR	BIRC6	24
BIR	UQ_con	24
BIR	zf-C3HC4_3	119
BIRC6	UQ_con	22
BRCT	PHD	10
BRCT	PTCB-BRCT	8
BRD4_CDT	Bromodomain	41
BRK	Bromodomain	41
BRK	Chromo	35
BRK	HSA	39
BRK	Helicase_C	75
BRK	PHD	25
BRK	QLQ	34
BRK	SNF2_N	76
BRK	SPOC	20
BRK	SnAC	41
BRK	TFIIS_M	22
BTB	Bromodomain	7
Bromo_TP	Bromodomain	18
Bromo_TP	PHD	29
Bromodomain	Bromodomain	1173
Bromodomain	COBRA1	6
Bromodomain	Chromo	22
Bromodomain	Creb_binding	36
Bromodomain	DDT	102
Bromodomain	DNMT1-RFD	12
Bromodomain	DUF3512	51
Bromodomain	DUF3591	118
Bromodomain	DUF902	81
Bromodomain	ENT	17
Bromodomain	EPL1	77
Bromodomain	FYRC	11
Bromodomain	FYRN	17
Bromodomain	GATA	9
Bromodomain	HAT_KAT11	117
Bromodomain	HMG_box	47
Bromodomain	HSA	94
Bromodomain	Helicase_C	153
Bromodomain	KIX	62
Bromodomain	KIX_2	8
Bromodomain	MBD	50
Bromodomain	Myb_DNA-binding	15
Bromodomain	PCAF_N	45
Bromodomain	PHD	262
Bromodomain	PHD_2	81
Bromodomain	PWWP	119
Bromodomain	QLQ	66
Bromodomain	SET	46
Bromodomain	SNF2_N	155
Bromodomain	SnAC	107
Bromodomain	TBP-binding	53
Bromodomain	WAC_Acf1_DNA_bd	37
Bromodomain	WD40	109
Bromodomain	WHIM1	78
Bromodomain	WSD	117
Bromodomain	ZZ	95
Bromodomain	ubiquitin	14
Bromodomain	zf-B_box	31
Bromodomain	zf-CCHC_6	63
Bromodomain	zf-HC5HC2H	15
Bromodomain	zf-HC5HC2H_2	88
Bromodomain	zf-RING_UBOX	8
Bromodomain	zf-TAZ	100
C5HCH	HMG_box	8
C5HCH	PHD	6
C5HCH	PWWP	37
C5HCH	SET	37
CBX7_C	Chromo	59
CDH1_2_SANT_HL1	Chromo	37
