i	j	weight
ARID	Amino_oxidase	7
ARID	SWIRM	7
Amino_oxidase	Amino_oxidase	2
Amino_oxidase	DEK_C	1
Amino_oxidase	FAD_oxidored	1
Amino_oxidase	GDI	1
Amino_oxidase	HMG_box	3
Amino_oxidase	NAD_binding_8	1
Amino_oxidase	Rubrerythrin	1
Amino_oxidase	SRI	5
Amino_oxidase	SWIRM	138
Amino_oxidase	THAP	1
Amino_oxidase	zf-CW	10
DEK_C	SWIRM	1
FAD_oxidored	SWIRM	1
FYVE	Myb_DNA-binding	2
FYVE	Myotub-related	2
GDI	SWIRM	1
HMG_box	SWIRM	3
JAB	Myb_DNA-binding	29
JAB	SWIRM	40
MFS_1	Myb_DNA-binding	1
MFS_1	SWIRM	1
MFS_1	SWIRM-assoc_1	1
Myb_DNA-bind_6	SWIRM	1
Myb_DNA-binding	Myb_DNA-binding	12
Myb_DNA-binding	Myotub-related	2
Myb_DNA-binding	Prok-JAB	1
Myb_DNA-binding	SWIRM	270
Myb_DNA-binding	SWIRM-assoc_1	163
Myb_DNA-binding	SWIRM-assoc_2	86
Myb_DNA-binding	SWIRM-assoc_3	38
Myb_DNA-binding	ZZ	104
NAD_binding_8	SWIRM	1
POLO_box	SWIRM	1
POLO_box	SWIRM-assoc_1	1
Prok-JAB	SWIRM	2
RT_RNaseH_2	RVT_1	1
Rubrerythrin	SWIRM	1
SAP30_Sin3_bdg	SWIRM	2
SNF5	SNF5	2
SRI	SWIRM	5
SWIRM	SWIRM	88
SWIRM	SWIRM-assoc_1	173
SWIRM	SWIRM-assoc_2	96
SWIRM	SWIRM-assoc_3	38
SWIRM	THAP	1
SWIRM	ZZ	68
SWIRM	zf-CW	11
SWIRM-assoc_1	SWIRM-assoc_2	74
SWIRM-assoc_1	SWIRM-assoc_3	38
SWIRM-assoc_1	ZZ	42
SWIRM-assoc_2	SWIRM-assoc_2	1
SWIRM-assoc_2	SWIRM-assoc_3	35
SWIRM-assoc_2	ZZ	14
