i	j	weight
Bromodomain	Creb_binding	36
Bromodomain	DUF902	76
Bromodomain	HAT_KAT11	117
Bromodomain	KIX	60
Bromodomain	KIX_2	8
Bromodomain	PHD	10
Bromodomain	Pkinase_Tyr	2
Bromodomain	ZZ	88
Bromodomain	zf-TAZ	98
Bromodomain	zf-rbx1	1
Creb_binding	DUF902	36
Creb_binding	HAT_KAT11	37
Creb_binding	KIX	31
Creb_binding	Pkinase_Tyr	2
Creb_binding	ZZ	35
Creb_binding	zf-TAZ	36
DUF902	HAT_KAT11	77
DUF902	KIX	58
DUF902	KIX_2	2
DUF902	Pkinase_Tyr	2
DUF902	ZZ	66
DUF902	zf-TAZ	73
DUF902	zf-rbx1	1
HAT_KAT11	HAT_KAT11	46
HAT_KAT11	KIX	60
HAT_KAT11	KIX_2	8
HAT_KAT11	NDUF_B7	1
HAT_KAT11	PHD	37
HAT_KAT11	Pkinase_Tyr	2
HAT_KAT11	ZZ	132
HAT_KAT11	zf-TAZ	157
HAT_KAT11	zf-rbx1	1
KIX	ZZ	52
KIX	zf-TAZ	59
KIX	zf-rbx1	1
KIX_2	PHD	2
KIX_2	ZZ	7
KIX_2	zf-TAZ	8
NDUF_B7	PHD	1
NDUF_B7	ZZ	1
NDUF_B7	zf-TAZ	1
PHD	ZZ	28
PHD	zf-TAZ	33
Pkinase_Tyr	ZZ	2
Pkinase_Tyr	zf-TAZ	2
ZZ	zf-TAZ	126
ZZ	zf-rbx1	1
zf-TAZ	zf-TAZ	1
zf-TAZ	zf-rbx1	1
