Accession,NumberOfAminoAcids,Coverage,PsmCount,PeptideGroupCount
Tpse_XP_002293832,135,38.5185185185185,14,6
Tpse_XP_002296166|Histone_H2A,124,46.7741935483871,175,15
Tpse_XP_002289999,506,2.17391304347826,1,1
Tpse_XP_002297509,642,2.9595015576324,4,2
CON_007031101,245,5.71428571428571,1,1
Tpse_XP_002291845,285,2.45614035087719,3,1
Tpse_XP_002294746,1638,3.41880341880342,2,1
Tpse_XP_002290060,304,5.59210526315789,4,2
Tpse_XP_002290899,1421,8.09289232934553,36,10
Tpse_XP_002287599,113,25.6637168141593,8,3
Tpse_XP_002290050,75,10.6666666666667,1,1
Tpse_XP_002293492,1087,1.47194112235511,1,1
Tpse_XP_002288685,247,8.50202429149797,3,2
Tpse_XP_002291602,379,3.69393139841689,4,1
Tpse_XP_002292294,465,7.95698924731183,5,2
Tpse_XP_002289204,379,10.5540897097625,6,3
CON_007154051,145,7.58620689655172,2,1
Tpse_XP_002293732,136,13.9705882352941,11,2
Tpse_XP_002293786,493,1.62271805273834,4,1
Tpse_XP_002290991,112,8.03571428571429,1,1
CON_007085262,650,1.69230769230769,2,1
Tpse_XP_002293854,208,7.69230769230769,1,1
Tpse_XP_002287575,147,12.2448979591837,5,2
CON_007060022,339,9.14454277286136,6,3
Tpse_XP_002294848,410,12.6829268292683,13,5
Tpse_XP_002288348,119,33.6134453781513,24,5
CON_IPI008745851,469,3.41151385927505,13,2
Tpse_XP_002294648,743,3.23014804845222,4,2
Tpse_XP_002297523,169,21.8934911242604,17,3
CON_007071011,359,5.84958217270195,4,1
CON_009069521,902,1.33037694013304,1,1
Tpse_XP_002294384,664,1.6566265060241,2,1
Tpse_XP_002295809,670,2.08955223880597,4,1
Tpse_XP_002296592,81,49.3827160493827,10,5
Tpse_XP_002290143,153,23.5294117647059,31,4
Tpse_XP_002289814,183,15.8469945355191,10,3
Tpse_XP_002289691,459,6.31808278867102,7,3
CON_6685565,467,1.49892933618844,4,1
CON_007083981,607,11.0378912685338,22,8
Tpse_XP_002291014,513,2.14424951267056,1,1
Tpse_XP_002290907,918,2.39651416122004,5,2
Tpse_XP_002294139,130,9.23076923076923,12,1
CON_007139284,201,5.4726368159204,2,1
CON_18266793,471,1.48619957537155,4,1
Tpse_XP_002293880,116,10.3448275862069,2,1
Tpse_XP_002295213,560,2.67857142857143,7,2
Tpse_XP_002292958,259,4.24710424710425,11,1
CON_IPI007458722,609,4.76190476190476,8,4
Tpse_XP_002290137,257,16.7315175097276,10,4
Tpse_XP_002288033,204,7.84313725490196,7,1
CON_006222404,707,1.98019801980198,12,1
CON_008248471,617,3.40356564019449,10,2
CON_009125541,566,10.7773851590106,26,6
Tpse_XP_002293679,176,14.2045454545455,7,3
Tpse_XP_002297133,400,5.25,3,2
Tpse_XP_002287251,252,3.17460317460317,7,1
CON_004689564,524,2.29007633587786,2,1
Tpse_XP_002287078,187,12.8342245989305,15,2
Tpse_XP_002290829,155,16.7741935483871,6,2
Tpse_XP_002296383,1086,0.552486187845304,1,1
Tpse_XP_002287498,811,1.60295930949445,6,1
Tpse_XP_002291131,163,17.7914110429448,1,1
CON_007164551,145,7.58620689655172,2,1
Tpse_XP_002289642,198,10.1010101010101,33,5
Tpse_XP_002296170|Histone_H4,103,69.9029126213592,302,16
Tpse_XP_002288991,134,11.1940298507463,10,2
Tpse_XP_002290367,476,1.47058823529412,3,1
CON_003471102,539,2.22634508348794,2,1
Tpse_XP_002292386,499,2.20440881763527,1,1
CON_008405442,784,1.91326530612245,4,1
CON_109456,416,3.84615384615385,5,2
CON_000098666,458,4.58515283842795,9,3
Tpse_XP_002292507,221,4.97737556561086,3,1
CON_000098652,593,23.6087689713322,99,16
Tpse_XP_002292097,265,6.41509433962264,6,1
Tpse_XP_002289546,172,8.72093023255814,6,1
Tpse_XP_002293369,183,4.37158469945355,9,1
Tpse_XP_002297311,145,5.51724137931035,7,1
Tpse_XP_002297333,472,2.54237288135593,3,1
Tpse_XP_002296703,521,1.72744721689059,1,1
Tpse_XP_002293306,182,7.69230769230769,4,1
Tpse_XP_002287227,127,18.1102362204724,2,1
Tpse_XP_002289138,367,7.35694822888283,12,2
Tpse_XP_002291956,176,4.54545454545455,6,1
CON_IPI000045505,525,3.42857142857143,11,2
