Accession,NumberOfAminoAcids,Coverage,PsmCount,PeptideGroupCount
CON_Q5XKE5,535,1.30841121495327,3,1
Fabtro_Gene.25136,251,3.98406374501992,9,1
Fabtro_Gene.402,152,20.3947368421053,16,3
Fabtro_Gene.682,294,2.38095238095238,4,1
Fabtro_Gene.1213,156,16.6666666666667,21,3
Fabtro_Gene.665,124,33.8709677419355,41,7
CON_P08729,469,4.47761194029851,15,3
Fabtro_Gene.49243,186,3.76344086021505,3,1
Fabtro_Gene.17755,102,48.0392156862745,17,6
Fabtro_Gene.4561,137,13.1386861313869,8,2
Fabtro_Gene.24069,105,7.61904761904762,9,1
Fabtro_Gene.734,508,51.7716535433071,309,47
CON_P02769,607,14.662273476112,43,10
Fabtro_Gene.370,177,5.08474576271187,5,1
Fabtro_Gene.17314,419,7.63723150357995,3,2
CON_P02768,609,3.61247947454844,9,2
Fabtro_Gene.430,159,13.8364779874214,10,4
Fabtro_Gene.7282,126,12.6984126984127,36,3
Fabtro_Gene.319,217,11.5207373271889,3,2
Fabtro_Gene.47879,141,4.9645390070922,1,1
Fabtro_Gene.28202,110,7.27272727272727,27,1
Fabtro_Gene.5795,206,5.33980582524272,2,1
Fabtro_Gene.1327,696,1.29310344827586,4,1
Fabtro_Gene.345,138,22.463768115942,15,5
Fabtro_Gene.349,181,33.7016574585635,48,8
Fabtro_Gene.697,122,20.4918032786885,29,2
Fabtro_Gene.5255|Histone_H2B,119,52.1008403361345,74,10
CON_P00761,231,19.047619047619,38,4
Fabtro_Gene.22621,204,3.92156862745098,7,1
Fabtro_Gene.109,392,10.7142857142857,22,4
CON_P04259,564,2.30496453900709,8,2
CON_P02538,564,2.30496453900709,8,2
CON_Q01546,638,2.03761755485893,8,2
Fabtro_Gene.875,356,2.80898876404494,2,1
Fabtro_Gene.587,200,7.0,8,2
Fabtro_Gene.731,152,15.7894736842105,22,5
Fabtro_Gene.441,263,31.9391634980989,44,12
Fabtro_Gene.6610,102,43.1372549019608,27,3
Fabtro_Gene.494,119,26.0504201680672,33,5
CON_O95678,551,3.99274047186933,10,3
Fabtro_Gene.12311,482,2.9045643153527,4,2
Fabtro_Gene.9919,454,3.52422907488987,7,2
CON_Q14533,505,1.38613861386139,3,1
Fabtro_Gene.5797,114,8.7719298245614,2,1
CON_P50446,553,2.35081374321881,8,2
Fabtro_Gene.544,260,16.1538461538462,22,6
Fabtro_Gene.14716,105,16.1904761904762,7,2
Fabtro_Gene.27839,218,5.04587155963303,7,1
Fabtro_Gene.635,388,16.4948453608247,34,8
CON_P78386,507,1.38067061143984,3,1
Fabtro_Gene.454,188,20.2127659574468,23,4
Fabtro_Gene.439,210,64.2857142857143,121,21
Fabtro_Gene.9564,121,26.4462809917355,16,4
Fabtro_Gene.415,240,9.58333333333333,22,5
CON_Q5XQN5,601,3.66056572379368,10,3
Fabtro_Gene.22874,294,9.52380952380952,10,3
CON_P48668,564,2.30496453900709,8,2
CON_P07744,525,1.33333333333333,3,1
Fabtro_Gene.421,227,22.0264317180617,15,7
Fabtro_Gene.4642,101,17.8217821782178,5,3
Fabtro_Gene.193,133,27.8195488721804,17,5
Fabtro_Gene.209,165,23.030303030303,28,3
Fabtro_Gene.185,154,7.14285714285714,17,2
Fabtro_Gene.1127|Histone_H3,160,40.0,296,16
CON_Q9NSB2,600,2.5,10,2
Fabtro_Gene.5211,516,2.71317829457364,4,1
Fabtro_Gene.48823,213,7.51173708920188,8,2
Fabtro_Gene.35396,104,24.0384615384615,3,3
Fabtro_Gene.57311,132,4.54545454545455,13,1
CON_P12035,628,2.07006369426752,8,2
CON_P05784,423,9.21985815602837,12,5
Fabtro_Gene.1771,275,12.3636363636364,5,3
Fabtro_Gene.43306,145,20.0,5,2
CON_O43790,486,1.440329218107,3,1
Fabtro_Gene.355,104,38.4615384615385,41,7
Fabtro_Gene.41284,113,8.84955752212389,2,2
Fabtro_Gene.6934,162,4.93827160493827,7,2
Fabtro_Gene.5228,156,26.2820512820513,21,6
Fabtro_Gene.2029,791,1.64348925410872,4,1
Fabtro_Gene.360,150,36.6666666666667,63,12
Fabtro_Gene.3053,210,3.33333333333333,4,1
Fabtro_Gene.7279,280,16.4285714285714,28,5
CON_Q9DCV7,457,6.12691466083151,16,4
Fabtro_Gene.631,136,33.8235294117647,41,13
Fabtro_Gene.7382,182,9.34065934065934,22,2
Fabtro_Gene.411,243,15.2263374485597,42,8
Fabtro_Gene.3972,108,5.55555555555556,17,1
Fabtro_Gene.5729,118,31.3559322033898,35,7
Fabtro_Gene.1249,1443,0.900900900900901,4,1
Fabtro_Gene.230,210,15.7142857142857,17,5
Fabtro_Gene.4562,134,18.6567164179104,6,3
Fabtro_Gene.3905|Histone_H4,103,60.1941747572816,179,14
Fabtro_Gene.29040,118,11.0169491525424,18,2
Fabtro_Gene.10768,376,6.91489361702128,4,3
