Accession,NumberOfAminoAcids,Coverage,PsmCount,PeptideGroupCount
Spun_SPPG_04517,351,2.27920227920228,2,1
Spun_SPPG_04708,223,20.1793721973094,17,4
Spun_SPPG_06688,365,18.0821917808219,19,5
Spun_SPPG_02962,110,47.2727272727273,11,3
Spun_SPPG_02830,174,23.5632183908046,7,4
Spun_SPPG_05168,302,10.5960264900662,16,3
Spun_SPPG_08577|Histone_H3,136,58.0882352941177,242,15
Spun_SPPG_05546,389,15.1670951156812,22,5
Spun_SPPG_03875,127,51.1811023622047,25,6
CON_007031101,245,2.85714285714286,4,1
Spun_SPPG_03318,117,14.5299145299145,11,2
Spun_SPPG_03282,331,16.3141993957704,3,3
Spun_SPPG_01681,805,2.2360248447205,3,2
Spun_SPPG_07999,379,5.0131926121372,2,2
Spun_SPPG_08315,295,4.06779661016949,5,1
Spun_SPPG_06309,940,8.19148936170213,27,8
Spun_SPPG_02332,167,30.5389221556886,8,5
Spun_SPPG_06149,322,4.34782608695652,1,1
Spun_SPPG_01582,174,66.0919540229885,31,8
Spun_SPPG_02634,292,7.19178082191781,5,2
Spun_SPPG_06382,310,16.7741935483871,17,6
Spun_SPPG_00360,122,7.37704918032787,4,1
Spun_SPPG_01630,196,15.3061224489796,1,1
Spun_SPPG_03383,483,4.96894409937888,6,3
Spun_SPPG_06750,218,10.0917431192661,9,2
Spun_SPPG_08186,198,7.57575757575758,12,2
Spun_SPPG_02410,784,7.52551020408163,32,6
Spun_SPPG_05532,179,6.14525139664804,3,1
Spun_SPPG_01910,425,4.70588235294118,5,2
Spun_SPPG_02373,403,1.73697270471464,1,1
Spun_SPPG_01873,658,14.4376899696049,21,8
Spun_SPPG_00665,823,5.10328068043742,10,4
Spun_SPPG_05136,427,4.91803278688525,2,1
Spun_SPPG_08086,299,22.4080267558528,26,7
Spun_SPPG_08701,564,4.60992907801418,6,2
Spun_SPPG_07959,357,3.64145658263305,2,1
Spun_SPPG_01097,481,4.15800415800416,5,2
Spun_SPPG_01191,109,21.1009174311927,2,2
Spun_SPPG_02445,1156,3.46020761245675,9,4
Spun_SPPG_04160,217,25.3456221198157,26,11
Spun_SPPG_00791,233,3.86266094420601,2,1
Spun_SPPG_07736,1207,7.62220381110191,16,12
Spun_SPPG_01212,294,4.42176870748299,2,2
Spun_SPPG_03630,300,5.66666666666667,5,2
Spun_SPPG_03508,173,26.5895953757225,9,4
Spun_SPPG_05148,930,0.645161290322581,5,1
Spun_SPPG_03715,1121,2.05173951828724,7,2
Spun_SPPG_08130,495,8.48484848484849,18,4
Spun_SPPG_00701,124,12.9032258064516,2,2
Spun_SPPG_05212,827,2.41837968561064,7,2
Spun_SPPG_01848,408,3.92156862745098,10,2
Spun_SPPG_01921,536,29.1044776119403,123,17
Spun_SPPG_03486,255,34.9019607843137,65,11
Spun_SPPG_04415,357,13.4453781512605,7,5
Spun_SPPG_01926,311,5.78778135048232,6,2
Spun_SPPG_07567,248,14.5161290322581,7,4
Spun_SPPG_08336,312,5.12820512820513,5,2
Spun_SPPG_04667,469,5.11727078891258,8,2
Spun_SPPG_00643,527,2.27703984819734,1,1
Spun_SPPG_03674,331,14.8036253776435,6,4
Spun_SPPG_00041,383,3.91644908616188,1,1
Spun_SPPG_08476,672,5.95238095238095,10,3
Spun_SPPG_07830,1122,0.89126559714795,4,1
Spun_SPPG_07037,367,6.53950953678474,3,2
Spun_SPPG_00898,296,7.43243243243243,2,2
CON_007085262,650,4.46153846153846,14,3
Spun_SPPG_00751,668,9.4311377245509,15,4
Spun_SPPG_08642,822,27.6155717761557,79,18
Spun_SPPG_01645,1107,2.3486901535682,5,3
Spun_SPPG_00092,403,8.43672456575682,8,3
Spun_SPPG_02481,616,2.92207792207792,4,2
Spun_SPPG_08777,954,7.12788259958071,27,8
Spun_SPPG_08045,227,8.81057268722467,9,2
Spun_SPPG_05432,548,14.2335766423358,18,7
Spun_SPPG_02958,381,2.0997375328084,2,1
Spun_SPPG_01840,282,9.57446808510638,3,2
Spun_SPPG_04542,205,16.5853658536585,9,3
Spun_SPPG_08702,277,31.4079422382672,45,12
Spun_SPPG_01407,1616,1.79455445544554,5,3
Spun_SPPG_02323,188,25.0,12,4
Spun_SPPG_08370,169,9.46745562130178,3,1
Spun_SPPG_05865,612,5.22875816993464,7,3
Spun_SPPG_04490,164,0.0,11,0
Spun_SPPG_00537,473,28.5412262156448,36,12
Spun_SPPG_07765,1078,0.742115027829314,3,1
Spun_SPPG_07673,420,5.71428571428571,3,1
Spun_SPPG_03541,457,3.50109409190372,3,1
Spun_SPPG_01937,132,4.54545454545455,3,1
Spun_SPPG_06317,464,4.52586206896552,6,2
Spun_SPPG_04198,166,6.62650602409639,2,2
Spun_SPPG_01637,197,9.13705583756345,4,2
Spun_SPPG_06730,1151,0.608166811468288,6,1
Spun_SPPG_00907,925,0.864864864864865,2,1
Spun_SPPG_04610,425,27.7647058823529,32,12
Spun_SPPG_04065,787,2.92249047013977,9,3
Spun_SPPG_08013,647,1.23647604327666,3,1
Spun_SPPG_04812,234,20.9401709401709,9,5
Spun_SPPG_06293,332,5.42168674698795,4,1
Spun_SPPG_00431,174,35.0574712643678,36,6
Spun_SPPG_00472,950,0.736842105263158,12,2
Spun_SPPG_00075,2573,0.505246793626117,5,2
Spun_SPPG_01610,721,4.02219140083218,14,2
Spun_SPPG_05200,601,1.83028286189684,3,1
Spun_SPPG_05800,168,20.8333333333333,8,3
Spun_SPPG_01790,272,8.45588235294118,10,3
Spun_SPPG_02006,193,9.84455958549223,4,2
Spun_SPPG_06850,793,1.13493064312736,4,1
Spun_SPPG_01732,2260,3.36283185840708,16,7
Spun_SPPG_07981,1448,2.14088397790055,5,2
Spun_SPPG_03549,482,14.1078838174274,11,4
Spun_SPPG_07921,103,99.0291262135922,41,7
Spun_SPPG_08407,465,15.6989247311828,45,12
Spun_SPPG_06004,389,9.25449871465296,8,3
Spun_SPPG_08746,178,3.37078651685393,1,1
Spun_SPPG_02377,795,0.880503144654088,4,1
Spun_SPPG_08435,312,29.8076923076923,41,8
Spun_SPPG_00690,192,3.64583333333333,1,1
Spun_SPPG_08404,325,2.15384615384615,2,1
Spun_SPPG_06207,997,1.80541624874624,3,2
Spun_SPPG_03127,503,1.19284294234592,2,1
Spun_SPPG_08077,726,6.06060606060606,9,4
Spun_SPPG_07518,478,2.71966527196653,6,1
Spun_SPPG_05615,661,18.4568835098336,23,8
Spun_SPPG_04269,407,2.45700245700246,3,1
Spun_SPPG_08346,201,15.4228855721393,5,3
Spun_SPPG_03947,770,1.2987012987013,4,1
Spun_SPPG_07245,1496,0.467914438502674,4,1
Spun_SPPG_00265,86,17.4418604651163,7,2
Spun_SPPG_00525,264,3.03030303030303,1,1
Spun_SPPG_08595,267,40.0749063670412,29,6
Spun_SPPG_00628,1312,0.685975609756098,1,1
Spun_SPPG_06166,422,2.60663507109005,1,1
Spun_SPPG_01394,68,83.8235294117647,69,8
Spun_SPPG_06329,1042,14.7792706333973,45,13
Spun_SPPG_07224,2306,0.563746747614918,2,2
Spun_SPPG_07920,898,11.2472160356347,33,12
Spun_SPPG_04176,188,20.7446808510638,15,3
Spun_SPPG_03809,398,11.8090452261307,4,3
Spun_SPPG_08073,200,43.5,87,16
CON_007083981,607,7.90774299835255,19,6
Spun_SPPG_05685,473,4.43974630021142,7,2
Spun_SPPG_06582,282,7.4468085106383,6,2
Spun_SPPG_01774,1013,13.4254689042448,33,12
Spun_SPPG_02278,509,4.51866404715128,4,2
Spun_SPPG_05082,524,1.7175572519084,1,1
Spun_SPPG_00076,111,12.6126126126126,10,2
Spun_SPPG_01601,708,5.08474576271187,18,3
Spun_SPPG_07106,618,2.75080906148867,6,2
Spun_SPPG_00491,282,4.9645390070922,3,2
Spun_SPPG_02999,179,11.731843575419,16,3
Spun_SPPG_00469,1387,8.29127613554434,33,10
Spun_SPPG_00971,980,15.8163265306122,46,15
Spun_SPPG_01617,1540,4.54545454545455,7,4
Spun_SPPG_04327,188,10.1063829787234,16,4
Spun_SPPG_05724,449,4.00890868596882,6,1
Spun_SPPG_00367,158,7.59493670886076,4,2
Spun_SPPG_02080,540,1.66666666666667,1,1
Spun_SPPG_04770,449,2.00445434298441,2,1
Spun_SPPG_06977,803,6.72478206724782,11,4
Spun_SPPG_03121,481,5.40540540540541,5,2
Spun_SPPG_07103,155,10.3225806451613,4,2
Spun_SPPG_08036,745,5.50335570469799,8,4
CON_IPI007458722,609,25.2873563218391,53,18
Spun_SPPG_01061,184,16.8478260869565,10,3
Spun_SPPG_05879,121,9.09090909090909,2,1
Spun_SPPG_05103,757,5.41611624834874,9,4
Spun_SPPG_03234,122,40.1639344262295,19,5
Spun_SPPG_03413,272,7.72058823529412,3,3
Spun_SPPG_02139,637,3.13971742543171,1,1
Spun_SPPG_01536,430,3.95348837209302,5,2
Spun_SPPG_05059,393,5.85241730279898,1,1
Spun_SPPG_06994,93,26.8817204301075,14,4
Spun_SPPG_06100,375,3.73333333333333,2,1
Spun_SPPG_04778,461,2.81995661605206,8,1
Spun_SPPG_08271,232,43.5344827586207,29,8
Spun_SPPG_07423,416,6.73076923076923,6,3
Spun_SPPG_03685,307,5.86319218241042,4,2
Spun_SPPG_01103,330,9.09090909090909,19,3
Spun_SPPG_03143,1502,0.0,62,0
Spun_SPPG_04697,162,24.6913580246914,9,3
Spun_SPPG_06386,147,64.6258503401361,112,22
Spun_SPPG_03024,636,3.14465408805031,4,2
Spun_SPPG_03819,545,1.46788990825688,1,1
Spun_SPPG_01225,1095,0.821917808219178,1,1
Spun_SPPG_00570,260,5.76923076923077,8,2
Spun_SPPG_00328,921,6.29750271444083,9,6
Spun_SPPG_06755,761,1.70827858081472,4,2
Spun_SPPG_04775,525,7.04761904761905,7,2
Spun_SPPG_06155,1359,2.28108903605592,9,2
Spun_SPPG_01168,743,3.23014804845222,8,2
Spun_SPPG_08088,876,4.79452054794521,4,3
