Accession,NumberOfAminoAcids,Coverage,PsmCount,PeptideGroupCount
Acas_g7607,189,43.3862433862434,48,10
Acas_g2979,795,1.0062893081761,6,1
Acas_g8057,526,11.4068441064639,21,6
Acas_g8640,109,14.6788990825688,8,2
Acas_g2706,316,4.11392405063291,1,1
Acas_g7202,150,33.3333333333333,19,5
Acas_g5942,400,4.25,4,1
Acas_g15394|Histone_H2A,159,55.3459119496855,160,16
Acas_g1802,706,1.55807365439093,1,1
Acas_g17918,95,14.7368421052632,7,2
Acas_g16113,121,9.09090909090909,3,1
Acas_g11904,801,3.4956304619226,8,3
Acas_g3361,336,7.73809523809524,5,3
Acas_g5544,140,9.28571428571429,1,1
Acas_g4537,621,2.57648953301127,1,1
Acas_g4876,716,2.23463687150838,2,2
Acas_g7779,89,15.7303370786517,6,1
Acas_g1357,646,8.6687306501548,19,7
Acas_g4482,412,7.52427184466019,14,4
Acas_g14507,205,4.8780487804878,9,1
Acas_g12976,206,13.5922330097087,1,1
Acas_g9448,372,2.1505376344086,1,1
Acas_g77,150,32.6666666666667,21,6
Acas_g11911,157,3.82165605095541,1,1
Acas_g6420,516,4.26356589147287,7,3
Acas_g376,1252,1.2779552715655,3,2
Acas_g4393,575,1.04347826086957,3,1
Acas_g9853,950,4.42105263157895,7,5
Acas_g6011,546,4.21245421245421,10,3
Acas_g8159,670,1.04477611940299,2,1
Acas_g167,403,5.95533498759305,9,2
Acas_g678,1219,0.492206726825267,1,1
Acas_g8206,648,2.16049382716049,1,1
CON_007082441,1364,2.71260997067449,7,3
Acas_g1512,678,1.17994100294985,1,1
Acas_g6280,154,5.19480519480519,8,1
Acas_g1598,1371,0.729394602479942,1,1
Acas_g14555,207,8.21256038647343,2,2
Acas_g9015,1832,1.47379912663755,10,3
CON_007071011,359,5.84958217270195,1,1
Acas_g6490,250,46.0,28,8
Acas_g5322,134,32.089552238806,15,4
Acas_g1154,1030,6.50485436893204,10,5
Acas_g1694,124,55.6451612903226,86,9
Acas_g2560,1156,0.69204152249135,3,1
Acas_g3151,631,11.5689381933439,9,5
Acas_g1710,274,17.8832116788321,11,4
Acas_g1669,165,43.030303030303,15,6
Acas_g13962,207,46.3768115942029,25,9
Acas_g1526,383,8.09399477806789,5,3
Acas_g7668,305,14.0983606557377,6,3
Acas_g3676,587,6.13287904599659,6,3
Acas_g5144,1174,1.61839863713799,1,1
Acas_g1170,1459,2.3989033584647,12,4
Acas_g7634,781,2.68886043533931,5,3
Acas_g3765,183,13.1147540983607,12,3
Acas_g7323,1485,1.88552188552189,19,3
Acas_g6824,333,21.6216216216216,15,9
Acas_g8747,284,15.8450704225352,10,3
Acas_g5528,231,19.047619047619,6,5
Acas_g11079,554,3.06859205776173,1,1
Acas_g7192,205,32.6829268292683,28,6
Acas_g10907,1096,3.64963503649635,8,4
Acas_g1392,468,5.55555555555556,12,3
Acas_g5371,585,5.47008547008547,6,5
Acas_g2863,189,29.6296296296296,10,4
Acas_g12905,142,13.3802816901408,12,2
Acas_g11205,169,4.73372781065089,4,1
CON_007083981,607,4.77759472817133,3,3
Acas_g5423,782,5.62659846547315,11,5
Acas_g18241,217,3.2258064516129,1,1
Acas_g5053,810,1.72839506172839,2,2
Acas_g6314,763,2.22804718217562,1,1
Acas_g4168,616,2.27272727272727,4,2
Acas_g3384,216,10.1851851851852,5,3
Acas_g2620,87,10.3448275862069,3,1
Acas_g3057,404,7.17821782178218,6,2
Acas_g8127,828,2.29468599033816,4,2
Acas_g4567,549,3.09653916211293,1,1
Acas_g18113,53,62.2641509433962,10,3
Acas_g11633,647,7.88253477588872,11,6
Acas_g2604,1310,4.19847328244275,22,9
Acas_g10030,120,15.0,2,2
Acas_g2970,326,7.36196319018405,7,2
Acas_g6737,371,10.2425876010782,9,3
Acas_g18281,192,32.8125,30,4
Acas_g2324,182,28.021978021978,32,6
Acas_g1979,683,2.48901903367496,4,2
Acas_g50,549,4.00728597449909,6,2
Acas_g5812,827,2.17654171704958,6,2
CON_IPI007458722,609,3.44827586206897,2,2
Acas_g16688,100,18.0,1,1
CON_008767811,237,2.53164556962025,3,1
Acas_g11698,2145,0.466200466200466,1,1
Acas_g636,326,7.97546012269939,4,2
Acas_g1402,947,0.950369588173178,4,1
Acas_g2578,358,2.79329608938547,5,1
Acas_g4872,979,1.94075587334014,4,2
Acas_g5649,149,71.1409395973154,67,15
Acas_g15026,181,28.7292817679558,14,6
Acas_g11235,297,7.74410774410774,5,2
Acas_g14941,424,11.0849056603774,5,4
Acas_g10031,296,4.39189189189189,3,1
Acas_g10970,780,4.23076923076923,10,4
Acas_g7482,260,6.53846153846154,9,3
Acas_g16338,68,98.5294117647059,76,7
Acas_g8445,1218,0.574712643678161,4,1
Acas_g1885,329,6.0790273556231,6,2
Acas_g8245,1132,0.706713780918728,1,1
Acas_g12760,653,1.68453292496172,3,1
Acas_g4825,94,63.8297872340426,46,9
Acas_g16497,81,29.6296296296296,12,3
Acas_g4906,1069,0.561272217025257,1,1
Acas_g129,831,9.38628158844765,16,8
Acas_g4993,160,17.5,6,3
Acas_g7761,526,2.28136882129278,1,1
Acas_g11296,242,26.0330578512397,13,5
Acas_g11358,319,8.77742946708464,8,3
Acas_g16123,145,11.0344827586207,1,1
Acas_g9436,1282,1.24804992199688,3,1
Acas_g12993,287,4.8780487804878,1,1
Acas_g2098,480,1.25,2,1
Acas_g18556,79,29.1139240506329,7,2
Acas_g13646,941,1.27523910733262,2,1
Acas_g12675,289,5.88235294117647,4,1
Acas_g185|Histone_H2B,307,34.2019543973941,56,12
Acas_g11792,674,4.89614243323442,16,5
Acas_g2073|Histone_H3,117,55.5555555555556,84,10
Acas_g9347,133,53.3834586466165,56,8
Acas_g5682,350,33.7142857142857,55,13
Acas_g5507,84,11.9047619047619,6,1
Acas_g614,393,5.34351145038168,5,2
Acas_g3840,514,1.16731517509728,1,1
Acas_g3848,338,2.36686390532544,2,1
Acas_g13457,286,9.79020979020979,10,3
Acas_g11447,961,1.24869927159209,2,1
Acas_g7639,485,5.15463917525773,6,3
Acas_g12615,450,3.77777777777778,1,1
Acas_g8688,341,2.05278592375367,6,1
Acas_g1502,151,37.7483443708609,31,6
Acas_g2348,437,7.09382151029748,6,3
Acas_g1226,335,17.3134328358209,10,5
Acas_g5258,1568,0.76530612244898,10,2
Acas_g1457,309,22.6537216828479,22,8
Acas_g11432,326,11.3496932515337,8,3
Acas_g8632,244,7.78688524590164,3,2
Acas_g2304,412,7.28155339805825,14,4
Acas_g12881,526,2.6615969581749,2,1
Acas_g7029,501,2.9940119760479,1,1
Acas_g14384,443,11.2866817155756,21,8
Acas_g16469,195,25.6410256410256,16,6
Acas_g11491,372,44.8924731182796,61,15
Acas_g8212,380,1.57894736842105,1,1
Acas_g15786,190,57.8947368421053,78,14
Acas_g12195,313,10.8626198083067,11,3
Acas_g8834,302,8.60927152317881,4,3
Acas_g11529,144,9.02777777777778,1,1
Acas_g5934,285,3.50877192982456,2,1
Acas_g4863,103,6.79611650485437,4,1
Acas_g8652,1606,1.86799501867995,6,4
Acas_g5023,373,0.0,20,0
Acas_g3281,466,3.00429184549356,1,1
Acas_g5123,1078,0.927643784786642,1,1
Acas_g9356,664,3.76506024096386,6,3
Acas_g2025,707,2.12164073550212,1,1
Acas_g10593,493,1.41987829614604,3,1
Acas_g10035,431,2.08816705336427,4,1
Acas_g10691,1199,1.08423686405338,4,2
Acas_g15773,165,51.5151515151515,30,6
Acas_g18154,237,5.06329113924051,3,1
Acas_g2182,402,2.98507462686567,1,1
Acas_g8021,82,21.9512195121951,7,2
Acas_g3419,449,2.00445434298441,4,1
Acas_g7902,259,11.1969111969112,9,3
Acas_g10398,463,1.72786177105832,2,1
Acas_g9033,401,3.74064837905237,1,1
CON_007264311,690,27.3913043478261,5,2
CON_006889482,152,7.89473684210526,3,1
Acas_g11248,691,4.19681620839363,7,3
Acas_g4040,184,4.34782608695652,3,1
Acas_g5065,146,23.972602739726,22,3
Acas_g4985,363,2.47933884297521,1,1
Acas_g10171,232,11.2068965517241,10,2
Acas_g3979,477,9.64360587002096,8,2
Acas_g2739,399,40.8521303258145,100,20
Acas_g11136,1085,1.29032258064516,5,2
Acas_g16134,102,29.4117647058824,13,3
Acas_g8937,337,5.34124629080119,6,2
Acas_g5267,326,17.4846625766871,7,4
Acas_g14439,607,59.3080724876441,8,4
Acas_g5941,492,1.82926829268293,2,1
Acas_g18082,67,52.2388059701493,15,5
Acas_g637,214,5.60747663551402,1,1
Acas_g16992,88,40.9090909090909,31,8
Acas_g1911,82,24.390243902439,9,2
Acas_g2589,358,3.35195530726257,1,1
Acas_g9846,1463,0.888585099111415,3,2
Acas_g5606,781,2.8169014084507,5,3
CON_Trypsin,231,25.1082251082251,29,4
Acas_g3555,561,7.84313725490196,10,5
Acas_g8255,375,19.4666666666667,17,8
Acas_g12590,716,3.35195530726257,4,2
Acas_g7502,145,22.0689655172414,24,5
Acas_g15971,104,36.5384615384615,20,4
Acas_g3198,930,1.93548387096774,4,2
Acas_g2333,290,25.1724137931034,24,6
Acas_g5577,814,1.71990171990172,1,1
Acas_g10041,523,2.29445506692161,1,1
Acas_g7336,405,2.71604938271605,1,1
Acas_g12179,132,6.06060606060606,2,1
Acas_g2966,160,34.375,27,7
Acas_g11007,248,9.2741935483871,6,2
Acas_g13229,190,69.4736842105263,131,20
Acas_g5153,791,22.1238938053097,58,15
Acas_g12073,130,21.5384615384615,4,2
Acas_g14516,271,2.2140221402214,4,1
Acas_g4032,331,3.92749244712991,2,1
Acas_g7455,583,1.37221269296741,17,1
Acas_g17787,77,9.09090909090909,2,1
Acas_g18731,75,17.3333333333333,5,1
Acas_g8090,696,3.73563218390805,5,3
Acas_g493,672,1.48809523809524,3,1
Acas_g10962,449,3.78619153674833,11,2
Acas_g1889,2486,1.20675784392599,8,3
Acas_g461,832,2.40384615384615,2,2
Acas_g5611,381,15.2230971128609,4,4
Acas_g11559,1128,0.531914893617021,3,1
Acas_g9501,177,7.90960451977401,3,2
Acas_g3507,127,69.2913385826772,54,9
Acas_g8186,2168,3.690036900369,15,8
Acas_g8306,594,1.01010101010101,1,1
Acas_g6304,437,1.60183066361556,2,1
Acas_g7704,333,50.7507507507508,91,24
Acas_g10615,694,2.16138328530259,2,1
Acas_g13176,1360,6.39705882352941,19,8
Acas_g2047|Histone_H3,100,12.0,12,2
Acas_g4539,274,5.47445255474453,3,2
Acas_g10325,1414,10.4667609618105,48,14
Acas_g230,599,1.5025041736227,1,1
Acas_g9142,566,1.23674911660777,1,1
Acas_g11155,248,4.03225806451613,2,1
Acas_g6245,800,1.0,1,1
Acas_g4967,623,8.6677367576244,11,4
Acas_g10122,420,4.28571428571429,4,2
Acas_g12882,454,17.1806167400881,11,6
Acas_g8167,900,1.33333333333333,2,1
Acas_g7198,630,2.22222222222222,1,1
