Accession,NumberOfAminoAcids,Coverage,PsmCount,PeptideGroupCount
Scil_65660,354,3.10734463276836,1,1
Scil_30652,699,1.00143061516452,14,1
Scil_74324,429,5.82750582750583,24,3
Scil_63316,443,6.77200902934537,7,3
Scil_17751,560,5.0,5,1
Scil_47282,644,9.93788819875776,34,6
Scil_44543,1174,3.57751277683135,11,3
CON_007031101,245,13.0612244897959,11,3
Scil_95039,251,23.1075697211155,11,5
Scil_62188,410,1.46341463414634,5,1
Scil_91249,279,2.8673835125448,11,1
Scil_60237,532,2.25563909774436,1,1
Scil_89568,138,78.2608695652174,35,16
Scil_33575,874,0.91533180778032,1,1
Scil_11705,1659,2.9535864978903,12,5
Scil_89524,247,7.69230769230769,7,3
Scil_39620,1014,1.18343195266272,2,1
Scil_78759,194,4.12371134020619,4,1
Scil_44559,764,0.916230366492147,1,1
Scil_33988,336,3.57142857142857,1,1
Scil_84492,192,8.85416666666667,5,2
Scil_47692,588,2.04081632653061,2,1
Scil_4552,2243,1.02541239411502,8,2
Scil_87744,223,41.2556053811659,95,13
Scil_69042,124,6.45161290322581,1,1
Scil_83840,366,5.46448087431694,22,2
Scil_77454,229,11.353711790393,9,3
CON_007144463,557,2.69299820466786,5,2
Scil_105882,162,62.3456790123457,125,8
Scil_90111,246,7.31707317073171,5,2
Scil_85830,444,13.2882882882883,26,7
Scil_82485,196,6.63265306122449,1,1
Scil_94070,248,34.6774193548387,60,10
Scil_48149,172,12.2093023255814,8,2
Scil_84644,450,9.33333333333333,7,4
Scil_80879,428,8.17757009345794,7,3
Scil_37065,838,5.96658711217184,7,3
Scil_82696,424,2.35849056603774,2,1
Scil_102374,164,4.26829268292683,2,1
Scil_32692,785,6.36942675159236,10,6
Scil_10084,1503,2.26214238190286,7,4
Scil_33775,584,4.45205479452055,6,3
Scil_90784,492,6.50406504065041,19,4
Scil_25805,1603,1.93387398627573,6,4
Scil_113420|Histone_H3,113,41.5929203539823,130,6
Scil_21763,1117,3.49149507609669,16,4
Scil_38123,347,2.30547550432277,2,1
Scil_8197,2442,13.2678132678133,53,29
Scil_70530,1376,2.8343023255814,5,4
CON_IPI007480572,99,10.1010101010101,3,1
Scil_83761,148,4.05405405405405,1,1
Scil_42936,674,11.4243323442136,9,5
Scil_91330,272,10.6617647058824,14,3
Scil_24604,1241,3.94842868654311,8,3
Scil_75009,555,1.08108108108108,10,1
Scil_78630,1002,1.89620758483034,3,2
Scil_21407,1020,0.686274509803922,1,1
Scil_103849,411,9.97566909975669,11,2
Scil_50188,284,2.46478873239437,1,1
Scil_62218,392,2.55102040816327,10,1
Scil_61484,219,3.65296803652968,2,1
Scil_35312,822,7.05596107055961,17,5
Scil_96019,388,2.31958762886598,10,1
Scil_88787,566,6.71378091872792,9,4
Scil_47783|Histone_H3,136,70.5882352941177,1194,23
Scil_105576,153,11.1111111111111,4,2
Scil_27225,1174,2.89608177172061,2,2
Scil_75403,377,2.6525198938992,2,1
Scil_30126,912,1.42543859649123,1,1
Scil_53466,551,2.17785843920145,1,1
Scil_80938,100,23.0,22,2
Scil_44271,934,0.856531049250535,1,1
Scil_69600,640,1.25,1,1
CON_007085262,650,5.38461538461539,21,3
Scil_87316,407,6.38820638820639,23,3
Scil_67957,500,1.4,5,1
Scil_3832,2319,0.344976282880552,2,1
Scil_63541,351,17.6638176638177,10,3
Scil_9159,1990,0.653266331658292,6,2
Scil_64824,421,7.60095011876485,5,3
Scil_22403,1124,1.33451957295374,1,1
Scil_103391,217,6.91244239631336,3,1
Scil_61285,386,9.58549222797927,7,3
Scil_6452,2155,0.278422273781903,1,1
Scil_113037,117,5.98290598290598,5,1
Scil_104205,143,4.1958041958042,5,1
Scil_98419,164,5.48780487804878,1,1
Scil_41721,432,1.85185185185185,8,1
Scil_1962,2656,1.88253012048193,9,4
CON_IPI008745851,469,3.41151385927505,6,2
Scil_109655,151,38.4105960264901,36,4
Scil_26607,983,1.32248219735504,1,1
Scil_63103,595,2.6890756302521,2,1
Scil_79785,451,3.10421286031042,1,1
Scil_67933,273,8.05860805860806,13,3
Scil_30377,994,1.00603621730382,2,1
Scil_20318,1014,2.76134122287968,10,3
Scil_86162,285,8.7719298245614,24,3
Scil_56433,331,16.012084592145,10,4
Scil_3175,2557,5.12319123973406,19,15
Scil_89025|Histone_H2A,106,69.811320754717,624,12
Scil_100231,238,10.9243697478992,9,3
Scil_61127,300,9.66666666666667,7,2
Scil_7531,305,17.7049180327869,32,5
Scil_49426,196,6.12244897959184,4,1
Scil_97691,192,8.33333333333333,3,2
Scil_16353,1464,0.683060109289617,2,1
Scil_99417,520,7.88461538461538,5,4
Scil_92388,370,5.13513513513514,4,1
Scil_53141,817,1.22399020807834,1,1
Scil_10799,1370,2.7007299270073,7,4
Scil_20772,494,8.09716599190283,28,4
Scil_77238,399,6.265664160401,24,3
CON_007071011,359,5.84958217270195,1,1
Scil_5379,631,14.2630744849445,18,6
Scil_62784,492,2.03252032520325,3,1
Scil_83237,427,1.40515222482436,4,1
Scil_80211,288,15.2777777777778,10,3
Scil_27800,984,0.813008130081301,1,1
Scil_47012,642,25.3894080996885,54,12
Scil_26006,785,8.28025477707006,16,5
Scil_83764,255,8.62745098039216,11,2
Scil_30761,722,2.35457063711911,3,2
Scil_13674,1544,0.712435233160622,2,1
Scil_78346,431,8.12064965197216,14,3
Scil_21179,989,0.606673407482305,4,1
Scil_66783,403,1.73697270471464,2,1
Scil_30664,894,1.45413870246085,1,1
Scil_33571,300,45.0,48,8
Scil_102302,169,32.5443786982249,31,4
Scil_8622,1339,6.27333831217326,35,7
Scil_94748,361,17.1745152354571,38,7
Scil_41360,483,3.72670807453416,5,2
Scil_33521,983,1.7293997965412,1,1
CON_006897491,1940,0.309278350515464,4,1
Scil_67324,235,4.25531914893617,11,1
Scil_70252,540,2.59259259259259,2,1
Scil_58595,668,6.43712574850299,25,3
