Accession,NumberOfAminoAcids,Coverage,PsmCount,PeptideGroupCount
Q13185,183,13.1147540983607,19,2
P63104,245,21.2244897959184,18,4
Q05639,463,4.1036717062635,4,1
P13929,434,4.14746543778802,2,1
O60240,522,2.68199233716475,6,2
P26641,437,11.441647597254,6,6
Q16777,129,62.015503875969,590,20
Q9BW66,212,2.83018867924528,3,1
Q7L7L0,130,76.9230769230769,647,25
P62633,177,3.38983050847458,6,1
Q9H1E3,243,14.8148148148148,57,6
Q12996,717,1.53417015341702,3,1
Q9BUH6,204,0.0,16,0
A6NGE7,173,3.46820809248555,7,1
Q00341,1268,1.34069400630915,16,2
P48741,367,13.8964577656676,24,4
Q92733,491,2.85132382892057,1,1
P39023,403,22.3325062034739,54,8
Q8N6R1,65,29.2307692307692,9,2
P29692,281,23.4875444839858,14,4
P09430,55,16.3636363636364,1,1
Q71UI9,128,35.15625,395,10
P35251,1148,2.70034843205575,6,4
P18754,421,10.9263657957245,7,4
Q8WW12,178,44.3820224719101,19,5
Q15631,228,4.82456140350877,2,1
P27695,318,20.125786163522,20,5
Q71SY5,747,2.54350736278447,3,1
Q15063,836,1.31578947368421,1,1
Q9H0I3,377,1.59151193633952,2,1
P08133,673,23.3283803863299,41,15
P26373,211,71.563981042654,199,18
Q12906,894,5.8165548098434,29,6
P07305,194,70.6185567010309,56,8
P08729,469,1.91897654584222,4,1
P84243,136,71.3235294117647,785,22
Q13748,450,10.0,9,3
CON_007085262,650,19.8461538461538,55,11
Q13561,401,2.24438902743142,1,1
P24844,172,11.6279069767442,10,2
P13010,732,2.73224043715847,2,2
Q8WYA6,563,10.4795737122558,7,6
CON_007060022,339,24.188790560472,36,8
Q9HD90,331,1.81268882175227,2,1
P21741,143,5.59440559440559,4,1
Q9H444,224,15.625,8,2
P15531,152,23.6842105263158,5,3
P26196,483,4.1407867494824,4,2
P35499,1836,0.490196078431373,1,1
P05388,317,20.820189274448,26,6
O75347,108,20.3703703703704,6,2
Q9BVP2,549,11.4754098360656,14,6
Q9HAV0,340,2.94117647058824,4,1
Q86YP4,633,3.00157977883096,5,2
P27816,1152,11.1979166666667,40,7
P30050,165,43.6363636363636,41,5
Q5T1J5,151,23.1788079470199,4,2
Q96QV6,131,42.7480916030534,567,13
Q9NZI8,577,27.3830155979203,30,10
Q01844,656,10.0609756097561,37,5
CON_009069521,902,5.21064301552106,12,4
Q9Y6M1,599,2.83806343906511,3,1
Q4ZHG4,1894,1.58394931362196,3,3
Q96EL3,112,38.3928571428571,6,3
Q9UKV3,1341,1.04399701715138,1,1
Q9NPE3,64,46.875,9,4
Q99832,543,3.68324125230203,2,2
O43432,1585,0.378548895899054,2,1
Q9Y2Z4,477,3.14465408805031,1,1
Q9Y230,463,17.0626349892009,14,6
Q8WYB5,2073,0.289435600578871,1,1
Q96GA3,475,3.78947368421053,6,2
A5A3E0,1075,2.51162790697674,13,3
A6NHL2,446,2.69058295964126,1,1
Q15262,1439,1.11188325225851,5,3
Q96P16,312,16.6666666666667,8,4
Q53GS9,565,7.07964601769912,10,4
P28347,426,2.8169014084507,1,1
Q2M389,1173,0.51150895140665,3,1
Q9UHI7,598,1.17056856187291,7,1
Q8IUE6,130,73.8461538461539,396,17
Q9NR30,783,15.8365261813538,24,11
Q6NVV1,102,22.5490196078431,11,2
P08865,295,12.5423728813559,7,3
P82914,257,15.5642023346303,14,5
P17661,470,5.95744680851064,10,3
Q8TB73,568,1.23239436619718,4,1
P18669,254,13.3858267716535,6,3
Q8N6M0,293,18.4300341296928,8,5
P41208,172,38.953488372093,9,3
P04908,130,76.9230769230769,666,24
Q96EY4,203,30.5418719211823,19,6
Q9UK33,172,15.1162790697674,10,4
Q16778,126,76.984126984127,216,17
Q9BZE4,634,5.5205047318612,5,3
Q99459,802,10.5985037406484,20,10
CON_007083981,607,6.91927512355848,6,5
P01116,189,6.34920634920635,2,1
P62891,51,74.5098039215686,37,6
O00712,420,1.42857142857143,9,1
Q9NYK1,1049,0.571973307912297,2,1
Q56NI9,601,1.16472545757072,12,1
P12110,1019,0.883218842001963,1,1
Q9H7H0,456,6.14035087719298,5,2
Q96P20,1036,0.579150579150579,6,1
Q14974,876,1.36986301369863,5,1
