AAN04299.1 1003 1098 Histone
AAU10900.1 119 176 CBFD_NFYB_HMF
AAV98010.1 63 141 CBFD_NFYB_HMF,CENP-T_C
ABH10013.1 63 141 CBFD_NFYB_HMF,CENP-T_C
ADB03947.1 80 160 CBFD_NFYB_HMF,Histone
ADB04175.1 135 232 Histone
ADB04176.1 72 169 Histone
ADO00424.1 74 176 Histone
AEA06907.1 81 160 CBFD_NFYB_HMF
AEA07236.1 101 202 Histone
AEA07237.1 117 217 Histone
AEE09495.1 63 141 CBFD_NFYB_HMF,CENP-T_C
AEW69550.1 1003 1098 Histone
AGO82856.2 34 167 Histone,CBFD_NFYB_HMF
AGO84906.1 26 169 Histone,CBFD_NFYB_HMF
AGV01521.1 80 160 CBFD_NFYB_HMF,Histone
AGV01787.1 119 216 Histone
AGV01788.1 95 192 Histone
AHA45912.1 118 219 Histone
AHA45913.1 100 206 Histone
AHA46167.1 68 148 CBFD_NFYB_HMF
AHC54762.1 81 161 CBFD_NFYB_HMF
AHC55029.1 100 206 Histone
AHC55030.1 128 229 Histone
AHL67618.1 1 72 CBFD_NFYB_HMF
AHL67618.1 76 176 Histone,CBFD_NFYB_HMF
AIT54762.1 80 160 CBFD_NFYB_HMF,Histone
AIT54981.1 119 216 Histone
AIT54982.1 95 192 Histone
ALF62340.1 56 129 CENP-T_C
ALF62341.1 56 129 CENP-T_C
ALF62342.1 56 129 CENP-T_C
ALH06745.1 81 160 CBFD_NFYB_HMF
ALH07047.1 101 202 Histone
ALH07048.1 117 217 Histone
AMQ10667.1 81 161 CBFD_NFYB_HMF
AMQ10945.1 120 202 Histone
AMQ10946.1 17 97 CBFD_NFYB_HMF
AMQ10946.1 117 219 Histone
AMT81292.1 41 120 CENP-T_C,CBFD_NFYB_HMF
AMT81293.1 41 120 CENP-T_C,CBFD_NFYB_HMF
AMT81294.1 42 118 CBFD_NFYB_HMF
AMT81295.1 41 120 CENP-T_C,CBFD_NFYB_HMF
AMT81297.1 41 120 CENP-T_C,CBFD_NFYB_HMF
AMT81298.1 44 120 CENP-T_C
AMT81300.1 41 120 CENP-T_C,CBFD_NFYB_HMF
AOC55109.1 115 176 CBFD_NFYB_HMF
AQM73059.1 117 219 Histone
AQM73060.1 95 200 Histone
AQM73400.1 81 159 CBFD_NFYB_HMF
AQQ73805.1 91 200 Histone
AQQ73806.1 117 219 Histone
AQQ73899.1 81 159 CBFD_NFYB_HMF
AUT18984.1 45 189 Histone
AVK75201.1 33 165 Histone,CBFD_NFYB_HMF
AVK76224.1 63 166 Histone,CBFD_NFYB_HMF
AVK77303.1 41 165 Histone,CBFD_NFYB_HMF
AVR52881.1 80 160 CBFD_NFYB_HMF,Histone
AVR53135.1 119 216 Histone
AVR53136.1 95 192 Histone
AYV87056.1 1 138 Histone
BAU79970.1 100 191 Histone
BAU79971.1 120 216 Histone
BAU80079.1 81 161 CBFD_NFYB_HMF,Histone
BBI30201.1 22 145 Histone
BBI30395.1 1 139 Histone,CBFD_NFYB_HMF
BBI30458.1 26 143 Histone,CBFD_NFYB_HMF
BCB67442.1 119 176 CBFD_NFYB_HMF
CAG17417.1 77 155 CBFD_NFYB_HMF,CENP-T_C
CCV01809.1 72 176 Histone
CCV01978.1 72 176 Histone
CCV02159.1 74 176 Histone
CCV02330.1 72 176 Histone
CCV02394.1 19 140 Histone,CBFD_NFYB_HMF,CENP-T_C
DAC81234.1 45 173 Histone
ERX552244.21_contig_7330_16 26 107 CBFD_NFYB_HMF,CENP-T_C
ERX552261.23_contig_64216_2 1 116 Histone
ERX552261.5_contig_6301_9 79 160 CBFD_NFYB_HMF
ERX552270.64_contig_3395_2 1 138 Histone
ERX552270.68_contig_44073_13 205 310 Histone,CBFD_NFYB_HMF
