gene	architecture	core_class_string	TE_class_string	is_contiguous_assembly	num_expressed	is_expressed	is_contiguous_coverage	is_monoexonic	is_in_cluster	is_validated	species	TE_class	TE_type	TE_classtype	TE_domain_string	architecture_simple	evidence_status	structure_status	core_class_string_simple
Hsap_ENSP00000262450.3	CHDNT PHD PHD Chromo SNF2_N Helicase_C DUF1087 DUF1086 CHDCT2	Chromo,PHD,SNF2_N	Interspersed_Repeat;Unknown	TRUE	1	TRUE	TRUE	FALSE	FALSE	TRUE	Hsap	Unknown	Interspersed_Repeat	Unknown	DUF1087	CHDNT,PHD,Chromo,SNF2_N,Helicase_C,DUF1087,DUF1086,CHDCT2	contiguous assembly, complete expression	multiexon, no cluster	Chromo+SNF2_N+(PHD+others)
Hsap_ENSP00000369716.4	CHDNT PHD PHD Chromo SNF2_N Helicase_C DUF1087 DUF1086 CHDCT2	Chromo,PHD,SNF2_N	Interspersed_Repeat;Unknown	TRUE	1	TRUE	TRUE	FALSE	FALSE	TRUE	Hsap	Unknown	Interspersed_Repeat	Unknown	DUF1087	CHDNT,PHD,Chromo,SNF2_N,Helicase_C,DUF1087,DUF1086,CHDCT2	contiguous assembly, complete expression	multiexon, no cluster	Chromo+SNF2_N+(PHD+others)
Hsap_ENSP00000373354.3	Pre-SET SET HTH_48 Transposase_1	SET	Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;Tc1-Mariner;Mariner	TRUE	1	TRUE	TRUE	FALSE	FALSE	TRUE	Hsap	DNA	Tc1-Mariner	DNA Tc1-Mariner	Transposase_1	Pre-SET,SET,HTH_48,Transposase_1	contiguous assembly, complete expression	multiexon, no cluster	SET
Hsap_ENSP00000493629.2	CHDNT PHD PHD Chromo SNF2_N Helicase_C DUF1087 DUF1086	Chromo,PHD,SNF2_N	Interspersed_Repeat;Transposable_Element;Class_I_Retrotransposition;LINE-dependent_Retroposon;SINE;7SL-RNA_Promoter;No-core;L1-dependent;Alu	TRUE	1	TRUE	TRUE	FALSE	TRUE	TRUE	Hsap	RT	L1-dependent	RT L1-dependent	DUF1087	CHDNT,PHD,Chromo,SNF2_N,Helicase_C,DUF1087,DUF1086	contiguous assembly, complete expression	multiexon, cluster	Chromo+SNF2_N+(PHD+others)
Hsap_ENSP00000496634.1	CHDNT PHD PHD Chromo SNF2_N Helicase_C DUF1087 DUF1086 CHDCT2	Chromo,PHD,SNF2_N	Interspersed_Repeat;Unknown	TRUE	1	TRUE	TRUE	FALSE	TRUE	TRUE	Hsap	Unknown	Interspersed_Repeat	Unknown	DUF1087	CHDNT,PHD,Chromo,SNF2_N,Helicase_C,DUF1087,DUF1086,CHDCT2	contiguous assembly, complete expression	multiexon, cluster	Chromo+SNF2_N+(PHD+others)
Drer_ENSDARP00000014790.8	CHDNT PHD PHD Chromo SNF2_N Helicase_C DUF1087 DUF1086 CHDCT2	Chromo,PHD,SNF2_N	Interspersed_Repeat;Unknown	FALSE	NA	FALSE	FALSE	FALSE	FALSE	TRUE	Drer	Unknown	Interspersed_Repeat	Unknown	DUF1087	CHDNT,PHD,Chromo,SNF2_N,Helicase_C,DUF1087,DUF1086,CHDCT2	broken assembly, no expression	multiexon, no cluster	Chromo+SNF2_N+(PHD+others)
Drer_ENSDARP00000072956.4	THAP MBT MBT MBT MBT	MBT	Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;hAT;Activator	TRUE	NA	FALSE	FALSE	FALSE	FALSE	TRUE	Drer	DNA	hAT	DNA hAT	THAP	THAP,MBT	contiguous assembly, no expression	multiexon, no cluster	Others
Drer_ENSDARP00000111640.2	CHDNT PHD PHD Chromo SNF2_N Helicase_C DUF1087 DUF1086 CHDCT2	Chromo,PHD,SNF2_N	Interspersed_Repeat;Unknown	TRUE	NA	FALSE	FALSE	FALSE	FALSE	TRUE	Drer	Unknown	Interspersed_Repeat	Unknown	DUF1087	CHDNT,PHD,Chromo,SNF2_N,Helicase_C,DUF1087,DUF1086,CHDCT2	contiguous assembly, no expression	multiexon, no cluster	Chromo+SNF2_N+(PHD+others)
Drer_ENSDARP00000124629.1	CHDNT PHD PHD Chromo SNF2_N Helicase_C DUF1087 DUF1086 CHDCT2	Chromo,PHD,SNF2_N	Interspersed_Repeat;Unknown	TRUE	NA	FALSE	FALSE	FALSE	FALSE	TRUE	Drer	Unknown	Interspersed_Repeat	Unknown	DUF1087	CHDNT,PHD,Chromo,SNF2_N,Helicase_C,DUF1087,DUF1086,CHDCT2	contiguous assembly, no expression	multiexon, no cluster	Chromo+SNF2_N+(PHD+others)
Drer_ENSDARP00000127601.2	CHDNT PHD PHD Chromo SNF2_N Helicase_C DUF1087 DUF1086 CHDCT2	Chromo,PHD,SNF2_N	Interspersed_Repeat;Unknown	TRUE	NA	FALSE	FALSE	FALSE	FALSE	TRUE	Drer	Unknown	Interspersed_Repeat	Unknown	DUF1087	CHDNT,PHD,Chromo,SNF2_N,Helicase_C,DUF1087,DUF1086,CHDCT2	contiguous assembly, no expression	multiexon, no cluster	Chromo+SNF2_N+(PHD+others)
