Acetylation	Acetylase	Acetyltransf_1	Acetyltransf_1
Acetylation	Acetylase	GNAT_acetyltr_2	GNAT_acetyltr_2
Acetylation	Acetylase	Hat1_N	Hat1_N
Acetylation	Acetylase	KAT11	KAT11
Acetylation	Acetylase	MOZ_SAS	MOZ_SAS
Acetylation	Deacetylase	Hist_deacetyl	Hist_deacetyl
Acetylation	Deacetylase	SIR2	SIR2
Methylation	Methylase	DOT1	DOT1
Methylation	Methylase	SET	SET
Methylation	Methylase	SWIRM	SWIRM
Methylation	Demethylase	CupinJmjC	Cupin_4,Cupin_8,JmjC
Methylation	Demethylase	HIF-1	HIF-1
Histones	Histones	Histone	Histone,CBFD_NFYB_HMF,CENP-T_C
Chaperones	Chaperones	ASF1_hist_chap	ASF1_hist_chap
Chaperones	Chaperones	CAF1A	CAF1A
Chaperones	Chaperones	CHZ	CHZ
Chaperones	Chaperones	Daxx	Daxx
Chaperones	Chaperones	Hira	Hira
Chaperones	Chaperones	HJURP_mid	HJURP_mid
Chaperones	Chaperones	NAP	NAP
Chaperones	Chaperones	Rtt106	Rtt106
Chaperones	Chaperones	SPT16	SPT16
Chaperones	Chaperones	SSrecog	SSrecog
Chaperones	Chaperones	zf-CCHH	zf-CCHH
Readers	Readers	ADD_ATRX	ADD_ATRX
Readers	Readers	ADD_DNMT3	ADD_DNMT3
Readers	Readers	BAH	BAH
Readers	Readers	BIR	BIR
Readers	Readers	Bromodomain	Bromodomain
Readers	Readers	Chromo	Chromo
Readers	Readers	ING	ING
Readers	Readers	MBT	MBT
Readers	Readers	MRG	MRG
Readers	Readers	PHD	PHD,PHD_2,PHD_3,PHD_4
Readers	Readers	PWWP	PWWP
Readers	Readers	SAWADEE	SAWADEE
Readers	Readers	TTD	TTD
Readers	Readers	TUDOR	TUDOR
Readers	Readers	zf-CW	zf-CW
Remodeller	Remodeller	SNF2_N	SNF2_N
