gene	name
Hsap_ENSP00000254846	KDM6B_JMJD3
Hsap_ENSP00000326563	KDM3B
Hsap_ENSP00000334181	KDM4D_JMJD2D
Hsap_ENSP00000341280	JARID2_Jumonji
Hsap_ENSP00000350676	PHF8
Hsap_ENSP00000352185	PHF2
Hsap_ENSP00000355720	JMJD4
Hsap_ENSP00000356233	KDM5B_JARID1B
Hsap_ENSP00000361473	KDM4A_JMJD2A
Hsap_ENSP00000364550	KDM5C_JARID1C
Hsap_ENSP00000366271	KDM2B_FBXL10
Hsap_ENSP00000370710	KDM4C_JMJD2C
Hsap_ENSP00000370826	HAIR
Hsap_ENSP00000372352	UTY
Hsap_ENSP00000372355	KDM6A_UTX
Hsap_ENSP00000380692	KDM7_JHDM1D_KIAA1718
Hsap_ENSP00000382204	JMJD1C_JHD2C
Hsap_ENSP00000382688	KDM5A_JARID1A
Hsap_ENSP00000394085	JMJD6
Hsap_ENSP00000397239	KD4DL_KDM4E
Hsap_ENSP00000432786	KDM2A_FBXL11
Hsap_ENSP00000440495	KDM4B_JMJD2B
Hsap_ENSP00000444293	KDM5D_JARID1D
Hsap_ENSP00000444992	KDM3A_JMJD1A
Hsap_ENSP00000293882	JMJD8
Hsap_ENSP00000302562	HSPBAP1
Hsap_ENSP00000346627	TYW5
Hsap_ENSP00000371886	PA24B
Hsap_ENSP00000380467	JMJD7
Hsap_ENSP00000398410	KDM8
Hsap_ENSP00000399734	HIF1
Hsap_ENSP00000328251	MINA
Hsap_ENSP00000436206	NO66
Atha_AT1G08620	PKDM7D
Atha_AT1G09060	JMJ24
Atha_AT1G11950	
Atha_AT1G30810	JMJ18
Atha_AT1G62310	
Atha_AT1G63490	
Atha_AT1G78280	
Atha_AT2G34880	MEEA27
Atha_AT2G38950	
Atha_AT3G07610	H3K9_demethylase
Atha_AT3G48430	REF6
Atha_AT4G00990	
Atha_AT4G20400	JMJ14
Atha_AT4G21430	B160
Atha_AT5G04240	ELF6
Atha_AT5G06550	HR_demethylase_like
Atha_AT5G46910	
Atha_AT5G63080	HR_JMJ20
Dmel_FBpp0076196	JARD2
Dmel_FBpp0078862	KDM5
Dmel_FBpp0079664	UTX
Dmel_FBpp0080615	JMJD4
Dmel_FBpp0081541	JMJD2
Dmel_FBpp0083632	JMJD6
Dmel_FBpp0086883	KDM4B
Dmel_FBpp0087961	KDM4A
Dmel_FBpp0289915	JHD1
Dmel_FBpp0289936	CG13902_cupin
Scer_SCRT_03771	JHD2
Scer_SCRT_04643	RPH1
Atha_AT1G08460	HDAC8
Atha_AT3G18520	HDAC15
Atha_AT3G44680	HDAC9
Atha_AT4G33470	HDAC14
Atha_AT4G38130	HDAC19
Atha_AT5G26040	HDAC2
Atha_AT5G35600	HDAC7
Atha_AT5G61060	HDAC5
Atha_AT5G61070	HDAC18
Atha_AT5G63110	HDAC6
Hsap_ENSP00000216271	HDAC10
Hsap_ENSP00000225983	HDAC5
Hsap_ENSP00000264606	HDAC4
Hsap_ENSP00000295757	HDAC11
Hsap_ENSP00000302967	HDAC3
Hsap_ENSP00000362649	HDAC1
Hsap_ENSP00000362674	HDAC8
Hsap_ENSP00000369984	HDAC7
Hsap_ENSP00000381331	HDAC2
Hsap_ENSP00000398566	HDAC6
Hsap_ENSP00000408617	HDAC9
Scer_SCRT_01182	HOS2
Scer_SCRT_02380	HOS3
Scer_SCRT_02552	HOS1
Scer_SCRT_03170	HDA1
Scer_SCRT_03453	RPD3
Hsap_ENSP00000259021	KAT7
Hsap_ENSP00000265713	KAT6A
Hsap_ENSP00000287239	KAT6B
Hsap_ENSP00000340330	KAT5
Hsap_ENSP00000406037	KAT8
Dmel_FBpp0070636	Tip60
Dmel_FBpp0070794	males_absent_on_the_first
Dmel_FBpp0072159	enoki_mushroom
Dmel_FBpp0079071	chameau
Dmel_FBpp0084659	CG1894
Scer_SCRT_01628	Esa1
Scer_SCRT_02017	Sas2
Scer_SCRT_03016	Sas3
Hsap_ENSP00000219315	SETD6
Hsap_ENSP00000222270	MLL4
Hsap_ENSP00000235372	PRD2
Hsap_ENSP00000255613	SUV420H2
Hsap_ENSP00000257745	MLL5
Hsap_ENSP00000262519	SETD1A
Hsap_ENSP00000264646	EZH1
Hsap_ENSP00000267197	SETD1B
Hsap_ENSP00000271640	SETD1B
Hsap_ENSP00000274031	SETD7
Hsap_ENSP00000276594	PRD14
Hsap_ENSP00000285947	SETD9
Hsap_ENSP00000301067	MLL2
Hsap_ENSP00000304360	SMYD4
Hsap_ENSP00000305899	SUV420H1
Hsap_ENSP00000313983	NSD3
Hsap_ENSP00000320147	EZH2
Hsap_ENSP00000326477	SETDB2
Hsap_ENSP00000327436	setd3
Hsap_ENSP00000329189	SETD4
Hsap_ENSP00000332995	SETD8
Hsap_ENSP00000337976	SUV39H1
Hsap_ENSP00000346997	SUV39H2
Hsap_ENSP00000347325	MLL3
Hsap_ENSP00000355924	SMYD2
Hsap_ENSP00000357330	ASH1L
Hsap_ENSP00000358092	PRD1
Hsap_ENSP00000372347	NSD2
Hsap_ENSP00000373354	SETMAR
Hsap_ENSP00000373637	SMYD3
Hsap_ENSP00000374152	SMYD5
Hsap_ENSP00000379078	EHMT2
Hsap_ENSP00000384114	SETD5
Hsap_ENSP00000384725	putative_PRDM6
Hsap_ENSP00000386759	SETD2
Hsap_ENSP00000393453	SMYD1
Hsap_ENSP00000395929	NSD1_H3K36_H4K20_specific
Hsap_ENSP00000408583	EHMT2
Hsap_ENSP00000417980	EHMT1
Hsap_ENSP00000436786	MLL1
Dmel_FBpp0070062	G9a
Dmel_FBpp0070146	histone_methyltransferase_4_20
Dmel_FBpp0070347	TRITHORAX_RELATED
Dmel_FBpp0070406	msta
Dmel_FBpp0071271	CG12119
Dmel_FBpp0073610	Set2
Dmel_FBpp0074738	ASH1
Dmel_FBpp0074807	CG18136
Dmel_FBpp0075510	CG9007
Dmel_FBpp0075717	SMYD4
Dmel_FBpp0076008	enhancer_of_zeste
Dmel_FBpp0082387	pr_set7
Dmel_FBpp0082406	TRITHORAX
Dmel_FBpp0082583	SUV39
Dmel_FBpp0083507	CG3353
Dmel_FBpp0084636	Mes4
Dmel_FBpp0085358	CG14590
Dmel_FBpp0086127	CG9642
Dmel_FBpp0087091	CG8378
Dmel_FBpp0087625	CG1868
Dmel_FBpp0111689	eggless
Dmel_FBpp0112128	CG4565
Dmel_FBpp0112592	Set1
Scer_SCRT_00269	RKM4
Scer_SCRT_02936	RKM3
Scer_SCRT_03509	SET2_H3K36_specific
Scer_SCRT_03567	SET4
Scer_SCRT_04049	SET3
Scer_SCRT_04833	SET1
Scer_SCRT_04921	SET5
Cowc_CAOG_00472	SETD6
Cowc_CAOG_00643	SETD4_putative
Cowc_CAOG_01287	SETD3_putative
Cowc_CAOG_01362	MLL
Cowc_CAOG_01403	SMYD3
Cowc_CAOG_02237	SETD5
Cowc_CAOG_02948	SUV420
Cowc_CAOG_03170	SETD3
Cowc_CAOG_03580	SETD1
Cowc_CAOG_04094	SETD9_putative
Cowc_CAOG_04380	SETD9_putative
Cowc_CAOG_05400	SETD9_putative
Cowc_CAOG_07464	SMYD5
Cowc_CAOG_07681	SETD8
Cowc_CAOG_08663	SMYD5
Atha_AT1G02580	MEDEA
Atha_AT1G04050	SUVR1
Atha_AT1G05830	ATX2
Atha_AT1G14030	RBCMT
Atha_AT1G17770	SUVH7
Atha_AT1G24610	rubisco_methyltransferase_like_protein
Atha_AT1G26760	SETD35
Atha_AT1G33400	carboxylate_clamp_tetratricopeptide_repeat_protein
Atha_AT1G43245	SDG41
Atha_AT1G73100	SUVH3
Atha_AT1G76710	ASHH1
Atha_AT1G77300	ASHH2
Atha_AT2G05900	SUVHA_H3K9_specific
Atha_AT2G17900	ASHR1
Atha_AT2G19640	ASHR2
Atha_AT2G22740	SUVH6_H3K9_specific
Atha_AT2G23380	CLF
Atha_AT2G23740	SUVR5
Atha_AT2G24740	SUVH8_H3K9_specific
Atha_AT2G31650	ATX1
Atha_AT2G33290	SUVH2_H3K9_specific
Atha_AT2G35160	SUVH5_H3K9_specific
Atha_AT2G44150	ASHH3
Atha_AT3G03750	SUVR3
Atha_AT3G04380	SUVR4
Atha_AT3G07670	Rubisco_methyltransferase_family_protein
Atha_AT3G21820	ATXR2
Atha_AT3G55080	SET_domain_containing_protein
Atha_AT3G56570	SET_domain_containing_protein
Atha_AT3G59960	ASHH4
Atha_AT3G61740	ATX3
Atha_AT4G02020	EZA1
Atha_AT4G13460	SUVH9_H3K9_specific
Atha_AT4G15180	ATXR3
Atha_AT4G20130	PLASTID_TRANSCRIPTIONALLY_ACTIVE_14
Atha_AT4G27910	ATX4
Atha_AT4G30860	ASHR3
Atha_AT5G04940	SUVH1_H3K9_specific
Atha_AT5G06620	ATXR4
Atha_AT5G09790	ATXR5
Atha_AT5G13960	SUVH4_H3K9_specific
Atha_AT5G17240	SDG40
Atha_AT5G24330	ATXR6
Atha_AT5G42400	SDG25
Atha_AT5G43990	SUVR2
Atha_AT5G53430	ATX5
Tpse_XP_002293206	TRX1_ATXR5
Tthe_XP_001017546	EZL1
Tthe_XP_001024559	EZL2
Tthe_XP_001022224	ELZ3
Ncra_6617NCU07496	SET7_EZH2_putative
Fgra_FGSG_00899	KMT6_EZH2_putative
Atha_AT5G09230	Sirtuin2
Atha_AT5G55760	Sirtuin1
Hsap_ENSP00000202967	SIRT4
Hsap_ENSP00000212015	SIRT1
Hsap_ENSP00000249396	SIRT2
Hsap_ENSP00000329466	SIRT7
Hsap_ENSP00000337332	SIRT6
Hsap_ENSP00000368552	SIRT5
Hsap_ENSP00000372191	SIRT3
Scer_SCRT_00329	HST4
Scer_SCRT_00541	SIR2
Scer_SCRT_01335	HST1
Scer_SCRT_01427	HST3
Scer_SCRT_02475	HST2
Hsap_ENSP00000262450	CHD5
Hsap_ENSP00000262518	SRCAP
Hsap_ENSP00000264159	ZRAB3
Hsap_ENSP00000265773	SMCA2
Hsap_ENSP00000265990	BTAF1
Hsap_ENSP00000283131	SMCA5
Hsap_ENSP00000284049	CHD1
Hsap_ENSP00000285398	ERCC3
Hsap_ENSP00000288985	RAD26
Hsap_ENSP00000307304	CHD7
Hsap_ENSP00000308944	HLTF
Hsap_ENSP00000312419	CHD4
Hsap_ENSP00000333602	EP400
Hsap_ENSP00000334675	ERC6L
Hsap_ENSP00000336606	RA54B
Hsap_ENSP00000348089	ERCC6
Hsap_ENSP00000349823	SMAL1
Hsap_ENSP00000351947	SMRCD
Hsap_ENSP00000355205	INO80
Hsap_ENSP00000356473	K4DI94
Hsap_ENSP00000358262	CHD1L
Hsap_ENSP00000358478	TTF2
Hsap_ENSP00000360163	SMCA1
Hsap_ENSP00000360383	HELLS
Hsap_ENSP00000361043	RAD54
Hsap_ENSP00000362330	CHD6
Hsap_ENSP00000362441	ATRX
Hsap_ENSP00000369716	CHD3
Hsap_ENSP00000374574	DDX42
Hsap_ENSP00000377747	CHD2
Hsap_ENSP00000382863	CHD8
Hsap_ENSP00000386520	ARIP4
Hsap_ENSP00000396345	CHD9
Hsap_ENSP00000403803	SMCA4
Atha_AT1G02670	F4HXL1
Atha_AT1G03750	F4I2H2
Atha_AT1G05120	F4I795
Atha_AT1G05490	CLSY3
Atha_AT1G08600	F4HW52
Atha_AT1G11100	F4I7D2
Atha_AT1G48310	F4HWU9
Atha_AT1G50410	Q94BR5
Atha_AT1G61140	F4HTG1
Atha_AT2G02090	Q9ZUL5
Atha_AT2G13370	F4IV99
Atha_AT2G16390	Q9SIW2
Atha_AT2G18760	Q9ZV43
Atha_AT2G21450	Q9SJT3
Atha_AT2G25170	PKL
Atha_AT2G28290	SYD
Atha_AT2G40770	F4II36
Atha_AT2G44980	F4IV45
Atha_AT2G46020	BRM
Atha_AT3G06010	F4J9M5
Atha_AT3G06400	F4JAV9
Atha_AT3G12810	PIE1
Atha_AT3G16600	F4J2R0
Atha_AT3G19210	Q0PCS3
Atha_AT3G20010	Q9LHE4
Atha_AT3G24340	CLSY4
Atha_AT3G42670	CLSY1
Atha_AT3G54280	F4JCU6
Atha_AT3G54460	FB304
Atha_AT3G57300	F4J277
Atha_AT4G09730	RH39
Atha_AT4G31900	F4JTF6
Atha_AT5G05130	SM3L1
Atha_AT5G07810	F4K856
Atha_AT5G18620	F4JY25
Atha_AT5G19310	F4K128
