Hsap	Homo_sapiens
Mondom	Monodelphis_domestica
Mmus	Mus_musculus
Ornana	Ornithorhynchus_anatinus
Xentro	Xenopus_tropicalis
Xenlae	Xenopus_laevis
Anocar	Anolis_carolinensis
Galgal	Gallus_gallus
Taegut	Taeniopygia_guttata
Drer	Danio_rerio
Lepocu	Lepisosteus_oculatus
Calmil	Callorhinchus_milii
Latcha	Latimeria_chalumnae
Petmar	Petromyzon_marinus
Cint	Ciona_intestinalis
Halaur	Halocynthia_aurantium
Botlea	Botrylloides_leachii
Oikdio	Oikopleura_dioica
Bflo	Branchiostoma_floridae
Brabel	Branchiostoma_belcheri
Bralan	Branchiostoma_lanceolatum
Spur	Strongylocentrotus_purpuratus
Apla	Acanthaster_planci
Astrub	Asterias_rubens
Apojap	Apostichopus_japonicus
Annjap	Anneissia_japonica
Skow	Saccoglossus_kowalevskii
Ptyfla	Ptychodera_flava
Dpul	Daphnia_pulex
Lepsal	Lepeophtheirus_salmonis
Polpol	Pollicipes_pollicipes
Penmon	Penaeus_monodon
	Paralithodes_platypus
Apimel	Apis_mellifera
Nasvit	Nasonia_vitripennis
Anogam	Anopheles_gambiae
Aedaeg	Aedes_aegypti
Culqui	Culex_quinquefasciatus
Dmel	Drosophila_melanogaster
Luccup	Lucilia_cuprina
Glomor	Glossina_morsitans
Musdom	Musca_domestica
Lutlon	Lutzomyia_longipalpis
Phlpap	Phlebotomus_papatasi
Tcas	Tribolium_castaneum
Bommor	Bombyx_mori
Zoonev	Zootermopsis_nevadensis
Rhopro	Rhodnius_prolixus
Strmar	Strigamia_maritima
Ixosca	Ixodes_scapularis
Lpol	Limulus_polyphemus
Cscu	Centruroides_sculpturatus
	Mesobuthus_martensii
Stemim	Stegodyphus_mimosarum
Orccin	Orchesella_cincta
Folcan	Folsomia_candida
	Euperipatoides_rowelli
Hduj	Hypsibius_dujardini
Ramvar	Ramazzottius_varieornatus
Cele	Caenorhabditis_elegans
Brumal	Brugia_malayi
Trispi	Trichinella_spiralis
Romcul	Romanomermis_culicivorax
Ctel	Capitella_teleta
Helrob	Helobdella_robusta
Dimgyr	Dimorphilus_gyrociliatus
	Hydroides_elegans
Linana	Lingula_anatina
Phoaus	Phoronis_australis
Dicjap	Dicyema_japonicum
Aplcal	Aplysia_californica
Elychl	Elysia_chlorotica
	Arion_vulgaris
Pomcan	Pomacea_canaliculata  
Lgig	Lottia_gigantea
Biogla	Biomphalaria_glabrata
Octbim	Octopus_bimaculoides
Seppha	Sepia_pharaonis
Cgig	Crassostrea_gigas
Pecmax	Pecten_maximus
Mytcor	Mytilus_coruscus
Acagra	Acanthopleura_granulata
Notgen	Notospermus_geniculatus
Adivag	Adineta_vaga
Intlin	Intoshia_linei
Bugner	Bugula_neritina
Smed	Schmidtea_mediterranea
Dugjap	Dugesia_japonica
Maclig	Macrostomum_lignano
Sman	Schistosoma_mansoni
Emul	Echinoccocus_multilocularis
Hmia	Hofstenia_miamia
Exapal	Exaiptasia_diaphana
Nvec	Nematostella_vectensis
Adig	Acropora_digitifera
Amil	Acropora_millepora
Gfas	Galaxea_fascicularis
Fspp	Fungia_sp.
Gasp	Goniastrea_aspera
Spis	Stylophora_pistillata
Pocdam	Pocillopora_damicornis
Dgig	Dendronephthya_gigantea
Xesp	Xenia_sp.
Hvul	Hydra_vulgaris
Chem	Clytia_hemisphaerica
Aaur	Aurelia_aurita
Nemnom	Nemopilema_nomurai
Rhoesc	Rhopilema_esculentum
Sanmal	Sanderia_malayensis
Morvir	Morbakka_virulenta
Thekit	Thelohanellus_kitauei
Tadh	Trichoplax_adhaerens_H1
TrH2	Trichoplax_sp._H2
Hhon	Hoilungia_hongkongensis_H13
Mlei	Mnemiopsis_leidyi
Pbac	Pleurobrachia_bachei
Bolinf	Bolinopsis_infundibulum
Vmul	Vallicula_multiformis
Coeast	Coeloplana_astericola
Coemet	Coeloplana_meteoris
Drygla	Dryodora_glandiformis
Eupdun	Euplokamis_dunlapae
Mertsp	Mertensiidae_sp.
Lampan	Lampea_pancerina
Beraby	Beroe_abyssicola
