	K4me1	K4me2	K4me3	K9me1	K9me2	K9me3	K14me1	K14me2	K14me3	K18me1	K18me2	K18me3	K23me1	K23me2	K23me3	K27me1	K27me2	K27me3	K36me1	K36me2	K36me3	K37me1	K37me2	K37me3	K79me1	K79me2	K79me3
Hsap	1	1	1	1	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0
Scil	1	1	1	1	1	1	0	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0
Cowc	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0
Cfra	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1	1	1	1	1	1	0
Clim	1	1	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	1	1	1	1	1	1	1	0
Scer	1	1	1	1	0	0	0	1	0	1	0	0	1	0	0	0	0	1	1	1	1	NA	NA	NA	1	1	1
Spun	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0
Ttra	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0
Acas	1	1	1	1	1	1	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
Ddis	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	0
Ppat	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	1	0	0	0
Crei	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0
Gthe	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	1	0	1	1	0	0
Ehux	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	0	1	0
Tpse	1	1	1	1	1	1	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	0	0
Pinf	1	1	1	1	1	1	1	0	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	NA	1	1	0
Pfal	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tthe	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	NA	NA	NA	1	0	0
Bnat	1	1	1	1	1	1	0	0	1	1	0	0	0	0	0	1	1	1	1	1	0	1	1	0	1	0	0
Ngru	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0
