model	K9me1
num_obs	20
anova_test	Chisq
p	0.596076
deviance_residual	3.15401e-10
df_residual	0
CI	0.95
variables	SUV420,SMYD3,SMYD4,SMYD5,SETMAR,SETD1A,SETD1B,SETD2,SETD3,SETD4,SETD5,SETD7,SETD6,SETD8,NSD3,SUV39,MLL1.MLL2,Kmt2_Dpy30,DOT1
call	glm(formula = mark ~ ., family = "binomial", data = data_min)
model	var	coef	coef_CIdo	coef_CIup	zscore	p
K9me1	Intercept	115.047308869568	-1719550.59090012	1719780.68551786	0.000131123502669654	0.999895378581961
K9me1	SUV420	63.9151707211811	-1197357.3741856	1197485.20452704	0.0001046176761619	0.999916527171556
K9me1	SMYD3	-38.3491061560432	-1079379.41846656	1079302.72025425	-6.96377345760483e-05	0.999944437126777
K9me1	SMYD4	38.3491039355078	-733229.337100494	733306.035308365	0.000102503988607543	0.999918213650213
K9me1	SMYD5	115.04730950513	-1304744.77326225	1304974.86788126	0.000172806748735266	0.999862120163868
K9me1	SETMAR	-345.14193534014	-4470673.6816138	4469983.39774312	-0.000151323500457929	0.999879261315759
K9me1	SETD1A	-153.396415647444	-2158835.49369815	2158528.70086685	-0.000139275463675271	0.999888874258194
K9me1	SETD1B	204.528553748329	-3333275.46249584	3333684.51960334	0.000120255288837228	0.999904050161913
K9me1	SETD2	25.566072198762	-733242.177118918	733293.309263316	6.83359948681992e-05	0.99994547576479
K9me1	SETD3	-76.6982056653644	-1037073.99481444	1036920.59840311	-0.000144962500167127	0.999884336659626
K9me1	SETD4	76.6982088766007	-946568.030525648	946721.426943402	0.000158798462098683	0.999873297159345
K9me1	SETD5	38.3491027240735	-733229.407807627	733306.106013075	0.000102503975485452	0.999918213660682
K9me1	SETD7	-89.4812362951738	-1639726.49443103	1639547.53195844	-0.000106962699072608	0.999914656113991
K9me1	SETD6	-38.3491050386633	-598748.938671932	598672.240461855	-0.000125541231481301	0.99989983258992
K9me1	SETD8	-63.915171821112	-898130.069376302	898002.239032659	-0.000139490208208588	0.999888702916848
K9me1	NSD3	242.877651945284	-3195997.54655362	3196483.30185751	0.00014893480692421	0.999881167217428
K9me1	SUV39	-12.783033944416	-423365.145757199	423339.57968931	-5.91806928466025e-05	0.999952780638908
K9me1	MLL1.MLL2	-76.698205571986	-1120161.88088419	1120008.48447305	-0.000134209185983914	0.999892916562907
K9me1	Kmt2_Dpy30	-242.877658468461	-2824355.6742079	2823869.91889096	-0.00016855964953993	0.999865508858695
K9me1	DOT1	421.840144122316	-5773334.70137641	5774178.38166466	0.000143198190600393	0.999885744374976

model	K9me2
num_obs	20
anova_test	Chisq
p	0.09299445
deviance_residual	3.15401e-10
df_residual	0
CI	0.95
variables	SUV420,SMYD3,SMYD4,SMYD5,SETMAR,SETD1A,SETD1B,SETD2,SETD3,SETD4,SETD5,SETD7,SETD6,SETD8,NSD3,SUV39,MLL1.MLL2,Kmt2_Dpy30,DOT1
call	glm(formula = mark ~ ., family = "binomial", data = data_min)
model	var	coef	coef_CIdo	coef_CIup	zscore	p
