aOG	ancestral_evidence_string	gene_fam	num_lineages	num_species	num_genes	refOGs	refOGs_label	list_genes
aOG.eur_Histone0	AmorCRUM,Diaphoratickes	Histone	2	3	3			Atri_ERN01668,Manpla_Gene.28409,Tielac_KYR01993
aOG.eur_Histone1	AmorCRUM,Ancyromonadida,Diaphoratickes,Discoba,Hemimastigophora,Malawimonadidae,Metamonada,Meteor	Histone	8	20	20	Histone.HG6.0:like:H4-16/H4C1/H4C2/H4C3/H4C4/H4C5/H4C6/H4C8/H4C9/H4C11/H4C12/H4C13/H4C14/H4C15:likeclu:2,Histone.HG6.2:H4-16/H4C1/H4C2/H4C3/H4C4/H4C5/H4C6/H4C8/H4C9/H4C11/H4C12/H4C13/H4C14/H4C15	H4-16/H4C1/H4C2/H4C3/H4C4/H4C5/H4C6/H4C8/H4C9/H4C11/H4C12/H4C13/H4C14/H4C15,like:H4-16/H4C1/H4C2/H4C3/H4C4/H4C5/H4C6/H4C8/H4C9/H4C11/H4C12/H4C13/H4C14/H4C15	Alblai_CCA15305,Amobb2_AMBB2_00308.mRNA.1,Aplker_104514,Aque_Aqu2.1.08429_001,Carmem_6448.p5,Ctel_CapteP198869,Cvar_XP_005847450.1,Dmel_FBpp0082421,Esil_CBJ33198,Fabtro_Gene.3905,Gefoke_MALSP_04621.mRNA.1,Hemkuk_17594_TR5806_c0_g1,Maljak_MALJA_01577.mRNA.1,Manpla_Gene.522,Meteor_CRO19MET_NODE_11825.p1,Mpus_XP_003059520.1,Nutlon_comp14730_c0_seq1.p2,Plafun_PRP74142,Rigram_Gene.3111,Sacu_v1.1_s0041.g012615
aOG.eur_Histone10	Meteor	Histone	1	1	3	Histone.HG1.10:like:AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX:likeclu:17	like:AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX	Meteor_CRO19MET_NODE_10402.p2,Meteor_CRO19MET_NODE_2025.p6,Meteor_CRO19MET_NODE_2337.p4
aOG.eur_Histone11	Diaphoratickes	Histone	1	2	2	Histone.HG2.0:CENPA	CENPA	Bnat_JGI_V11_126849,Esil_CBJ26461
aOG.eur_Histone12	AmorCRUM,Ancyromonadida,Diaphoratickes,Malawimonadidae,Metamonada	Histone	5	15	20	Histone.HG1.10:like:AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX:likeclu:17,Histone.HG1.11:like:AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX:likeclu:17,Histone.HG1.12:like:AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX:likeclu:17,Histone.HG1.13:like:AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX:likeclu:17,Histone.HG1.17:AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX	AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX,like:AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX	Bralan_BL12634_evm0,Carmem_6448.p3,Cmer_CMN170CT,Diprot_Gene.902,Dmel_FBpp0085249,Fabtro_Gene.8629,Gefoke_MALSP_02245.mRNA.1,Gefoke_MALSP_05058.mRNA.1,Gefoke_MALSP_09311.mRNA.1,Gefoke_MALSP_13867.mRNA.1,Gracho_PXF47807.1,Malcal_MALCA_06589.mRNA.1,Malcal_MALCA_09674.mRNA.1,Morelo_OAQ31273,Nutlon_comp16154_c0_seq1.p2,Pavlsp_950820,Plafun_PRP74141,Rigram_Gene.10011,Rigram_Gene.3566,Sarc_Sarc4_g12927T
aOG.eur_Histone13	AmorCRUM,Diaphoratickes	Histone	2	2	2	Histone.HG2.0:CENPA	CENPA	Gpro_KXS17207,Gthe_EKX34792
aOG.eur_Histone14	Discoba,Hemimastigophora,Malawimonadidae	Histone	3	3	3	Histone.HG2.0:CENPA	CENPA	Andgod_ANDGO_07580.mRNA.1,Gefoke_MALSP_18410.mRNA.1,Spimul_26541_TR13212_c0_g1
aOG.eur_Histone15	Diaphoratickes,Discoba	Histone	2	2	2	Histone.HG1.10:like:AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX:likeclu:17,Histone.HG1.12:like:AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX:likeclu:17	like:AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX	Amobb2_AMBB2_00702.mRNA.1,Pinf_PITG_03881T0
aOG.eur_Histone16	Diaphoratickes	Histone	1	3	3	Histone.HG1.12:like:AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX:likeclu:17	like:AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX	Aplker_51867,Esil_CBJ33203,Schagg_84696
aOG.eur_Histone17	Diaphoratickes	Histone	1	1	2	Histone.HG1.12:like:AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX:likeclu:17	like:AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX	Cvar_XP_005843094.1,Cvar_XP_005848689.1
aOG.eur_Histone18	AmorCRUM,Diaphoratickes,Meteor	Histone	3	3	3	Histone.HG2.0:CENPA	CENPA	Manpla_Gene.8063,Meteor_CRO19MET_NODE_11128.p2,Pavlsp_597097
aOG.eur_Histone19	Discoba	Histone	1	2	2	Histone.HG1.12:like:AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX:likeclu:17	like:AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX	Jakbah_JAKBA_01608.mRNA.1,Jaklib_JAKLI_06314.mRNA.1
aOG.eur_Histone2	AmorCRUM,Diaphoratickes,Discoba,Hemimastigophora	Histone	4	11	11	Histone.HG7.0:DRAP1	DRAP1	Cavfas_EGG18004,Cpar_Cpar_evm1s7203,Ddis_EAL61234,Diprot_Gene.28610,Drer_ENSDARP00000060398.4,Hemkuk_26312_TR8828_c2_g13,Hetalb_XP_020428412.1,Phakir_PHAKIR_17794.mRNA.1,Smoe_EFJ24289,Spimul_25749_TR12806_c0_g1,Spis_XP_022791011_1
aOG.eur_Histone20	Diaphoratickes	Histone	1	2	2	Histone.HG1.12:like:AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX:likeclu:17	like:AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX	Atri_ERN18477,Azfi_s0005.g009474
aOG.eur_Histone21	Discoba	Histone	1	1	2	Histone.HG1.12:like:AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX:likeclu:17	like:AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX	Recame_RECAM_14068.mRNA.1,Recame_RECAM_19810.mRNA.1
aOG.eur_Histone22	AmorCRUM	Histone	1	2	2	Histone.HG2.0:CENPA	CENPA	Rigram_Gene.22673,Spun_KND04685
