orthogroup	closest_group	closest_score	LECA_probability	is_probability
Acetyltransf_1.HG1.0:like:NAA30/NAT8/NAT8L/NAT14:likeclu:14/23/38	eukoth	0.722222222222222	0.983609913118215	TRUE
Acetyltransf_1.HG1.1:like:NAA30/NAT8/NAT8L/NAT14:likeclu:14/23/38	bac	1	0.00826512774288846	TRUE
Acetyltransf_1.HG1.10:like:NAA30/NAT8/NAT8L/NAT14:likeclu:14/23/38	bac	0.9	0.994345979291654	TRUE
Acetyltransf_1.HG1.11:like:NAA30/NAT8/NAT8L/NAT14:likeclu:14/23/38	bac	0.782608695652174	0.726405845219516	TRUE
Acetyltransf_1.HG1.12:like:NAA30/NAT8/NAT8L/NAT14:likeclu:14/23/38	bac	0.844221105527638	0.84013642055345	TRUE
Acetyltransf_1.HG1.13:like:NAA30:likeclu:14	bac	1	0.988803024801067	TRUE
Acetyltransf_1.HG1.14:NAA30	bac	1	1	TRUE
Acetyltransf_1.HG1.15:like:NAT8/NAT8L:likeclu:38	eukoth	0.588235294117647	0.0015223782958006	TRUE
Acetyltransf_1.HG1.16:like:NAT14:likeclu:23	eukoth	1	0.00447666508294697	TRUE
Acetyltransf_1.HG1.17:like:NAT14:likeclu:23	eukoth	1	0.553018130444576	TRUE
Acetyltransf_1.HG1.18:like:NAT14:likeclu:23	bac	0.735751295336788	0.619714069713028	TRUE
Acetyltransf_1.HG1.19:like:NAT8/NAT8L:likeclu:38	bac	0.972714870395634	1	TRUE
Acetyltransf_1.HG1.2:like:NAA30/NAT8/NAT8L/NAT14:likeclu:14/23/38	bac	0.873417721518987	0.99999923615189	TRUE
Acetyltransf_1.HG1.20:like:NAT14:likeclu:23	eukoth	0.693693693693694	0.946732876114391	TRUE
Acetyltransf_1.HG1.21:like:NAT14:likeclu:23	eukoth	1	0.000405696271028377	TRUE
Acetyltransf_1.HG1.22:like:NAT14:likeclu:23	eukoth	0.97609561752988	0.906640261521005	TRUE
Acetyltransf_1.HG1.23:NAT14	bac	0.874015748031496	0.00183099635740658	TRUE
Acetyltransf_1.HG1.24:like:NAT8/NAT8L:likeclu:38	eukoth	0.756756756756757	0.00263053164779925	TRUE
Acetyltransf_1.HG1.25:like:NAT14:likeclu:23	eukoth	1	0.00349528956795231	TRUE
Acetyltransf_1.HG1.26:like:NAT14:likeclu:23	eukoth	0.571428571428572	0.000649914699444754	TRUE
Acetyltransf_1.HG1.27:like:NAT14:likeclu:23	eukoth	1	0.00262249726075203	TRUE
Acetyltransf_1.HG1.28:like:NAT14:likeclu:23	bac	0.710144927536232	0.997849957831672	TRUE
Acetyltransf_1.HG1.29:like:NAT14:likeclu:23	eukoth	0.871794871794872	0.256249056165639	TRUE
Acetyltransf_1.HG1.3:like:NAT14:likeclu:23	bac	0.705882352941177	0.00139728030053499	TRUE
Acetyltransf_1.HG1.30:like:NAT8/NAT8L:likeclu:38	bac	0.832214765100671	0.854046507872597	TRUE
Acetyltransf_1.HG1.31:like:NAT14:likeclu:23	eukoth	1	0.0676432053028166	TRUE
Acetyltransf_1.HG1.32:like:NAT14:likeclu:23	eukoth	1	0.0200962792565227	TRUE
Acetyltransf_1.HG1.33:like:NAT14:likeclu:23	eukoth	1	0.00563506357386201	TRUE
Acetyltransf_1.HG1.34:like:NAT14:likeclu:23	bac	0.5	0.000405696271028377	TRUE
Acetyltransf_1.HG1.35:like:NAT14:likeclu:23	eukoth	0.666666666666667	0.0143077091050192	TRUE
Acetyltransf_1.HG1.36:like:NAT14:likeclu:23	eukoth	0.895522388059702	0.000496269407604055	TRUE
Acetyltransf_1.HG1.37:like:NAT14:likeclu:23	eukoth	1	0.0016212321376381	TRUE
